"","date","FIX"
"1","2007-01-03",12.68
"2","2007-01-04",12.78
"3","2007-01-05",12.37
"4","2007-01-08",12.52
"5","2007-01-09",12.52
"6","2007-01-10",12.08
"7","2007-01-11",12.33
"8","2007-01-12",12.35
"9","2007-01-16",12.16
"10","2007-01-17",12.15
"11","2007-01-18",12.03
"12","2007-01-19",12.32
"13","2007-01-22",12.1
"14","2007-01-23",12.41
"15","2007-01-24",12.53
"16","2007-01-25",12.29
"17","2007-01-26",12.33
"18","2007-01-29",12.45
"19","2007-01-30",12.36
"20","2007-01-31",12.25
"21","2007-02-01",12.39
"22","2007-02-02",12.99
"23","2007-02-05",12.75
"24","2007-02-06",12.8
"25","2007-02-07",12.9
"26","2007-02-08",12.87
"27","2007-02-09",12.76
"28","2007-02-12",12.76
"29","2007-02-13",13.16
"30","2007-02-14",13.27
"31","2007-02-15",13.33
"32","2007-02-16",13.43
"33","2007-02-20",13.5
"34","2007-02-21",13.46
"35","2007-02-22",13.99
"36","2007-02-23",13.91
"37","2007-02-26",13.78
"38","2007-02-27",13.32
"39","2007-02-28",13.61
"40","2007-03-01",13.13
"41","2007-03-02",12.9
"42","2007-03-05",12.47
"43","2007-03-06",12.62
"44","2007-03-07",13.03
"45","2007-03-08",13.09
"46","2007-03-09",13.03
"47","2007-03-12",12.95
"48","2007-03-13",12.69
"49","2007-03-14",12.9
"50","2007-03-15",13.08
"51","2007-03-16",12.79
"52","2007-03-19",12.1
"53","2007-03-20",12.15
"54","2007-03-21",12.34
"55","2007-03-22",12.34
"56","2007-03-23",12.35
"57","2007-03-26",12.3
"58","2007-03-27",11.99
"59","2007-03-28",11.94
"60","2007-03-29",11.86
"61","2007-03-30",11.98
"62","2007-04-02",12.11
"63","2007-04-03",12.13
"64","2007-04-04",12.06
"65","2007-04-05",12.14
"66","2007-04-09",12.02
"67","2007-04-10",11.92
"68","2007-04-11",11.86
"69","2007-04-12",11.78
"70","2007-04-13",12.02
"71","2007-04-16",12.19
"72","2007-04-17",12.35
"73","2007-04-18",12.36
"74","2007-04-19",12.42
"75","2007-04-20",12.51
"76","2007-04-23",12.48
"77","2007-04-24",12.37
"78","2007-04-25",12.52
"79","2007-04-26",12.69
"80","2007-04-27",12.52
"81","2007-04-30",12.49
"82","2007-05-01",12.51
"83","2007-05-02",12.89
"84","2007-05-03",12.9
"85","2007-05-04",13.22
"86","2007-05-07",13.31
"87","2007-05-08",13.31
"88","2007-05-09",13.35
"89","2007-05-10",13.07
"90","2007-05-11",13.74
"91","2007-05-14",13.66
"92","2007-05-15",13.6
"93","2007-05-16",13.79
"94","2007-05-17",13.51
"95","2007-05-18",13.64
"96","2007-05-21",13.94
"97","2007-05-22",13.83
"98","2007-05-23",13.91
"99","2007-05-24",13.76
"100","2007-05-25",13.78
"101","2007-05-29",13.83
"102","2007-05-30",14.04
"103","2007-05-31",14
"104","2007-06-01",13.94
"105","2007-06-04",13.98
"106","2007-06-05",13.87
"107","2007-06-06",13.63
"108","2007-06-07",13.45
"109","2007-06-08",13.87
"110","2007-06-11",13.92
"111","2007-06-12",13.69
"112","2007-06-13",14.06
"113","2007-06-14",14.03
"114","2007-06-15",14.11
"115","2007-06-18",14.09
"116","2007-06-19",13.87
"117","2007-06-20",13.73
"118","2007-06-21",13.84
"119","2007-06-22",13.88
"120","2007-06-25",13.75
"121","2007-06-26",13.69
"122","2007-06-27",13.91
"123","2007-06-28",14.25
"124","2007-06-29",14.18
"125","2007-07-02",14.25
"126","2007-07-03",14.1
"127","2007-07-05",14.11
"128","2007-07-06",14.14
"129","2007-07-09",14.08
"130","2007-07-10",14.15
"131","2007-07-11",14.1
"132","2007-07-12",14.51
"133","2007-07-13",14.38
"134","2007-07-16",14.59
"135","2007-07-17",14.56
"136","2007-07-18",14.47
"137","2007-07-19",14.44
"138","2007-07-20",14.03
"139","2007-07-23",13.99
"140","2007-07-24",13.65
"141","2007-07-25",13.48
"142","2007-07-26",13.24
"143","2007-07-27",12.91
"144","2007-07-30",13.08
"145","2007-07-31",12.94
"146","2007-08-01",12.96
"147","2007-08-02",14.8
"148","2007-08-03",14.22
"149","2007-08-06",15.02
"150","2007-08-07",14.45
"151","2007-08-08",14.57
"152","2007-08-09",14.13
"153","2007-08-10",14.85
"154","2007-08-13",14.72
"155","2007-08-14",14.32
"156","2007-08-15",14.12
"157","2007-08-16",14.3
"158","2007-08-17",14.57
"159","2007-08-20",14.56
"160","2007-08-21",14.47
"161","2007-08-22",15.03
"162","2007-08-23",14.6
"163","2007-08-24",15.22
"164","2007-08-27",15.08
"165","2007-08-28",14.86
"166","2007-08-29",14.53
"167","2007-08-30",14.73
"168","2007-08-31",14.55
"169","2007-09-04",15.02
"170","2007-09-05",14.68
"171","2007-09-06",14.91
"172","2007-09-07",14.49
"173","2007-09-10",14.03
"174","2007-09-11",14.26
"175","2007-09-12",13.77
"176","2007-09-13",13.66
"177","2007-09-14",13.56
"178","2007-09-17",13.58
"179","2007-09-18",14.92
"180","2007-09-19",15
"181","2007-09-20",15.27
"182","2007-09-21",15.18
"183","2007-09-24",15.15
"184","2007-09-25",14.3
"185","2007-09-26",14.37
"186","2007-09-27",14.12
"187","2007-09-28",14.2
"188","2007-10-01",14.53
"189","2007-10-02",14.57
"190","2007-10-03",14.49
"191","2007-10-04",14.61
"192","2007-10-05",14.84
"193","2007-10-08",14.9
"194","2007-10-09",15.1
"195","2007-10-10",15.42
"196","2007-10-11",15.17
"197","2007-10-12",15.19
"198","2007-10-15",14.93
"199","2007-10-16",15.03
"200","2007-10-17",15.24
"201","2007-10-18",15.08
"202","2007-10-19",14.32
"203","2007-10-22",14.29
"204","2007-10-23",14.68
"205","2007-10-24",14.67
"206","2007-10-25",14.67
"207","2007-10-26",14.82
"208","2007-10-29",14.64
"209","2007-10-30",14.58
"210","2007-10-31",14.62
"211","2007-11-01",13.95
"212","2007-11-02",13.23
"213","2007-11-05",13.66
"214","2007-11-06",13.45
"215","2007-11-07",13.28
"216","2007-11-08",13.21
"217","2007-11-09",12.96
"218","2007-11-12",12.69
"219","2007-11-13",12.59
"220","2007-11-14",12.7
"221","2007-11-15",12.75
"222","2007-11-16",12.5
"223","2007-11-19",12.81
"224","2007-11-20",12.22
"225","2007-11-21",11.92
"226","2007-11-23",12.15
"227","2007-11-26",12.02
"228","2007-11-27",11.8
"229","2007-11-28",11.78
"230","2007-11-29",12.07
"231","2007-11-30",11.75
"232","2007-12-03",11.25
"233","2007-12-04",11.16
"234","2007-12-05",11.49
"235","2007-12-06",11.6
"236","2007-12-07",12.06
"237","2007-12-10",12.23
"238","2007-12-11",11.77
"239","2007-12-12",11.64
"240","2007-12-13",11.79
"241","2007-12-14",11.52
"242","2007-12-17",11.49
"243","2007-12-18",11.92
"244","2007-12-19",12.15
"245","2007-12-20",12.71
"246","2007-12-21",13.13
"247","2007-12-24",13.29
"248","2007-12-26",13.14
"249","2007-12-27",13.2
"250","2007-12-28",13.31
"251","2007-12-31",12.78
"252","2008-01-02",12.32
"253","2008-01-03",11.97
"254","2008-01-04",11.44
"255","2008-01-07",11.68
"256","2008-01-08",11.09
"257","2008-01-09",11.38
"258","2008-01-10",11.46
"259","2008-01-11",11.08
"260","2008-01-14",11.45
"261","2008-01-15",11.16
"262","2008-01-16",10.61
"263","2008-01-17",10.12
"264","2008-01-18",9.78
"265","2008-01-22",10.19
"266","2008-01-23",10.68
"267","2008-01-24",10.81
"268","2008-01-25",11.1
"269","2008-01-28",11.5
"270","2008-01-29",11.55
"271","2008-01-30",11.62
"272","2008-01-31",12.27
"273","2008-02-01",11.79
