"","date","AZZ"
"1","2007-01-03",12.875
"2","2007-01-04",12.72
"3","2007-01-05",12.75
"4","2007-01-08",12.625
"5","2007-01-09",12.5325
"6","2007-01-10",12.6575
"7","2007-01-11",12.785
"8","2007-01-12",12.85
"9","2007-01-16",13.015
"10","2007-01-17",12.8775
"11","2007-01-18",12.805
"12","2007-01-19",11.0675
"13","2007-01-22",10.65
"14","2007-01-23",10.65
"15","2007-01-24",10.6
"16","2007-01-25",10.56
"17","2007-01-26",10.555
"18","2007-01-29",10.465
"19","2007-01-30",10.3475
"20","2007-01-31",10.0075
"21","2007-02-01",10.015
"22","2007-02-02",10.2125
"23","2007-02-05",10.19
"24","2007-02-06",10.375
"25","2007-02-07",10.6025
"26","2007-02-08",10.3925
"27","2007-02-09",10.2475
"28","2007-02-12",10.1275
"29","2007-02-13",10.005
"30","2007-02-14",10.1925
"31","2007-02-15",10.0775
"32","2007-02-16",10.09
"33","2007-02-20",10.14
"34","2007-02-21",10.23
"35","2007-02-22",10.5875
"36","2007-02-23",10.59
"37","2007-02-26",10.85
"38","2007-02-27",10.0225
"39","2007-02-28",10.125
"40","2007-03-01",10.0825
"41","2007-03-02",10.0025
"42","2007-03-05",9.4725
"43","2007-03-06",9.7425
"44","2007-03-07",9.7625
"45","2007-03-08",9.65
"46","2007-03-09",9.6375
"47","2007-03-12",9.8025
"48","2007-03-13",9.56
"49","2007-03-14",9.655
"50","2007-03-15",9.8675
"51","2007-03-16",9.7875
"52","2007-03-19",10.0575
"53","2007-03-20",10.0625
"54","2007-03-21",10.14
"55","2007-03-22",9.985
"56","2007-03-23",9.905
"57","2007-03-26",10.375
"58","2007-03-27",10.2775
"59","2007-03-28",10.22
"60","2007-03-29",10.3125
"61","2007-03-30",10.5
"62","2007-04-02",11.215
"63","2007-04-03",11.47
"64","2007-04-04",12.0375
"65","2007-04-05",11.7
"66","2007-04-09",11.9875
"67","2007-04-10",12.19
"68","2007-04-11",12.5375
"69","2007-04-12",12.845
"70","2007-04-13",12.815
"71","2007-04-16",13.35
"72","2007-04-17",13.3075
"73","2007-04-18",13.25
"74","2007-04-19",13.4575
"75","2007-04-20",13.65
"76","2007-04-23",14.025
"77","2007-04-24",13.695
"78","2007-04-25",13.975
"79","2007-04-26",14.095
"80","2007-04-27",13.91
"81","2007-04-30",14.275
"82","2007-05-01",13.915
"83","2007-05-02",14.29
"84","2007-05-03",14.62
"85","2007-05-04",14.5625
"86","2007-05-07",14.85
"87","2007-05-08",14.075
"88","2007-05-09",14.505
