"","date","OPRA"
"1","2018-07-27",13.11
"2","2018-07-30",12.01
"3","2018-07-31",12.09
"4","2018-08-01",12.14
"5","2018-08-02",12.07
"6","2018-08-03",11.5
"7","2018-08-06",13.41
"8","2018-08-07",13.63
"9","2018-08-08",13.43
"10","2018-08-09",13.49
"11","2018-08-10",13.36
"12","2018-08-13",13.11
"13","2018-08-14",12.89
"14","2018-08-15",10.61
"15","2018-08-16",11.5
"16","2018-08-17",10.97
"17","2018-08-20",11.29
"18","2018-08-21",12.19
"19","2018-08-22",12.61
"20","2018-08-23",12.56
"21","2018-08-24",13.32
"22","2018-08-27",13.57
"23","2018-08-28",12.43
"24","2018-08-29",12.42
"25","2018-08-30",12.19
"26","2018-08-31",11.8
"27","2018-09-04",12.1
"28","2018-09-05",11.63
"29","2018-09-06",11.5
"30","2018-09-07",11.37
"31","2018-09-10",11.29
"32","2018-09-11",11.09
"33","2018-09-12",11.02
"34","2018-09-13",11.45
"35","2018-09-14",11.05
"36","2018-09-17",10.8
"37","2018-09-18",10.14
"38","2018-09-19",9.92
"39","2018-09-20",9.99
"40","2018-09-21",9.65
"41","2018-09-24",9.06
"42","2018-09-25",8.82
"43","2018-09-26",9.11
"44","2018-09-27",9.03
"45","2018-09-28",8.99
"46","2018-10-01",8.9
"47","2018-10-02",9.16
"48","2018-10-03",9.24
"49","2018-10-04",8.95
"50","2018-10-05",8.8
"51","2018-10-08",8.54
"52","2018-10-09",8.5
"53","2018-10-10",8.15
"54","2018-10-11",7.73
"55","2018-10-12",7.77
"56","2018-10-15",7.73
"57","2018-10-16",7.82
"58","2018-10-17",7.43
"59","2018-10-18",7.17
"60","2018-10-19",6.81
"61","2018-10-22",6.63
"62","2018-10-23",6.69
"63","2018-10-24",6.52
"64","2018-10-25",7.01
"65","2018-10-26",7.04
"66","2018-10-29",7.1
"67","2018-10-30",6.78
"68","2018-10-31",6.6
"69","2018-11-01",7.05
"70","2018-11-02",6.75
"71","2018-11-05",6.79
"72","2018-11-06",6.54
"73","2018-11-07",6.47
"74","2018-11-08",7.42
"75","2018-11-09",6.9
"76","2018-11-12",6.66
"77","2018-11-13",6.51
"78","2018-11-14",6.75
"79","2018-11-15",6.63
"80","2018-11-16",6.74
"81","2018-11-19",6.67
"82","2018-11-20",6.61
"83","2018-11-21",6.98
"84","2018-11-23",6.95
"85","2018-11-26",6.96
"86","2018-11-27",6.6
"87","2018-11-28",6.79
"88","2018-11-29",6.78
"89","2018-11-30",6.9
"90","2018-12-03",6.93
