"","date","GM"
"1","2010-11-18",34.189999
"2","2010-11-19",34.259998
"3","2010-11-22",34.080002
"4","2010-11-23",33.25
"5","2010-11-24",33.48
"6","2010-11-26",33.799999
"7","2010-11-29",33.799999
"8","2010-11-30",34.200001
"9","2010-12-01",34.779999
"10","2010-12-02",34.68
"11","2010-12-03",34.549999
"12","2010-12-06",34.48
"13","2010-12-07",34.68
"14","2010-12-08",34.450001
"15","2010-12-09",33.740002
"16","2010-12-10",33.810001
"17","2010-12-13",33.799999
"18","2010-12-14",33.889999
"19","2010-12-15",33.610001
"20","2010-12-16",33.610001
"21","2010-12-17",34
"22","2010-12-20",33.759998
"23","2010-12-21",33.849998
"24","2010-12-22",34.919998
"25","2010-12-23",34.810001
"26","2010-12-27",34.599998
"27","2010-12-28",35.32
"28","2010-12-29",36.02
"29","2010-12-30",36.82
"30","2010-12-31",36.860001
"31","2011-01-03",37.060001
"32","2011-01-04",37.900002
"33","2011-01-05",38.07
"34","2011-01-06",38.900002
"35","2011-01-07",38.98
"36","2011-01-10",38.560001
"37","2011-01-11",38.75
"38","2011-01-12",38.619999
"39","2011-01-13",38.27
"40","2011-01-14",38.200001
"41","2011-01-18",38.029999
"42","2011-01-19",37.400002
"43","2011-01-20",37.18
"44","2011-01-21",37.240002
"45","2011-01-24",37.639999
"46","2011-01-25",38.400002
"47","2011-01-26",37.889999
"48","2011-01-27",38.669998
"49","2011-01-28",36.599998
"50","2011-01-31",36.490002
"51","2011-02-01",36.450001
"52","2011-02-02",35.68
"53","2011-02-03",36.060001
"54","2011-02-04",36.59
"55","2011-02-07",36.700001
"56","2011-02-08",36.889999
"57","2011-02-09",36.41
"58","2011-02-10",35.880001
"59","2011-02-11",36.450001
"60","2011-02-14",36.290001
"61","2011-02-15",36.110001
"62","2011-02-16",36.75
"63","2011-02-17",36.369999
"64","2011-02-18",36.509998
"65","2011-02-22",35.77
"66","2011-02-23",34.59
"67","2011-02-24",33.02
"68","2011-02-25",33.25
"69","2011-02-28",33.529999
"70","2011-03-01",32.950001
"71","2011-03-02",32.880001
"72","2011-03-03",33.029999
"73","2011-03-04",32.389999
"74","2011-03-07",31.700001
"75","2011-03-08",32.720001
"76","2011-03-09",32.25
"77","2011-03-10",31.42
"78","2011-03-11",31.93
"79","2011-03-14",31.59
"80","2011-03-15",32.349998
