"","date","SSD"
"1","2007-01-03",30.879999
"2","2007-01-04",31
"3","2007-01-05",30.75
"4","2007-01-08",30.190001
"5","2007-01-09",30.15
"6","2007-01-10",30.110001
"7","2007-01-11",30.75
"8","2007-01-12",30.629999
"9","2007-01-16",30.5
"10","2007-01-17",30.66
"11","2007-01-18",31.07
"12","2007-01-19",31.32
"13","2007-01-22",31.32
"14","2007-01-23",31.49
"15","2007-01-24",31.66
"16","2007-01-25",31.57
"17","2007-01-26",31.5
"18","2007-01-29",32.279999
"19","2007-01-30",32.619999
"20","2007-01-31",32.709999
"21","2007-02-01",33.619999
"22","2007-02-02",35.540001
"23","2007-02-05",34.830002
"24","2007-02-06",34.450001
"25","2007-02-07",34.330002
"26","2007-02-08",33.880001
"27","2007-02-09",34.07
"28","2007-02-12",34.16
"29","2007-02-13",33.82
"30","2007-02-14",33.73
"31","2007-02-15",33.73
"32","2007-02-16",33.720001
"33","2007-02-20",34.299999
"34","2007-02-21",35.240002
"35","2007-02-22",35.580002
"36","2007-02-23",35
"37","2007-02-26",34.700001
"38","2007-02-27",33.560001
"39","2007-02-28",33.220001
"40","2007-03-01",32.580002
"41","2007-03-02",31.709999
"42","2007-03-05",30.65
"43","2007-03-06",31.559999
"44","2007-03-07",31.25
"45","2007-03-08",31.549999
"46","2007-03-09",31.110001
"47","2007-03-12",31.09
"48","2007-03-13",30
"49","2007-03-14",30.129999
"50","2007-03-15",29.93
"51","2007-03-16",29.49
"52","2007-03-19",30.23
"53","2007-03-20",30.780001
"54","2007-03-21",31
"55","2007-03-22",31.66
"56","2007-03-23",32
"57","2007-03-26",31.549999
"58","2007-03-27",31.25
"59","2007-03-28",31.35
"60","2007-03-29",31.620001
"61","2007-03-30",30.84
"62","2007-04-02",31.16
"63","2007-04-03",32.169998
"64","2007-04-04",32.009998
"65","2007-04-05",31.99
"66","2007-04-09",31.780001
"67","2007-04-10",32.560001
"68","2007-04-11",32.130001
"69","2007-04-12",32
"70","2007-04-13",31.99
"71","2007-04-16",32.529999
"72","2007-04-17",32
"73","2007-04-18",31.469999
"74","2007-04-19",31.49
"75","2007-04-20",31.450001
"76","2007-04-23",31.5
"77","2007-04-24",31.700001
"78","2007-04-25",31.6
"79","2007-04-26",31.59
"80","2007-04-27",33.259998
"81","2007-04-30",32.169998
"82","2007-05-01",31.780001
"83","2007-05-02",32.529999
"84","2007-05-03",32.779999
"85","2007-05-04",32.790001
"86","2007-05-07",32.939999
"87","2007-05-08",33.009998
"88","2007-05-09",33.009998
"89","2007-05-10",32.150002
"90","2007-05-11",32.700001
"91","2007-05-14",32.790001
"92","2007-05-15",32.150002
"93","2007-05-16",31.91
"94","2007-05-17",32.259998
"95","2007-05-18",32.849998
"96","2007-05-21",33.52
"97","2007-05-22",33.459999
"98","2007-05-23",33.560001
"99","2007-05-24",32.639999
"100","2007-05-25",32.740002
"101","2007-05-29",32.799999
"102","2007-05-30",33.360001
"103","2007-05-31",33.32
