"","date","GBIO"
"1","2020-06-12",24.690001
"2","2020-06-15",22.879999
"3","2020-06-16",20.1
"4","2020-06-17",20.950001
"5","2020-06-18",21.65
"6","2020-06-19",21.91
"7","2020-06-22",23.5
"8","2020-06-23",23.75
"9","2020-06-24",22.75
"10","2020-06-25",22.860001
"11","2020-06-26",21.84
"12","2020-06-29",21.709999
"13","2020-06-30",21
"14","2020-07-01",19.540001
"15","2020-07-02",19.559999
"16","2020-07-06",19.639999
"17","2020-07-07",19.75
"18","2020-07-08",19.190001
"19","2020-07-09",18.99
"20","2020-07-10",19.709999
"21","2020-07-13",18.07
"22","2020-07-14",18.16
"23","2020-07-15",18.559999
"24","2020-07-16",19.01
"25","2020-07-17",22.389999
"26","2020-07-20",22.879999
"27","2020-07-21",22.379999
"28","2020-07-22",21.41
"29","2020-07-23",20.68
"30","2020-07-24",20.07
"31","2020-07-27",19.809999
"32","2020-07-28",20.33
"33","2020-07-29",20.200001
"34","2020-07-30",20.139999
"35","2020-07-31",19.639999
"36","2020-08-03",19.540001
"37","2020-08-04",20.309999
"38","2020-08-05",20.809999
"39","2020-08-06",20.75
"40","2020-08-07",20.25
"41","2020-08-10",19.790001
"42","2020-08-11",20.309999
"43","2020-08-12",19.690001
"44","2020-08-13",19.5
"45","2020-08-14",19.700001
"46","2020-08-17",19.379999
"47","2020-08-18",20.26
"48","2020-08-19",22.440001
"49","2020-08-20",23.98
"50","2020-08-21",24.440001
"51","2020-08-24",24.370001
"52","2020-08-25",24.59
"53","2020-08-26",25.610001
"54","2020-08-27",25.780001
"55","2020-08-28",27.290001
"56","2020-08-31",31.23
"57","2020-09-01",31.25
"58","2020-09-02",31.84
"59","2020-09-03",28.91
"60","2020-09-04",29.9
"61","2020-09-08",29.68
"62","2020-09-09",29.41
"63","2020-09-10",29.700001
"64","2020-09-11",28.219999
"65","2020-09-14",30.450001
"66","2020-09-15",29.190001
"67","2020-09-16",29.860001
"68","2020-09-17",29.91
"69","2020-09-18",29.709999
"70","2020-09-21",26.67
"71","2020-09-22",28.440001
"72","2020-09-23",27.469999
"73","2020-09-24",27.379999
"74","2020-09-25",30.110001
"75","2020-09-28",30.18
"76","2020-09-29",30.92
"77","2020-09-30",30.91
"78","2020-10-01",29.530001
"79","2020-10-02",27.959999
"80","2020-10-05",29.98
"81","2020-10-06",29.559999
"82","2020-10-07",28.59
"83","2020-10-08",28.08
"84","2020-10-09",28.15
"85","2020-10-12",27.799999
"86","2020-10-13",27.6
"87","2020-10-14",25.17
"88","2020-10-15",26
"89","2020-10-16",25.99
"90","2020-10-19",24.629999
"91","2020-10-20",22.27
"92","2020-10-21",22.379999
"93","2020-10-22",21.68
"94","2020-10-23",23.059999
"95","2020-10-26",21.959999
"96","2020-10-27",23.01
"97","2020-10-28",24.23
"98","2020-10-29",24.110001
"99","2020-10-30",25.84
"100","2020-11-02",25.610001
"101","2020-11-03",25.32
"102","2020-11-04",25.719999
"103","2020-11-05",26.450001
"104","2020-11-06",26.49
"105","2020-11-09",27.68
"106","2020-11-10",28.030001
"107","2020-11-11",30.02
"108","2020-11-12",31.049999
"109","2020-11-13",32.040001
"110","2020-11-16",33.07
"111","2020-11-17",36.130001
"112","2020-11-18",33.299999
"113","2020-11-19",32.040001
"114","2020-11-20",34.130001
"115","2020-11-23",35.279999
"116","2020-11-24",37.790001
"117","2020-11-25",39.740002
"118","2020-11-27",43.259998
