"","date","RPAY"
"1","2018-07-17",9.65
"2","2018-07-18",9.652
"3","2018-07-19",9.64
"4","2018-07-20",9.64
"5","2018-07-23",9.64
"6","2018-07-24",9.64
"7","2018-07-25",9.64
"8","2018-07-26",9.63
"9","2018-07-27",9.63
"10","2018-07-30",9.64
"11","2018-07-31",9.64
"12","2018-08-01",9.64
"13","2018-08-02",9.65
"14","2018-08-03",9.6
"15","2018-08-06",9.6
"16","2018-08-07",9.61
"17","2018-08-08",9.61
"18","2018-08-09",9.61
"19","2018-08-10",9.63
"20","2018-08-13",9.68
"21","2018-08-14",9.68
"22","2018-08-15",9.68
"23","2018-08-16",9.68
"24","2018-08-17",9.7
"25","2018-08-20",9.75
"26","2018-08-21",9.7
"27","2018-08-22",9.7
"28","2018-08-23",9.7
"29","2018-08-24",9.72
"30","2018-08-27",9.72
"31","2018-08-28",9.75
"32","2018-08-29",9.75
"33","2018-08-30",9.75
"34","2018-08-31",9.75
"35","2018-09-04",9.75
"36","2018-09-05",9.74
"37","2018-09-06",9.74
"38","2018-09-07",9.73
"39","2018-09-10",9.73
"40","2018-09-11",9.73
"41","2018-09-12",9.73
"42","2018-09-13",9.7
"43","2018-09-14",9.69
"44","2018-09-17",9.7
"45","2018-09-18",9.7
"46","2018-09-19",9.7
"47","2018-09-20",9.7
"48","2018-09-21",9.7
"49","2018-09-24",9.7
"50","2018-09-25",9.73
"51","2018-09-26",9.73
"52","2018-09-27",9.73
"53","2018-09-28",9.71
"54","2018-10-01",9.73
"55","2018-10-02",9.73
"56","2018-10-03",9.71
"57","2018-10-04",9.73
"58","2018-10-05",9.73
"59","2018-10-08",9.73
"60","2018-10-09",9.73
"61","2018-10-10",9.73
"62","2018-10-11",9.7
"63","2018-10-12",9.71
"64","2018-10-15",9.71
"65","2018-10-16",9.71
"66","2018-10-17",9.71
"67","2018-10-18",9.69
"68","2018-10-19",9.69
"69","2018-10-22",9.69
"70","2018-10-23",9.69
"71","2018-10-24",9.7
"72","2018-10-25",9.7
"73","2018-10-26",9.7
"74","2018-10-29",9.7
"75","2018-10-30",9.7
"76","2018-10-31",9.72
"77","2018-11-01",9.73
"78","2018-11-02",9.74
