"","date","OHI"
"1","2007-01-03",17.74
"2","2007-01-04",17.52
"3","2007-01-05",17.040001
"4","2007-01-08",17.059999
"5","2007-01-09",17.15
"6","2007-01-10",17.190001
"7","2007-01-11",17.389999
"8","2007-01-12",17.530001
"9","2007-01-16",17.49
"10","2007-01-17",17.43
"11","2007-01-18",17.52
"12","2007-01-19",17.959999
"13","2007-01-22",17.559999
"14","2007-01-23",17.77
"15","2007-01-24",17.5
"16","2007-01-25",18.08
"17","2007-01-26",18.01
"18","2007-01-29",18.059999
"19","2007-01-30",18.299999
"20","2007-01-31",18.129999
"21","2007-02-01",18.110001
"22","2007-02-02",18.15
"23","2007-02-05",18.65
"24","2007-02-06",18.059999
"25","2007-02-07",18.5
"26","2007-02-08",18.5
"27","2007-02-09",18.549999
"28","2007-02-12",18.690001
"29","2007-02-13",18.83
"30","2007-02-14",18.43
"31","2007-02-15",18.82
"32","2007-02-16",18.66
"33","2007-02-20",19.049999
"34","2007-02-21",19.040001
"35","2007-02-22",19.08
"36","2007-02-23",18.790001
"37","2007-02-26",18.75
"38","2007-02-27",17.870001
"39","2007-02-28",18.040001
"40","2007-03-01",18.049999
"41","2007-03-02",17.43
"42","2007-03-05",16.469999
"43","2007-03-06",17.35
"44","2007-03-07",17.129999
"45","2007-03-08",17.33
"46","2007-03-09",17.65
"47","2007-03-12",17.610001
"48","2007-03-13",16.889999
"49","2007-03-14",16.870001
"50","2007-03-15",17.049999
"51","2007-03-16",16.940001
"52","2007-03-19",17.32
"53","2007-03-20",17.27
"54","2007-03-21",17.67
"55","2007-03-22",17.870001
"56","2007-03-23",17.76
"57","2007-03-26",17.719999
"58","2007-03-27",17.360001
"59","2007-03-28",17.030001
"60","2007-03-29",16.93
"61","2007-03-30",17.15
"62","2007-04-02",17.23
"63","2007-04-03",17.41
"64","2007-04-04",17.5
"65","2007-04-05",17.4
"66","2007-04-09",17.09
"67","2007-04-10",17.040001
"68","2007-04-11",16.99
