"","date","BEST"
"1","2017-09-20",10.52
"2","2017-09-21",10.89
"3","2017-09-22",12.05
"4","2017-09-25",12.64
"5","2017-09-26",11.75
"6","2017-09-27",11.15
"7","2017-09-28",11.49
"8","2017-09-29",11.97
"9","2017-10-02",11.62
"10","2017-10-03",11.53
"11","2017-10-04",11.65
"12","2017-10-05",11.29
"13","2017-10-06",10.83
"14","2017-10-09",10.74
"15","2017-10-10",11
"16","2017-10-11",10.8
"17","2017-10-12",11.08
"18","2017-10-13",11.4
"19","2017-10-16",11.78
"20","2017-10-17",11.75
"21","2017-10-18",11.78
"22","2017-10-19",11.43
"23","2017-10-20",11.2
"24","2017-10-23",10.94
"25","2017-10-24",10.75
"26","2017-10-25",10.61
"27","2017-10-26",10.67
"28","2017-10-27",10.93
"29","2017-10-30",11.26
"30","2017-10-31",11.58
"31","2017-11-01",11.62
"32","2017-11-02",11.52
"33","2017-11-03",11.26
"34","2017-11-06",11.76
"35","2017-11-07",11.6
"36","2017-11-08",11.83
"37","2017-11-09",11.8
"38","2017-11-10",11.96
"39","2017-11-13",11.8
"40","2017-11-14",11.38
"41","2017-11-15",11.88
"42","2017-11-16",11
"43","2017-11-17",11.01
"44","2017-11-20",10.78
"45","2017-11-21",10.73
"46","2017-11-22",10.87
"47","2017-11-24",10.98
"48","2017-11-27",10.75
"49","2017-11-28",10.72
"50","2017-11-29",10.25
"51","2017-11-30",9.84
"52","2017-12-01",9.65
"53","2017-12-04",9.42
"54","2017-12-05",9.04
"55","2017-12-06",9.09
"56","2017-12-07",9.1
"57","2017-12-08",8.96
"58","2017-12-11",9.57
"59","2017-12-12",9.38
"60","2017-12-13",9.29
"61","2017-12-14",9.24
"62","2017-12-15",9.25
"63","2017-12-18",8.9
"64","2017-12-19",9.04
"65","2017-12-20",8.93
"66","2017-12-21",8.98
"67","2017-12-22",9.01
"68","2017-12-26",8.98
"69","2017-12-27",9.01
"70","2017-12-28",9.06
"71","2017-12-29",8.98
"72","2018-01-02",9.23
"73","2018-01-03",9.1
"74","2018-01-04",9.2
"75","2018-01-05",9.57
"76","2018-01-08",9.34
"77","2018-01-09",9.2
"78","2018-01-10",9.18
"79","2018-01-11",9.15
"80","2018-01-12",9.23
"81","2018-01-16",9.09
"82","2018-01-17",9.2
"83","2018-01-18",9.17
"84","2018-01-19",9.02
"85","2018-01-22",9.02
"86","2018-01-23",9.1
"87","2018-01-24",9.02
"88","2018-01-25",9.05
"89","2018-01-26",9.05
"90","2018-01-29",9.01
"91","2018-01-30",8.68
"92","2018-01-31",9
"93","2018-02-01",9
"94","2018-02-02",8.78
"95","2018-02-05",8.66
"96","2018-02-06",8.64
"97","2018-02-07",8.49
"98","2018-02-08",8.49
"99","2018-02-09",8.24
"100","2018-02-12",8.44
"101","2018-02-13",8.91
"102","2018-02-14",9.35
"103","2018-02-15",9.65
"104","2018-02-16",9.65
"105","2018-02-20",9.2
"106","2018-02-21",9.19
"107","2018-02-22",9.15
"108","2018-02-23",9.41
"109","2018-02-26",9.41
"110","2018-02-27",9.3
"111","2018-02-28",9.73
"112","2018-03-01",10.42
"113","2018-03-02",10.3
"114","2018-03-05",10.45
"115","2018-03-06",11.06
"116","2018-03-07",11.01
"117","2018-03-08",10.85
"118","2018-03-09",10.67
"119","2018-03-12",10.24
"120","2018-03-13",10.42
"121","2018-03-14",10.13
"122","2018-03-15",9.85
"123","2018-03-16",10.14
"124","2018-03-19",10.04
"125","2018-03-20",10.03
"126","2018-03-21",10.43
"127","2018-03-22",10.22
"128","2018-03-23",10.27
"129","2018-03-26",10.84
"130","2018-03-27",10.55
"131","2018-03-28",10.16
"132","2018-03-29",10.3
"133","2018-04-02",9.95
"134","2018-04-03",10.37
"135","2018-04-04",10.37
"136","2018-04-05",10.29
"137","2018-04-06",10.18
"138","2018-04-09",10.15
"139","2018-04-10",10.15
"140","2018-04-11",10.1
"141","2018-04-12",9.93
"142","2018-04-13",10.28
"143","2018-04-16",10.19
"144","2018-04-17",10.45
"145","2018-04-18",11.04
"146","2018-04-19",11.21
"147","2018-04-20",11.51
"148","2018-04-23",11.57
"149","2018-04-24",11.02
"150","2018-04-25",11.03
"151","2018-04-26",11.34
"152","2018-04-27",11.09
"153","2018-04-30",11.15
"154","2018-05-01",12.01
"155","2018-05-02",11.56
"156","2018-05-03",11.63
"157","2018-05-04",11.93
"158","2018-05-07",12.92
"159","2018-05-08",12.7
"160","2018-05-09",12.48
"161","2018-05-10",11.46
"162","2018-05-11",11.26
"163","2018-05-14",11.29
"164","2018-05-15",11.38
"165","2018-05-16",11.31
"166","2018-05-17",11.29
"167","2018-05-18",11.29
"168","2018-05-21",11.17
"169","2018-05-22",11.1
"170","2018-05-23",10.77
"171","2018-05-24",11.21
"172","2018-05-25",11.7
"173","2018-05-29",11.48
"174","2018-05-30",11.87
"175","2018-05-31",11.99
"176","2018-06-01",11.9
"177","2018-06-04",11.95
"178","2018-06-05",11.99
"179","2018-06-06",11.98
"180","2018-06-07",11.86
"181","2018-06-08",11.97
"182","2018-06-11",12.85
"183","2018-06-12",12.53
"184","2018-06-13",12.34
"185","2018-06-14",12.43
"186","2018-06-15",12.55
"187","2018-06-18",12.33
"188","2018-06-19",11.9
"189","2018-06-20",12.14
"190","2018-06-21",11.93
"191","2018-06-22",12.01
"192","2018-06-25",11.56
"193","2018-06-26",11.71
"194","2018-06-27",11.68
"195","2018-06-28",11.72
"196","2018-06-29",12.22
"197","2018-07-02",12.18
"198","2018-07-03",12.09
"199","2018-07-05",12.01
"200","2018-07-06",11.81
"201","2018-07-09",11.42
"202","2018-07-10",11.1
"203","2018-07-11",10.8
"204","2018-07-12",10.7
"205","2018-07-13",10.49
"206","2018-07-16",10.53
"207","2018-07-17",10.61
"208","2018-07-18",10.37
"209","2018-07-19",10.2
"210","2018-07-20",10
"211","2018-07-23",10.1
"212","2018-07-24",10.31
