"","date","EPR"
"1","2007-01-03",58.549999
"2","2007-01-04",59.349998
"3","2007-01-05",58.040001
"4","2007-01-08",58.080002
"5","2007-01-09",59.009998
"6","2007-01-10",59.849998
"7","2007-01-11",60.650002
"8","2007-01-12",60.900002
"9","2007-01-16",61
"10","2007-01-17",61.09
"11","2007-01-18",61.07
"12","2007-01-19",61.939999
"13","2007-01-22",61.759998
"14","2007-01-23",62.380001
"15","2007-01-24",62.709999
"16","2007-01-25",63.130001
"17","2007-01-26",62.990002
"18","2007-01-29",63.830002
"19","2007-01-30",64.25
"20","2007-01-31",64.860001
"21","2007-02-01",65.68
"22","2007-02-02",65.449997
"23","2007-02-05",65.360001
"24","2007-02-06",65.510002
"25","2007-02-07",66.690002
"26","2007-02-08",67.239998
"27","2007-02-09",67
"28","2007-02-12",66.480003
"29","2007-02-13",67.349998
"30","2007-02-14",67.25
"31","2007-02-15",67.599998
"32","2007-02-16",67.529999
"33","2007-02-20",68.599998
"34","2007-02-21",68.43
"35","2007-02-22",68.400002
"36","2007-02-23",67.709999
"37","2007-02-26",67.879997
"38","2007-02-27",65.449997
"39","2007-02-28",65.5
"40","2007-03-01",66.019997
"41","2007-03-02",64.059998
"42","2007-03-05",61.66
"43","2007-03-06",63.110001
"44","2007-03-07",61.68
"45","2007-03-08",62.48
"46","2007-03-09",63.27
"47","2007-03-12",63.91
"48","2007-03-13",62.150002
"49","2007-03-14",60.52
"50","2007-03-15",60.799999
"51","2007-03-16",60.029999
"52","2007-03-19",61.029999
"53","2007-03-20",61.580002
"54","2007-03-21",62.900002
"55","2007-03-22",62.799999
"56","2007-03-23",62
"57","2007-03-26",61.610001
"58","2007-03-27",59.970001
"59","2007-03-28",58.860001
"60","2007-03-29",59.619999
"61","2007-03-30",60.25
"62","2007-04-02",60.93
"63","2007-04-03",61.759998
"64","2007-04-04",61.700001
"65","2007-04-05",62.139999
"66","2007-04-09",61.950001
"67","2007-04-10",62.27
"68","2007-04-11",61.009998
"69","2007-04-12",60.91
"70","2007-04-13",61.880001
"71","2007-04-16",62.779999
"72","2007-04-17",63.169998
"73","2007-04-18",62.049999
"74","2007-04-19",61.360001
"75","2007-04-20",62.360001
"76","2007-04-23",63.5
"77","2007-04-24",63.150002
"78","2007-04-25",62.970001
"79","2007-04-26",62.919998
"80","2007-04-27",63.049999
"81","2007-04-30",60.419998
"82","2007-05-01",59.91
"83","2007-05-02",61.48
"84","2007-05-03",61.580002
"85","2007-05-04",61.18
"86","2007-05-07",60.740002
"87","2007-05-08",60.82
"88","2007-05-09",61.529999
"89","2007-05-10",60.09
"90","2007-05-11",61.009998
"91","2007-05-14",60.610001
"92","2007-05-15",59.240002
"93","2007-05-16",58.759998
"94","2007-05-17",56.669998
"95","2007-05-18",55.860001
"96","2007-05-21",56.450001
"97","2007-05-22",57.18
"98","2007-05-23",56.91
"99","2007-05-24",56.139999
"100","2007-05-25",56.66
"101","2007-05-29",58.200001
"102","2007-05-30",59.23
"103","2007-05-31",59.049999
"104","2007-06-01",59.290001
"105","2007-06-04",60.029999
"106","2007-06-05",59.380001
"107","2007-06-06",59.080002
"108","2007-06-07",57.16
"109","2007-06-08",57.66
"110","2007-06-11",57.790001
"111","2007-06-12",56.049999
"112","2007-06-13",56.830002
"113","2007-06-14",56.610001
"114","2007-06-15",57.299999
"115","2007-06-18",56.189999
"116","2007-06-19",56.450001
"117","2007-06-20",55.049999
"118","2007-06-21",54.599998
"119","2007-06-22",54.080002
