"","date","NYC"
"1","2020-08-18",17.6
"2","2020-08-19",14.479
"3","2020-08-20",14.75
"4","2020-08-21",13.83
"5","2020-08-24",13.79
"6","2020-08-25",13.54
"7","2020-08-26",13.25
"8","2020-08-27",13.95
"9","2020-08-28",13.473
"10","2020-08-31",13.3
"11","2020-09-01",13.25
"12","2020-09-02",13.19
"13","2020-09-03",13.11
"14","2020-09-04",12.82
"15","2020-09-08",12.31
"16","2020-09-09",12.15
"17","2020-09-10",12.1
"18","2020-09-11",12.05
"19","2020-09-14",12
"20","2020-09-15",11.939
"21","2020-09-16",12.51
"22","2020-09-17",12.77
"23","2020-09-18",13.5
"24","2020-09-21",12.88
"25","2020-09-22",12.5
"26","2020-09-23",12.225
"27","2020-09-24",12.2
"28","2020-09-25",11.98
"29","2020-09-28",11.96
"30","2020-09-29",12.1
"31","2020-09-30",12.2
"32","2020-10-01",11.98
"33","2020-10-02",11.71
"34","2020-10-05",11.997
"35","2020-10-06",11.81
"36","2020-10-07",11.45
"37","2020-10-08",11.6
"38","2020-10-09",11.695
"39","2020-10-12",11.53
"40","2020-10-13",11.44
"41","2020-10-14",11.25
"42","2020-10-15",11.35
"43","2020-10-16",11.25
"44","2020-10-19",11.7
"45","2020-10-20",12.03
"46","2020-10-21",11.73
"47","2020-10-22",11.51
"48","2020-10-23",11.69
"49","2020-10-26",11.8
"50","2020-10-27",11.72
"51","2020-10-28",11.1
"52","2020-10-29",11.2
"53","2020-10-30",11.08
"54","2020-11-02",11.088
"55","2020-11-03",11.22
"56","2020-11-04",10.925
"57","2020-11-05",10.84
"58","2020-11-06",10.1
"59","2020-11-09",10.07
"60","2020-11-10",9.954
"61","2020-11-11",10.11
"62","2020-11-12",9.53
"63","2020-11-13",9.775
"64","2020-11-16",10
"65","2020-11-17",10.011
"66","2020-11-18",10
"67","2020-11-19",9.8
"68","2020-11-20",9.926
"69","2020-11-23",11.3
"70","2020-11-24",10.835
"71","2020-11-25",10.928
"72","2020-11-27",10.405
