"","date","LOOP"
"230","2018-10-18",9.95
"231","2018-10-19",9.5
"232","2018-10-22",9.54
"233","2018-10-23",9.58
"234","2018-10-24",9.45
"235","2018-10-25",9.52
"236","2018-10-26",9.75
"237","2018-10-29",9.5
"238","2018-10-30",8.71
"239","2018-10-31",9.19
"240","2018-11-01",9.19
"241","2018-11-02",8.58
"242","2018-11-05",8.5
"243","2018-11-06",8.55
"244","2018-11-07",8.48
"245","2018-11-08",8.2
"246","2018-11-09",8.255
"247","2018-11-12",7.21
"248","2018-11-13",7.475
"249","2018-11-14",8
"250","2018-11-15",7.91
"251","2018-11-16",7.65
"252","2018-11-19",7.99
"253","2018-11-20",7.599
"254","2018-11-21",7.62
"255","2018-11-23",7.42
"256","2018-11-26",7.77
"257","2018-11-27",7.88
"258","2018-11-28",8.05
"259","2018-11-29",8
"260","2018-11-30",8.19
"261","2018-12-03",7.99
"262","2018-12-04",7.62
"263","2018-12-06",8.12
"264","2018-12-07",7.55
"265","2018-12-10",7.34
"266","2018-12-11",6.63
"267","2018-12-12",7.02
"268","2018-12-13",8.01
"269","2018-12-14",7.79
"270","2018-12-17",7.86
"271","2018-12-18",7.61
"272","2018-12-19",8
"273","2018-12-20",7.69
"274","2018-12-21",8.2
"275","2018-12-24",7.99
"276","2018-12-26",7.28
"277","2018-12-27",7.71
"278","2018-12-28",7.73
"279","2018-12-31",7.77
"280","2019-01-02",8.24
"281","2019-01-03",8.92
"282","2019-01-04",9.39
"283","2019-01-07",9.62
"284","2019-01-08",9.98
"285","2019-01-09",9.85
"286","2019-01-10",10.25
"287","2019-01-11",9.48
"288","2019-01-14",8.8
"289","2019-01-15",8.84
"290","2019-01-16",8.84
"291","2019-01-17",8.76
"292","2019-01-18",8.75
"293","2019-01-22",8.7
"294","2019-01-23",8.7
"295","2019-01-24",8.6
"296","2019-01-25",8.65
"297","2019-01-28",8.7
"298","2019-01-29",8.715
"299","2019-01-30",8.68
"300","2019-01-31",8.73
"301","2019-02-01",8.93
"302","2019-02-04",9.52
"303","2019-02-05",10.14
"304","2019-02-06",10.06
"305","2019-02-07",10.25
"306","2019-02-08",10.54
"307","2019-02-11",10.32
"308","2019-02-12",10.42
"309","2019-02-13",10.88
"310","2019-02-14",11.95
"311","2019-02-15",11.82
"312","2019-02-19",11.8
"313","2019-02-20",11.91
"314","2019-02-21",12.17
"315","2019-02-22",11.95
"316","2019-02-25",11.8
"317","2019-02-26",11.54
"318","2019-02-27",9.8
"319","2019-02-28",9.69
"320","2019-03-01",9.792
"321","2019-03-04",9.96
"322","2019-03-05",9.73
"323","2019-03-06",9.55
"324","2019-03-07",9.25
"325","2019-03-08",9.5
"326","2019-03-11",9.09
"327","2019-03-12",9.13
"328","2019-03-13",9.27
"329","2019-03-14",9.24
"330","2019-03-15",9.53
"331","2019-03-18",9.31
"332","2019-03-19",9.3
"333","2019-03-20",8.895
"334","2019-03-21",8.65
"335","2019-03-22",8.47
"336","2019-03-25",8.43
"337","2019-03-26",8.28
"338","2019-03-27",8.06
"339","2019-03-28",8.17
"340","2019-03-29",7.92
"341","2019-04-01",7.93
"342","2019-04-02",7.76
"343","2019-04-03",7.52
"344","2019-04-04",7.47
"345","2019-04-05",7.43
"346","2019-04-08",7.69
"347","2019-04-09",7.42
"348","2019-04-10",7.2
"349","2019-04-11",7.14
"350","2019-04-12",7.26
"351","2019-04-15",7.48
"352","2019-04-16",7.55
"353","2019-04-17",7.3
"354","2019-04-18",7.34
"355","2019-04-22",7.74
"356","2019-04-23",7.58
"357","2019-04-24",7.5
"358","2019-04-25",7.13
"359","2019-04-26",7.2
"360","2019-04-29",7.07
"361","2019-04-30",7.08
"362","2019-05-01",7
"363","2019-05-02",6.63
"364","2019-05-03",6.65
"365","2019-05-06",6.89
"366","2019-05-07",7.2
"367","2019-05-08",6.9
"368","2019-05-09",6.8
"369","2019-05-10",7
"370","2019-05-13",7.35
"371","2019-05-14",7.24
"372","2019-05-15",6.83
"373","2019-05-16",7.12
"374","2019-05-17",6.98
"375","2019-05-20",6.79
"376","2019-05-21",7.18
"377","2019-05-22",6.99
"378","2019-05-23",6.77
"379","2019-05-24",7.35
"380","2019-05-28",7.74
"381","2019-05-29",7.56
"382","2019-05-30",8.05
"383","2019-05-31",8.45
"384","2019-06-03",8.33
"385","2019-06-04",8.11
"386","2019-06-05",8.35
"387","2019-06-06",8.25
"388","2019-06-07",8.55
"389","2019-06-10",8.78
"390","2019-06-11",8.74
"391","2019-06-12",8.71
"392","2019-06-13",8.97
"393","2019-06-14",8.1
"394","2019-06-17",8.32
"395","2019-06-18",8.29
"396","2019-06-19",8.63
"397","2019-06-20",9.35
"398","2019-06-21",9.99
"399","2019-06-24",9.73
"400","2019-06-25",9.32
"401","2019-06-26",9.5
"402","2019-06-27",9.85
"403","2019-06-28",9.89
"404","2019-07-01",10.5
"405","2019-07-02",11.2
"406","2019-07-03",11.75
"407","2019-07-05",12.16
"408","2019-07-08",12.21
"409","2019-07-09",13.34
"410","2019-07-10",13.13
"411","2019-07-11",11
"412","2019-07-12",12.12
"413","2019-07-15",12.19
"414","2019-07-16",12.36
"415","2019-07-17",12.07
"416","2019-07-18",12.09
"417","2019-07-19",11.64
"418","2019-07-22",12.22
"419","2019-07-23",12
"420","2019-07-24",12.26
"421","2019-07-25",12.2
"422","2019-07-26",12.63
"423","2019-07-29",12.94
"424","2019-07-30",12.88
"425","2019-07-31",13
"426","2019-08-01",12.86
"427","2019-08-02",13.74
"428","2019-08-05",13.66
"429","2019-08-06",13
"430","2019-08-07",12.83
"431","2019-08-08",13.19
"432","2019-08-09",12.9
"433","2019-08-12",13.06
"434","2019-08-13",12.99
"435","2019-08-14",13.1
"436","2019-08-15",13
"437","2019-08-16",13.26
"438","2019-08-19",13.73
"439","2019-08-20",14.1
"440","2019-08-21",14
"441","2019-08-22",13.69
"442","2019-08-23",13.6
"443","2019-08-26",13.4
"444","2019-08-27",12.92
"445","2019-08-28",14
"446","2019-08-29",14.01
"447","2019-08-30",14.15
"448","2019-09-03",14.45
"449","2019-09-04",14.99
"450","2019-09-05",15.16
"451","2019-09-06",14.09
"452","2019-09-09",14.57
"453","2019-09-10",15.18
"454","2019-09-11",15.08
"455","2019-09-12",15.29
"456","2019-09-13",15.45
"457","2019-09-16",16.15
"458","2019-09-17",17.08
"459","2019-09-18",16.67
"460","2019-09-19",17.139999
"461","2019-09-20",17.26
"462","2019-09-23",17.98
"463","2019-09-24",17.5
"464","2019-09-25",14.75
"465","2019-09-26",14.18
"466","2019-09-27",12.76
"467","2019-09-30",12.82
"468","2019-10-01",13.39
"469","2019-10-02",13.23
"470","2019-10-03",12.72
"471","2019-10-04",12.29
"472","2019-10-07",12.29
"473","2019-10-08",12.78
"474","2019-10-09",10.3
"475","2019-10-10",10.39
"476","2019-10-11",10.26
"477","2019-10-14",10.66
"478","2019-10-15",10.46
"479","2019-10-16",10.83
"480","2019-10-17",11.06
"481","2019-10-18",10.9
"482","2019-10-21",11.25
"483","2019-10-22",10.91
"484","2019-10-23",11.29
"485","2019-10-24",11.48
"486","2019-10-25",10.94
"487","2019-10-28",10.84
"488","2019-10-29",10.93
"489","2019-10-30",10.72
"490","2019-10-31",9.95
"491","2019-11-01",10.29
"492","2019-11-04",9.84
"493","2019-11-05",9.36
"494","2019-11-06",9.82
"495","2019-11-07",9.63
"496","2019-11-08",10.07
"497","2019-11-11",10.15
"498","2019-11-12",10.15
"499","2019-11-13",10.04
"500","2019-11-14",10.21
"501","2019-11-15",10.42
"502","2019-11-18",10.58
"503","2019-11-19",10.53
"504","2019-11-20",10.41
"505","2019-11-21",10.49
"506","2019-11-22",10.8
"507","2019-11-25",10.35
"508","2019-11-26",10.06
"509","2019-11-27",10.17
"510","2019-11-29",10.19
"511","2019-12-02",10.16
"512","2019-12-03",10.03
"513","2019-12-04",9.81
"514","2019-12-05",10.45
"515","2019-12-06",10.43
"516","2019-12-09",10
"517","2019-12-10",10.65
"518","2019-12-11",10.86
"519","2019-12-12",11.3
"520","2019-12-13",11.22
"521","2019-12-16",11.72
"522","2019-12-17",11.12
"523","2019-12-18",11.37
"524","2019-12-19",11.43
"525","2019-12-20",11.56
"526","2019-12-23",11.18
"527","2019-12-24",10.99
"528","2019-12-26",10.65
"529","2019-12-27",10.3
"530","2019-12-30",10.05
"531","2019-12-31",9.9
"532","2020-01-02",10.2
"533","2020-01-03",10.16
"534","2020-01-06",10.6
"535","2020-01-07",11
"536","2020-01-08",10.76
"537","2020-01-09",10.61
"538","2020-01-10",9.93
"539","2020-01-13",10.27
"540","2020-01-14",10.23
"541","2020-01-15",9.96
"542","2020-01-16",9.91
"543","2020-01-17",10.19
"544","2020-01-21",10.17
"545","2020-01-22",10.12
"546","2020-01-23",9.67
"547","2020-01-24",10.21
"548","2020-01-27",10.01
"549","2020-01-28",10.17
"550","2020-01-29",10.14
"551","2020-01-30",10
"552","2020-01-31",10.06
"553","2020-02-03",10.2
"554","2020-02-04",10.7
"555","2020-02-05",10.22
"556","2020-02-06",10.07
"557","2020-02-07",9.96
"558","2020-02-10",10.1
"559","2020-02-11",10.38
"560","2020-02-12",10.41
"561","2020-02-13",10.5
"562","2020-02-14",10.38
"563","2020-02-18",10.13
"564","2020-02-19",10.01
"565","2020-02-20",11.41
"566","2020-02-21",10.37
"567","2020-02-24",10.29
"568","2020-02-25",10.08
"569","2020-02-26",10.18
"570","2020-02-27",9.5
"571","2020-02-28",8.78
"572","2020-03-02",9.26
"573","2020-03-03",8.88
"574","2020-03-04",9.47
"575","2020-03-05",9.31
"576","2020-03-06",9.1
"577","2020-03-09",8.658
"578","2020-03-10",8.75
"579","2020-03-11",8.54
"580","2020-03-12",7.35
"581","2020-03-13",7.55
"582","2020-03-16",6.82
"583","2020-03-17",6.85
"584","2020-03-18",6.78
"585","2020-03-19",7
"586","2020-03-20",6.88
"587","2020-03-23",6.43
"588","2020-03-24",6.26
"589","2020-03-25",6.74
"590","2020-03-26",7.1
"591","2020-03-27",7.14
"592","2020-03-30",7.16
"593","2020-03-31",7.29
"594","2020-04-01",7.25
"595","2020-04-02",6.87
"596","2020-04-03",6.87
"597","2020-04-06",7.14
"598","2020-04-07",7.19
"599","2020-04-08",7.13
"600","2020-04-09",7.5
"601","2020-04-13",7.72
"602","2020-04-14",8.05
"603","2020-04-15",7.69
"604","2020-04-16",7.38
"605","2020-04-17",7.2
"606","2020-04-20",7.5
"607","2020-04-21",7.28
"608","2020-04-22",7.25
"609","2020-04-23",7.2
"610","2020-04-24",7.11
"611","2020-04-27",7.82
"612","2020-04-28",7.92
"613","2020-04-29",7.72
"614","2020-04-30",7.74
"615","2020-05-01",7.63
"616","2020-05-04",8.16
"617","2020-05-05",8.57
"618","2020-05-06",8.62
"619","2020-05-07",9.1
"620","2020-05-08",9.55
"621","2020-05-11",9.33
"622","2020-05-12",9.32
"623","2020-05-13",9.14
"624","2020-05-14",8.61
"625","2020-05-15",8.51
"626","2020-05-18",8.93
"627","2020-05-19",9.09
"628","2020-05-20",9.44
"629","2020-05-21",9.41
"630","2020-05-22",9.2
"631","2020-05-26",8.52
"632","2020-05-27",9
"633","2020-05-28",9.11
"634","2020-05-29",8.58
"635","2020-06-01",8.97
"636","2020-06-02",8.86
"637","2020-06-03",9.3
"638","2020-06-04",9.27
"639","2020-06-05",9.2
"640","2020-06-08",9.22
"641","2020-06-09",10.27
"642","2020-06-10",10.18
"643","2020-06-11",9.98
"644","2020-06-12",9.99
"645","2020-06-15",9.99
"646","2020-06-16",9.88
"647","2020-06-17",9.85
"648","2020-06-18",9.19
"649","2020-06-19",9.07
"650","2020-06-22",9.18
"651","2020-06-23",9.64
"652","2020-06-24",9.24
"653","2020-06-25",9.125
"654","2020-06-26",9.24
"655","2020-06-29",9.2
"656","2020-06-30",9
"657","2020-07-01",9.05
"658","2020-07-02",9.04
"659","2020-07-06",9.04
"660","2020-07-07",9.5
"661","2020-07-08",9.04
"662","2020-07-09",8.84
"663","2020-07-10",9.27
"664","2020-07-13",9.29
"665","2020-07-14",9.3
"666","2020-07-15",9.15
"667","2020-07-16",8.995
"668","2020-07-17",9.15
"669","2020-07-20",9.22
"670","2020-07-21",9.39
"671","2020-07-22",9.5
"672","2020-07-23",9.62
"673","2020-07-24",9.54
"674","2020-07-27",9.71
"675","2020-07-28",10.02
"676","2020-07-29",10.42
"677","2020-07-30",10.01
"678","2020-07-31",10.29
"679","2020-08-03",10.27
"680","2020-08-04",10.27
"681","2020-08-05",10.15
"682","2020-08-06",10.2
"683","2020-08-07",10.29
"684","2020-08-10",10.37
"685","2020-08-11",10.4
"686","2020-08-12",10.445
"687","2020-08-13",10.63
"688","2020-08-14",10.54
"689","2020-08-17",10.6
"690","2020-08-18",10.55
"691","2020-08-19",10.4
"692","2020-08-20",10.33
"693","2020-08-21",10.35
"694","2020-08-24",10.25
"695","2020-08-25",10.38
"696","2020-08-26",10.47
"697","2020-08-27",10.63
"698","2020-08-28",10.82
"699","2020-08-31",11.02
"700","2020-09-01",10.99
"701","2020-09-02",10.97
"702","2020-09-03",10.97
"703","2020-09-04",10.93
"704","2020-09-08",11.57
"705","2020-09-09",12.46
"706","2020-09-10",12.98
"707","2020-09-11",12.73
"708","2020-09-14",13.32
"709","2020-09-15",13.53
"710","2020-09-16",13.77
"711","2020-09-17",13.61
"712","2020-09-18",13
"713","2020-09-21",12.81
"714","2020-09-22",12.81
"715","2020-09-23",12.64
"716","2020-09-24",12.15
"717","2020-09-25",12.35
"718","2020-09-28",12.7
"719","2020-09-29",12.85
"720","2020-09-30",13.66
"721","2020-10-01",13.52
"722","2020-10-02",13.28
"723","2020-10-05",13.37
"724","2020-10-06",13.04
"725","2020-10-07",13.49
"726","2020-10-08",12.4
"727","2020-10-09",12.25
"728","2020-10-12",11.61
"729","2020-10-13",7.83
"730","2020-10-14",7.55
"731","2020-10-15",7.63
"732","2020-10-16",7.845
"733","2020-10-19",6.92
"734","2020-10-20",6.78
"735","2020-10-21",6.45
"736","2020-10-22",6.46
"737","2020-10-23",7.25
"738","2020-10-26",6.79
"739","2020-10-27",6.72
"740","2020-10-28",6.19
"741","2020-10-29",5.85
"742","2020-10-30",6.04
"743","2020-11-02",6.25
"744","2020-11-03",6.69
"745","2020-11-04",6.08
