"","date","IMMU"
"1","2007-01-03",3.59
"2","2007-01-04",3.62
"3","2007-01-05",3.62
"4","2007-01-08",4.23
"5","2007-01-09",4.03
"6","2007-01-10",4.21
"7","2007-01-11",4.33
"8","2007-01-12",4.53
"9","2007-01-16",4.57
"10","2007-01-17",4.61
"11","2007-01-18",4.42
"12","2007-01-19",4.43
"13","2007-01-22",4.38
"14","2007-01-23",4.13
"15","2007-01-24",4.32
"16","2007-01-25",4.2
"17","2007-01-26",4.13
"18","2007-01-29",4.13
"19","2007-01-30",4.02
"20","2007-01-31",4.1
"21","2007-02-01",4.39
"22","2007-02-02",4.29
"23","2007-02-05",4.27
"24","2007-02-06",4.15
"25","2007-02-07",4.07
"26","2007-02-08",3.97
"27","2007-02-09",3.96
"28","2007-02-12",4.15
"29","2007-02-13",4.42
"30","2007-02-14",4.61
"31","2007-02-15",4.47
"32","2007-02-16",4.68
"33","2007-02-20",4.84
"34","2007-02-21",4.85
"35","2007-02-22",4.88
"36","2007-02-23",4.94
"37","2007-02-26",4.95
"38","2007-02-27",4.61
"39","2007-02-28",4.55
"40","2007-03-01",4.54
"41","2007-03-02",4.37
"42","2007-03-05",4.19
"43","2007-03-06",4.35
"44","2007-03-07",4.51
"45","2007-03-08",4.51
"46","2007-03-09",4.49
"47","2007-03-12",4.61
"48","2007-03-13",4.59
"49","2007-03-14",4.44
"50","2007-03-15",4.4
"51","2007-03-16",4.4
"52","2007-03-19",4.46
"53","2007-03-20",4.45
"54","2007-03-21",4.48
"55","2007-03-22",4.6
"56","2007-03-23",4.89
"57","2007-03-26",4.74
"58","2007-03-27",4.79
"59","2007-03-28",4.8
"60","2007-03-29",4.73
"61","2007-03-30",4.58
"62","2007-04-02",4.7
"63","2007-04-03",4.78
"64","2007-04-04",4.8
"65","2007-04-05",4.88
"66","2007-04-09",5.21
"67","2007-04-10",5.2
"68","2007-04-11",5.66
"69","2007-04-12",5.69
"70","2007-04-13",5.73
"71","2007-04-16",5.69
"72","2007-04-17",5.64
"73","2007-04-18",5.94
"74","2007-04-19",5.84
"75","2007-04-20",5.94
"76","2007-04-23",5.85
"77","2007-04-24",5.81
"78","2007-04-25",5.62
"79","2007-04-26",5.22
"80","2007-04-27",5.38
"81","2007-04-30",5.26
"82","2007-05-01",5.35
"83","2007-05-02",5.41
"84","2007-05-03",5.34
"85","2007-05-04",5.3
"86","2007-05-07",5.29
"87","2007-05-08",5.12
"88","2007-05-09",5.04
"89","2007-05-10",4.96
"90","2007-05-11",4.91
"91","2007-05-14",4.82
"92","2007-05-15",4.89
"93","2007-05-16",4.87
"94","2007-05-17",4.82
"95","2007-05-18",4.89
"96","2007-05-21",4.91
"97","2007-05-22",4.85
"98","2007-05-23",4.97
"99","2007-05-24",4.92
"100","2007-05-25",4.97
"101","2007-05-29",4.97
"102","2007-05-30",5.02
"103","2007-05-31",5.33
"104","2007-06-01",5.56
"105","2007-06-04",5.36
"106","2007-06-05",5.3
"107","2007-06-06",5.07
"108","2007-06-07",4.81
"109","2007-06-08",4.95
"110","2007-06-11",4.72
"111","2007-06-12",4.56
"112","2007-06-13",4.69
"113","2007-06-14",4.68
"114","2007-06-15",4.77
"115","2007-06-18",4.64
"116","2007-06-19",4.75
"117","2007-06-20",4.61
"118","2007-06-21",4.56
"119","2007-06-22",4.33
"120","2007-06-25",4.31
"121","2007-06-26",4.19
"122","2007-06-27",4.32
"123","2007-06-28",4.25
"124","2007-06-29",4.15
"125","2007-07-02",4.16
"126","2007-07-03",4.24
"127","2007-07-05",4.41
"128","2007-07-06",4.43
"129","2007-07-09",4.39
"130","2007-07-10",4.36
"131","2007-07-11",4.4
"132","2007-07-12",4.47
"133","2007-07-13",4.46
"134","2007-07-16",4.37
"135","2007-07-17",4.29
"136","2007-07-18",4.25
"137","2007-07-19",4.29
"138","2007-07-20",4.18
"139","2007-07-23",4.08
"140","2007-07-24",3.94
"141","2007-07-25",3.99
"142","2007-07-26",3.41
"143","2007-07-27",3.25
"144","2007-07-30",3.09
"145","2007-07-31",2.88
"146","2007-08-01",2.78
"147","2007-08-02",2.73
"148","2007-08-03",2.56
"149","2007-08-06",2.62
"150","2007-08-07",2.69
"151","2007-08-08",2.64
