"","date","RVNC"
"1","2014-02-06",26.85
"2","2014-02-07",28
"3","2014-02-10",27.120001
"4","2014-02-11",26.6
"5","2014-02-12",26.93
"6","2014-02-13",26.719999
"7","2014-02-14",26.75
"8","2014-02-18",26.889999
"9","2014-02-19",26.35
"10","2014-02-20",25.9
"11","2014-02-21",29.84
"12","2014-02-24",29.58
"13","2014-02-25",30.1
"14","2014-02-26",29.6
"15","2014-02-27",29.940001
"16","2014-02-28",26.93
"17","2014-03-03",27.780001
"18","2014-03-04",28.709999
"19","2014-03-05",31.610001
"20","2014-03-06",32.720001
"21","2014-03-07",34.349998
"22","2014-03-10",34.849998
"23","2014-03-11",35.259998
"24","2014-03-12",38.900002
"25","2014-03-13",38.52
"26","2014-03-14",37.759998
"27","2014-03-17",37.139999
"28","2014-03-18",37.48
"29","2014-03-19",37.310001
"30","2014-03-20",36.91
"31","2014-03-21",35.560001
"32","2014-03-24",33.700001
"33","2014-03-25",30.870001
"34","2014-03-26",30.82
"35","2014-03-27",29.73
"36","2014-03-28",30.42
"37","2014-03-31",31.5
"38","2014-04-01",31.24
"39","2014-04-02",32.110001
"40","2014-04-03",31.370001
"41","2014-04-04",29.83
"42","2014-04-07",29
"43","2014-04-08",28.93
"44","2014-04-09",29.610001
"45","2014-04-10",28.799999
"46","2014-04-11",28.1
"47","2014-04-14",27.08
"48","2014-04-15",26.16
"49","2014-04-16",26.889999
"50","2014-04-17",28.280001
"51","2014-04-21",28.620001
"52","2014-04-22",35.990002
"53","2014-04-23",36.380001
"54","2014-04-24",35.830002
"55","2014-04-25",34.330002
"56","2014-04-28",34.27
"57","2014-04-29",35.209999
"58","2014-04-30",34.279999
"59","2014-05-01",34.16
"60","2014-05-02",32.849998
"61","2014-05-05",32.580002
"62","2014-05-06",31.530001
"63","2014-05-07",31.41
"64","2014-05-08",29.790001
"65","2014-05-09",30.280001
"66","2014-05-12",31.1
"67","2014-05-13",31.01
"68","2014-05-14",31.9
"69","2014-05-15",31.76
"70","2014-05-16",31.799999
"71","2014-05-19",32.220001
"72","2014-05-20",31.41
"73","2014-05-21",31.549999
"74","2014-05-22",31.879999
"75","2014-05-23",31.969999
"76","2014-05-27",32.169998
"77","2014-05-28",31.98
"78","2014-05-29",32.200001
"79","2014-05-30",31.49
"80","2014-06-02",30.129999
"81","2014-06-03",30.110001
"82","2014-06-04",29.559999
"83","2014-06-05",30.09
"84","2014-06-06",30.34
"85","2014-06-09",28.65
"86","2014-06-10",30.715
"87","2014-06-11",30.389999
"88","2014-06-12",30.030001
"89","2014-06-13",30.01
"90","2014-06-16",29.639999
"91","2014-06-17",30
"92","2014-06-18",31.559999
"93","2014-06-19",31.77
"94","2014-06-20",32.48
"95","2014-06-23",32.93
"96","2014-06-24",32.389999
"97","2014-06-25",33.139999
"98","2014-06-26",33.34
"99","2014-06-27",33.560001
"100","2014-06-30",34
"101","2014-07-01",33.450001
"102","2014-07-02",33.009998
"103","2014-07-03",32.75
"104","2014-07-07",32.25
"105","2014-07-08",31.01
"106","2014-07-09",31.34
"107","2014-07-10",31.49
"108","2014-07-11",32.139999
"109","2014-07-14",32.810001
"110","2014-07-15",30.790001
