"","date","ALLE"
"1","2013-11-18",48.48
"2","2013-11-19",45.799999
"3","2013-11-20",44.650002
"4","2013-11-21",43.790001
"5","2013-11-22",43.990002
"6","2013-11-25",44.18
"7","2013-11-26",43.200001
"8","2013-11-27",43.240002
"9","2013-11-29",43.240002
"10","2013-12-02",43.139999
"11","2013-12-03",42.900002
"12","2013-12-04",41.830002
"13","2013-12-05",41.049999
"14","2013-12-06",40.700001
"15","2013-12-09",41.18
"16","2013-12-10",42.560001
"17","2013-12-11",42.459999
"18","2013-12-12",42.970001
"19","2013-12-13",43.25
"20","2013-12-16",43.689999
"21","2013-12-17",43.75
"22","2013-12-18",44.27
"23","2013-12-19",44.450001
"24","2013-12-20",44.259998
"25","2013-12-23",44.650002
"26","2013-12-24",44.580002
"27","2013-12-26",44.700001
"28","2013-12-27",44.639999
"29","2013-12-30",44.119999
"30","2013-12-31",44.189999
"31","2014-01-02",43.650002
"32","2014-01-03",43.959999
"33","2014-01-06",43.68
"34","2014-01-07",43.869999
"35","2014-01-08",43.880001
"36","2014-01-09",44.130001
"37","2014-01-10",45.73
"38","2014-01-13",47.040001
"39","2014-01-14",47.799999
"40","2014-01-15",47.5
"41","2014-01-16",47.400002
"42","2014-01-17",48
"43","2014-01-21",48.169998
"44","2014-01-22",48.509998
"45","2014-01-23",47.720001
"46","2014-01-24",46.84
"47","2014-01-27",46.599998
"48","2014-01-28",47.73
"49","2014-01-29",47.779999
"50","2014-01-30",49.419998
"51","2014-01-31",49.349998
"52","2014-02-03",47.439999
"53","2014-02-04",48.049999
"54","2014-02-05",47.599998
"55","2014-02-06",49.240002
"56","2014-02-07",49.939999
"57","2014-02-10",49.84
"58","2014-02-11",49.889999
"59","2014-02-12",50
"60","2014-02-13",50.119999
"61","2014-02-14",49.630001
"62","2014-02-18",50.110001
"63","2014-02-19",49.16
"64","2014-02-20",51.52
"65","2014-02-21",52.369999
"66","2014-02-24",52.860001
"67","2014-02-25",54.560001
"68","2014-02-26",54.66
"69","2014-02-27",55.349998
"70","2014-02-28",54.349998
"71","2014-03-03",53.490002
"72","2014-03-04",54
"73","2014-03-05",53.950001
"74","2014-03-06",53.189999
"75","2014-03-07",53.389999
"76","2014-03-10",53.290001
"77","2014-03-11",54.5
"78","2014-03-12",54.279999
"79","2014-03-13",53.599998
"80","2014-03-14",53.299999
"81","2014-03-17",52.959999
"82","2014-03-18",53.279999
"83","2014-03-19",53.279999
"84","2014-03-20",54.169998
"85","2014-03-21",53.810001
"86","2014-03-24",53.470001
"87","2014-03-25",53.209999
"88","2014-03-26",52.040001
"89","2014-03-27",51.450001
"90","2014-03-28",52.16
"91","2014-03-31",52.169998
"92","2014-04-01",53.919998
"93","2014-04-02",54.669998
"94","2014-04-03",54.950001
"95","2014-04-04",53.73
"96","2014-04-07",51.619999
"97","2014-04-08",51.41
"98","2014-04-09",51.5
"99","2014-04-10",50.68
"100","2014-04-11",50.009998
"101","2014-04-14",49.77
"102","2014-04-15",49.959999
"103","2014-04-16",50.23
"104","2014-04-17",50.150002
"105","2014-04-21",50.630001
"106","2014-04-22",51
