"","date","BKYI"
"1","2007-01-03",32.639999
"2","2007-01-04",33.599998
"3","2007-01-05",32.639999
"4","2007-01-08",28.799999
"5","2007-01-09",28.799999
"6","2007-01-10",28.799999
"7","2007-01-11",30.719999
"8","2007-01-12",28.799999
"9","2007-01-16",27.84
"10","2007-01-17",27.84
"11","2007-01-18",27.84
"12","2007-01-19",28.799999
"13","2007-01-22",29.76
"14","2007-01-23",27.84
"15","2007-01-24",27.84
"16","2007-01-25",26.879999
"17","2007-01-26",27.84
"18","2007-01-29",26.879999
"19","2007-01-30",26.879999
"20","2007-01-31",25.92
"21","2007-02-01",25.92
"22","2007-02-02",25.92
"23","2007-02-05",24.959999
"24","2007-02-06",25.92
"25","2007-02-07",28.799999
"26","2007-02-08",28.799999
"27","2007-02-09",29.76
"28","2007-02-12",28.799999
"29","2007-02-13",29.76
"30","2007-02-14",30.719999
"31","2007-02-15",29.76
"32","2007-02-16",29.76
"33","2007-02-20",31.68
"34","2007-02-21",31.68
"35","2007-02-22",31.68
"36","2007-02-23",30.719999
"37","2007-02-26",28.799999
"38","2007-02-27",26.879999
"39","2007-02-28",26.879999
"40","2007-03-01",26.879999
"41","2007-03-02",27.84
"42","2007-03-05",29.76
"43","2007-03-06",30.719999
"44","2007-03-07",27.84
"45","2007-03-08",26.879999
"46","2007-03-09",25.92
"47","2007-03-12",25.92
"48","2007-03-13",25.92
"49","2007-03-14",24.959999
"50","2007-03-15",24
"51","2007-03-16",24
"52","2007-03-19",24
"53","2007-03-20",23.040001
"54","2007-03-21",24
"55","2007-03-22",22.08
"56","2007-03-23",22.08
"57","2007-03-26",21.120001
"58","2007-03-27",20.16
"59","2007-03-28",21.120001
"60","2007-03-29",22.08
"61","2007-03-30",23.040001
"62","2007-04-02",22.08
"63","2007-04-03",21.120001
"64","2007-04-04",21.120001
"65","2007-04-05",21.120001
"66","2007-04-09",20.16
"67","2007-04-10",19.200001
"68","2007-04-11",19.200001
"69","2007-04-12",16.32
"70","2007-04-13",18.24
"71","2007-04-16",18.24
"72","2007-04-17",18.24
"73","2007-04-18",18.24
"74","2007-04-19",18.24
