"","date","CPAC"
"1","2012-02-22",11.5
"2","2012-02-23",11.6
"3","2012-02-24",11.6
"4","2012-02-27",11.6
"5","2012-02-28",11.56
"6","2012-02-29",11.5
"7","2012-03-01",11.55
"8","2012-03-02",11.51
"9","2012-03-05",11.53
"10","2012-03-06",11.35
"11","2012-03-07",11.6
"12","2012-03-08",11.71
"13","2012-03-09",11.7
"14","2012-03-12",11.52
"15","2012-03-13",11.65
"16","2012-03-14",11.52
"17","2012-03-15",11.5
"18","2012-03-16",11.57
"19","2012-03-19",11.42
"20","2012-03-20",11.5
"21","2012-03-21",11.5
"22","2012-03-22",11.45
"23","2012-03-23",11.5
"24","2012-03-26",11.5
"25","2012-03-27",11.53
"26","2012-03-28",11.48
"27","2012-03-29",11.4
"28","2012-03-30",11.45
"29","2012-04-02",11.97
"30","2012-04-03",12.08
"31","2012-04-04",12.14
"32","2012-04-05",12.15
"33","2012-04-09",12.1
"34","2012-04-10",12.25
"35","2012-04-11",12.35
"36","2012-04-12",12.41
"37","2012-04-13",12.13
"38","2012-04-16",12.33
"39","2012-04-17",12.33
"40","2012-04-18",12.39
"41","2012-04-19",12.35
"42","2012-04-20",12.77
"43","2012-04-23",12.55
"44","2012-04-24",12.69
"45","2012-04-25",12.48
"46","2012-04-26",12.44
"47","2012-04-27",12.45
"48","2012-04-30",12.23
"49","2012-05-01",12.29
"50","2012-05-02",12.2
"51","2012-05-03",12
"52","2012-05-04",12.05
"53","2012-05-07",12.23
"54","2012-05-08",11.83
"55","2012-05-09",11.5
"56","2012-05-10",11.8
"57","2012-05-11",11.51
"58","2012-05-14",11.45
"59","2012-05-15",11.4
"60","2012-05-16",11.39
"61","2012-05-17",11.08
"62","2012-05-18",11.2
"63","2012-05-21",11.4
"64","2012-05-22",11.2
"65","2012-05-23",11.05
"66","2012-05-24",11.04
"67","2012-05-25",11.08
"68","2012-05-29",11.07
"69","2012-05-30",11.11
"70","2012-05-31",11.25
"71","2012-06-01",11.07
"72","2012-06-04",11.09
"73","2012-06-05",11.01
"74","2012-06-06",11.05
"75","2012-06-07",11
"76","2012-06-08",10.94
"77","2012-06-11",10.81
"78","2012-06-12",10.97
"79","2012-06-13",10.81
"80","2012-06-14",10.8
"81","2012-06-15",11
"82","2012-06-18",10.94
"83","2012-06-19",10.5
"84","2012-06-20",10.65
"85","2012-06-21",10.65
"86","2012-06-22",10.59
"87","2012-06-25",10.35
"88","2012-06-26",10
"89","2012-06-27",9.98
"90","2012-06-28",10
"91","2012-06-29",10.21
"92","2012-07-02",10.21
"93","2012-07-03",10.43
"94","2012-07-05",10.4
"95","2012-07-06",10.4
"96","2012-07-09",10.39
"97","2012-07-10",10.4
"98","2012-07-11",10.4
"99","2012-07-12",10.4
"100","2012-07-13",10.4
"101","2012-07-16",10.37
"102","2012-07-17",10.38
"103","2012-07-18",10.37
"104","2012-07-19",10.41
"105","2012-07-20",10.13
"106","2012-07-23",10.14
"107","2012-07-24",9.99
"108","2012-07-25",10.05
"109","2012-07-26",9.97
"110","2012-07-27",10.02
"111","2012-07-30",9.9
"112","2012-07-31",9.35
"113","2012-08-01",9.46
"114","2012-08-02",9.35
"115","2012-08-03",9.26
"116","2012-08-06",9.39
"117","2012-08-07",9.38
"118","2012-08-08",9.4
"119","2012-08-09",9.4
"120","2012-08-10",9.38
"121","2012-08-13",9.35
"122","2012-08-14",9.37
"123","2012-08-15",9.31
"124","2012-08-16",9.35
"125","2012-08-17",9.3
"126","2012-08-20",9.33
"127","2012-08-21",9.38
"128","2012-08-22",9.36
"129","2012-08-23",9.4
"130","2012-08-24",9.4
"131","2012-08-27",9.38
"132","2012-08-28",9.29
"133","2012-08-29",9.29
"134","2012-08-30",9.28
"135","2012-08-31",9.36
"136","2012-09-04",9.37
"137","2012-09-05",9.37
"138","2012-09-06",9.53
"139","2012-09-07",9.81
"140","2012-09-10",10.04
"141","2012-09-11",10.34
"142","2012-09-12",10.89
"143","2012-09-13",11.09
"144","2012-09-14",11.08
"145","2012-09-17",11
"146","2012-09-18",10.97
"147","2012-09-19",10.98
"148","2012-09-20",11.03
"149","2012-09-21",11.35
"150","2012-09-24",11.19
"151","2012-09-25",11.17
"152","2012-09-26",11.15
"153","2012-09-27",11.2
"154","2012-09-28",11.38
"155","2012-10-01",11.5
"156","2012-10-02",11.34
"157","2012-10-03",11.25
"158","2012-10-04",11.39
"159","2012-10-05",11.49
"160","2012-10-08",11.5
"161","2012-10-09",10.91
"162","2012-10-10",11.24
"163","2012-10-11",11.39
"164","2012-10-12",11.35
"165","2012-10-15",11.35
"166","2012-10-16",11.54
"167","2012-10-17",11.61
"168","2012-10-18",11.6
"169","2012-10-19",11.28
"170","2012-10-22",11.43
"171","2012-10-23",11.42
"172","2012-10-24",11.43
"173","2012-10-25",11.3
"174","2012-10-26",11
"175","2012-10-31",11.85
"176","2012-11-01",11.91
"177","2012-11-02",11.62
"178","2012-11-05",11.74
"179","2012-11-06",11.99
"180","2012-11-07",12
"181","2012-11-08",11.95
"182","2012-11-09",12.2
"183","2012-11-12",11.94
"184","2012-11-13",12.24
"185","2012-11-14",12.32
"186","2012-11-15",12.15
"187","2012-11-16",11.95
"188","2012-11-19",12.5
"189","2012-11-20",12.46
"190","2012-11-21",12.63
"191","2012-11-23",12.47
"192","2012-11-26",12.38
"193","2012-11-27",12.8
"194","2012-11-28",12.57
"195","2012-11-29",12.79
"196","2012-11-30",12.66
"197","2012-12-03",13
"198","2012-12-04",12.71
"199","2012-12-05",12.5
"200","2012-12-06",12.5
"201","2012-12-07",13
"202","2012-12-10",12.86
"203","2012-12-11",13.02
"204","2012-12-12",12.76
"205","2012-12-13",12.58
"206","2012-12-14",12.68
"207","2012-12-17",12.77
"208","2012-12-18",12.88
"209","2012-12-19",12.85
"210","2012-12-20",12.81
"211","2012-12-21",12.95
"212","2012-12-24",12.98
"213","2012-12-26",13.22
"214","2012-12-27",13.39
"215","2012-12-28",13.27
"216","2012-12-31",13.36
"217","2013-01-02",13.49
"218","2013-01-03",13.53
"219","2013-01-04",14.2
"220","2013-01-07",14.37
"221","2013-01-08",14.29
"222","2013-01-09",14.38
"223","2013-01-10",14.03
"224","2013-01-11",14.53
"225","2013-01-14",14
"226","2013-01-15",13.57
"227","2013-01-16",13.28
"228","2013-01-17",13.36
"229","2013-01-18",13.82
"230","2013-01-22",13.33
"231","2013-01-23",13.28
"232","2013-01-24",13.92
"233","2013-01-25",13.92
"234","2013-01-28",13.62
"235","2013-01-29",13.46
"236","2013-01-30",13.24
"237","2013-01-31",13.42
"238","2013-02-01",13.3
"239","2013-02-04",13.17
"240","2013-02-05",13.75
"241","2013-02-06",13.61
"242","2013-02-07",13.73
"243","2013-02-08",13.42
"244","2013-02-11",13.35
