"","date","CPG"
"1","2007-01-03",13.89
"2","2007-01-04",14.07
"3","2007-01-05",14.19
"4","2007-01-08",14.07
"5","2007-01-09",13.86
"6","2007-01-10",13.7
"7","2007-01-11",13.56
"8","2007-01-12",13.88
"9","2007-01-16",13.63
"10","2007-01-17",13.54
"11","2007-01-18",13.53
"12","2007-01-19",13.62
"13","2007-01-22",13.6
"14","2007-01-23",13.78
"15","2007-01-24",13.92
"16","2007-01-25",13.69
"17","2007-01-26",13.79
"18","2007-01-29",13.69
"19","2007-01-30",13.97
"20","2007-01-31",14.21
"21","2007-02-01",14.37
"22","2007-02-02",14.33
"23","2007-02-05",14.33
"24","2007-02-06",14.95
"25","2007-02-07",14.83
"26","2007-02-08",14.64
"27","2007-02-09",14.69
"28","2007-02-12",14.41
"29","2007-02-13",14.42
"30","2007-02-14",14.57
"31","2007-02-15",14.72
"32","2007-02-16",14.71
"33","2007-02-20",14.71
"34","2007-02-21",14.95
"35","2007-02-22",14.97
"36","2007-02-23",15.45
"37","2007-02-26",15.33
"38","2007-02-27",14.94
"39","2007-02-28",14.8
"40","2007-03-01",14.85
"41","2007-03-02",14.49
"42","2007-03-05",14
"43","2007-03-06",14.02
"44","2007-03-07",14.19
"45","2007-03-08",14.08
"46","2007-03-09",13.86
"47","2007-03-12",13.87
"48","2007-03-13",14.46
"49","2007-03-14",14.57
"50","2007-03-15",15.06
"51","2007-03-16",15.07
"52","2007-03-19",15.41
"53","2007-03-20",15.46
"54","2007-03-21",15.94
"55","2007-03-22",16
"56","2007-03-23",16.049999
"57","2007-03-26",16.040001
"58","2007-03-27",16.280001
"59","2007-03-28",16.219999
"60","2007-03-29",16.200001
"61","2007-03-30",15.97
"62","2007-04-02",16.200001
"63","2007-04-03",15.96
"64","2007-04-04",15.89
"65","2007-04-05",15.94
"66","2007-04-09",15.59
"67","2007-04-10",15.67
"68","2007-04-11",16.030001
"69","2007-04-12",16.33
"70","2007-04-13",16.65
"71","2007-04-16",16.91
"72","2007-04-17",16.85
"73","2007-04-18",16.85
"74","2007-04-19",16.76
"75","2007-04-20",17.15
"76","2007-04-23",17.17
"77","2007-04-24",17.120001
"78","2007-04-25",16.969999
"79","2007-04-26",16.65
"80","2007-04-27",17.049999
"81","2007-04-30",17.08
"82","2007-05-01",17.299999
"83","2007-05-02",17.620001
"84","2007-05-03",17.879999
"85","2007-05-04",17.99
"86","2007-05-07",18.209999
"87","2007-05-08",17.889999
"88","2007-05-09",17.879999
"89","2007-05-10",17.74
"90","2007-05-11",18.02
"91","2007-05-14",17.99
"92","2007-05-15",18
"93","2007-05-16",18.049999
"94","2007-05-17",18.15
"95","2007-05-18",18.51
"96","2007-05-21",18.51
"97","2007-05-22",18.969999
"98","2007-05-23",19.190001
"99","2007-05-24",18.92
"100","2007-05-25",18.799999
"101","2007-05-29",18.99
"102","2007-05-30",18.870001
"103","2007-05-31",19.08
"104","2007-06-01",19.559999
"105","2007-06-04",19.58
"106","2007-06-05",19.549999
"107","2007-06-06",19.57
"108","2007-06-07",18.74
"109","2007-06-08",18.870001
"110","2007-06-11",18.969999
"111","2007-06-12",18.639999
"112","2007-06-13",18.59
"113","2007-06-14",18.9
"114","2007-06-15",19.110001
"115","2007-06-18",19.35
"116","2007-06-19",19.41
"117","2007-06-20",19.35
"118","2007-06-21",18.969999
"119","2007-06-22",18.950001
"120","2007-06-25",19.040001
"121","2007-06-26",18.780001
"122","2007-06-27",18.280001
"123","2007-06-28",18.48
"124","2007-06-29",18.5
"125","2007-07-02",18.5
"126","2007-07-03",18.59
"127","2007-07-05",18.799999
"128","2007-07-06",19
"129","2007-07-09",19.1
"130","2007-07-10",19.1
"131","2007-07-11",19.23
"132","2007-07-12",19.559999
"133","2007-07-13",19.879999
"134","2007-07-16",19.92
"135","2007-07-17",19.889999
"136","2007-07-18",19.92
"137","2007-07-19",20.01
"138","2007-07-20",19.73
