"","date","DGNR"
"1","2020-10-05",11.78
"2","2020-10-06",11.78
"3","2020-10-07",11.6
"4","2020-10-08",11.37
"5","2020-10-09",11.4
"6","2020-10-12",11.46
"7","2020-10-13",11.8
"8","2020-10-14",11.78
"9","2020-10-15",12.13
"10","2020-10-16",11.62
"11","2020-10-19",11.48
"12","2020-10-20",11.51
"13","2020-10-21",11.47
"14","2020-10-22",11.43
"15","2020-10-23",11.39
"16","2020-10-26",11.28
"17","2020-10-27",11.4
"18","2020-10-28",11.3
"19","2020-10-29",11.44
"20","2020-10-30",11.27
"21","2020-11-02",11.35
"22","2020-11-03",11.5
"23","2020-11-04",11.5
"24","2020-11-05",11.45
"25","2020-11-06",11.42
"26","2020-11-09",11.5
"27","2020-11-10",11.5
"28","2020-11-11",11.69
"29","2020-11-12",11.65
"30","2020-11-13",11.54
"31","2020-11-16",11.43
"32","2020-11-17",11.46
"33","2020-11-18",11.405
"34","2020-11-19",11.5
"35","2020-11-20",11.5
"36","2020-11-23",11.48
"37","2020-11-24",11.57
"38","2020-11-25",12.25
"39","2020-11-27",12.2
