"","date","CEIX"
"1","2017-11-14",22.25
"2","2017-11-15",25
"3","2017-11-16",21.879999
"4","2017-11-17",21.879999
"5","2017-11-20",21.879999
"6","2017-11-21",21.879999
"7","2017-11-22",21.879999
"8","2017-11-24",21.879999
"9","2017-11-27",21.879999
"10","2017-11-28",21.450001
"11","2017-11-29",23.219999
"12","2017-11-30",22
"13","2017-12-01",21.299999
"14","2017-12-04",19.610001
"15","2017-12-05",21.049999
"16","2017-12-06",21.200001
"17","2017-12-07",23.85
"18","2017-12-08",25.370001
"19","2017-12-11",29.5
"20","2017-12-12",29.82
"21","2017-12-13",28.9
"22","2017-12-14",27.790001
"23","2017-12-15",28.719999
"24","2017-12-18",29.85
"25","2017-12-19",32.299999
"26","2017-12-20",32.5
"27","2017-12-21",33.880001
"28","2017-12-22",35.98
"29","2017-12-26",38.630001
"30","2017-12-27",37.869999
"31","2017-12-28",39.099998
"32","2017-12-29",39.509998
"33","2018-01-02",38.439999
"34","2018-01-03",37.009998
"35","2018-01-04",35.709999
"36","2018-01-05",35
"37","2018-01-08",34.689999
"38","2018-01-09",34.099998
"39","2018-01-10",34.25
"40","2018-01-11",35.580002
"41","2018-01-12",35.049999
"42","2018-01-16",32.529999
"43","2018-01-17",35.740002
"44","2018-01-18",34.279999
"45","2018-01-19",35.080002
"46","2018-01-22",37.299999
"47","2018-01-23",35.610001
"48","2018-01-24",35.580002
"49","2018-01-25",34.27
"50","2018-01-26",34.68
"51","2018-01-29",33.16
"52","2018-01-30",31.59
"53","2018-01-31",32.43
"54","2018-02-01",33.849998
"55","2018-02-02",30.98
"56","2018-02-05",31.030001
"57","2018-02-06",31.68
"58","2018-02-07",29.790001
"59","2018-02-08",28.25
"60","2018-02-09",29.389999
"61","2018-02-12",31.35
"62","2018-02-13",32.209999
"63","2018-02-14",32.990002
"64","2018-02-15",32.07
"65","2018-02-16",32.57
"66","2018-02-20",31.860001
"67","2018-02-21",32.619999
"68","2018-02-22",32.73
"69","2018-02-23",32.98
"70","2018-02-26",32.84
"71","2018-02-27",32.209999
"72","2018-02-28",31.690001
"73","2018-03-01",31.549999
"74","2018-03-02",31.690001
"75","2018-03-05",31.18
"76","2018-03-06",32.080002
"77","2018-03-07",31.9
"78","2018-03-08",31.459999
"79","2018-03-09",28.690001
"80","2018-03-12",29.83
"81","2018-03-13",29.469999
"82","2018-03-14",29.969999
"83","2018-03-15",29.83
"84","2018-03-16",31.040001
"85","2018-03-19",30.18
"86","2018-03-20",29.93
"87","2018-03-21",29.870001
"88","2018-03-22",29.42
"89","2018-03-23",29.469999
"90","2018-03-26",29.42
"91","2018-03-27",27.450001
"92","2018-03-28",27.73
"93","2018-03-29",28.969999
"94","2018-04-02",28.5
"95","2018-04-03",29.18
"96","2018-04-04",29.07
"97","2018-04-05",29.83
"98","2018-04-06",29.35
"99","2018-04-09",29.74
"100","2018-04-10",31.1
"101","2018-04-11",31.139999
"102","2018-04-12",30.940001
"103","2018-04-13",31.52
"104","2018-04-16",30.57
"105","2018-04-17",32.389999
"106","2018-04-18",34.650002
"107","2018-04-19",34.91
"108","2018-04-20",33.91
"109","2018-04-23",33.869999
"110","2018-04-24",32.540001
"111","2018-04-25",32.880001
"112","2018-04-26",32.619999
"113","2018-04-27",31.209999
"114","2018-04-30",31.450001
"115","2018-05-01",30.860001
"116","2018-05-02",31.34
"117","2018-05-03",35.299999
"118","2018-05-04",39.080002
"119","2018-05-07",40.209999
"120","2018-05-08",42.029999
"121","2018-05-09",42.959999
"122","2018-05-10",42.650002
"123","2018-05-11",42.91
