"","date","ULBI"
"1","2007-01-03",11.17
"2","2007-01-04",11.39
"3","2007-01-05",11.32
"4","2007-01-08",11.29
"5","2007-01-09",11.51
"6","2007-01-10",11.57
"7","2007-01-11",11.62
"8","2007-01-12",11.74
"9","2007-01-16",11.6
"10","2007-01-17",11.48
"11","2007-01-18",10.78
"12","2007-01-19",11.04
"13","2007-01-22",10.68
"14","2007-01-23",10.71
"15","2007-01-24",10.7
"16","2007-01-25",10.65
"17","2007-01-26",10.68
"18","2007-01-29",11.13
"19","2007-01-30",11.15
"20","2007-01-31",11.2
"21","2007-02-01",10.48
"22","2007-02-02",10.5
"23","2007-02-05",10.27
"24","2007-02-06",10.39
"25","2007-02-07",10.47
"26","2007-02-08",10.32
"27","2007-02-09",10.34
"28","2007-02-12",10.18
"29","2007-02-13",10.15
"30","2007-02-14",10.09
"31","2007-02-15",9.28
"32","2007-02-16",9.72
"33","2007-02-20",10.11
"34","2007-02-21",10.08
"35","2007-02-22",9.99
"36","2007-02-23",9.78
"37","2007-02-26",9.75
"38","2007-02-27",8.96
"39","2007-02-28",8.96
"40","2007-03-01",8.74
"41","2007-03-02",8.89
"42","2007-03-05",8.48
"43","2007-03-06",8.44
"44","2007-03-07",8.48
"45","2007-03-08",8.5
"46","2007-03-09",8.44
"47","2007-03-12",8.32
"48","2007-03-13",8.37
"49","2007-03-14",8.04
"50","2007-03-15",8.17
"51","2007-03-16",8.82
"52","2007-03-19",8.96
"53","2007-03-20",9.09
"54","2007-03-21",9.44
"55","2007-03-22",9.6
"56","2007-03-23",10.1
"57","2007-03-26",10.29
"58","2007-03-27",10.37
"59","2007-03-28",10.25
"60","2007-03-29",11
"61","2007-03-30",10.8
"62","2007-04-02",10.32
"63","2007-04-03",10.36
"64","2007-04-04",10.02
"65","2007-04-05",9.86
"66","2007-04-09",9.68
"67","2007-04-10",9.43
"68","2007-04-11",9.27
"69","2007-04-12",9.33
"70","2007-04-13",9.35
"71","2007-04-16",9.23
"72","2007-04-17",9.28
"73","2007-04-18",9
"74","2007-04-19",9.02
"75","2007-04-20",9.04
"76","2007-04-23",9.21
"77","2007-04-24",9.25
"78","2007-04-25",9.28
"79","2007-04-26",9.37
"80","2007-04-27",9.51
"81","2007-04-30",9.38
"82","2007-05-01",9.47
"83","2007-05-02",10.01
"84","2007-05-03",10
"85","2007-05-04",10.08
"86","2007-05-07",10.35
"87","2007-05-08",10.57
"88","2007-05-09",10.48
"89","2007-05-10",10.19
"90","2007-05-11",10.48
"91","2007-05-14",10.04
"92","2007-05-15",9.89
"93","2007-05-16",9.65
"94","2007-05-17",9.36
"95","2007-05-18",9.65
"96","2007-05-21",9.74
"97","2007-05-22",9.6
"98","2007-05-23",9.56
"99","2007-05-24",9.53
"100","2007-05-25",9.6
"101","2007-05-29",9.91
"102","2007-05-30",9.8
"103","2007-05-31",9.66
"104","2007-06-01",9.81
"105","2007-06-04",9.95
"106","2007-06-05",10
"107","2007-06-06",9.7
"108","2007-06-07",9.67
"109","2007-06-08",9.65
"110","2007-06-11",9.79
"111","2007-06-12",9.7
"112","2007-06-13",9.79
"113","2007-06-14",9.85
"114","2007-06-15",9.87
"115","2007-06-18",9.83
"116","2007-06-19",10.07
"117","2007-06-20",10
"118","2007-06-21",10.37
"119","2007-06-22",10.21
"120","2007-06-25",10.03
"121","2007-06-26",10.26
"122","2007-06-27",10.23
"123","2007-06-28",10.43
"124","2007-06-29",10.52
"125","2007-07-02",10.57
