"","date","LUMO"
"1","2011-11-11",7.08
"2","2011-11-14",7.03
"3","2011-11-15",7.02
"4","2011-11-16",7
"5","2011-11-17",7
"6","2011-11-18",7.1
"7","2011-11-21",7.01
"8","2011-11-22",7
"9","2011-11-23",7
"10","2011-11-25",7.01
"11","2011-11-28",7.02
"12","2011-11-29",7
"13","2011-11-30",7
"14","2011-12-01",7.04
"15","2011-12-02",7.06
"16","2011-12-05",7.01
"17","2011-12-06",7
"18","2011-12-07",7
"19","2011-12-08",7
"20","2011-12-09",7
"21","2011-12-12",6.95
"22","2011-12-13",6.91
"23","2011-12-14",6.37
"24","2011-12-15",6.39
"25","2011-12-16",6.44
"26","2011-12-19",6.56
"27","2011-12-20",7
"28","2011-12-21",7
"29","2011-12-22",7.14
"30","2011-12-23",7.17
"31","2011-12-27",7.18
"32","2011-12-28",7.08
"33","2011-12-29",7.08
"34","2011-12-30",7.04
"35","2012-01-03",7.12
"36","2012-01-04",7.16
"37","2012-01-05",7.1
"38","2012-01-06",7.12
"39","2012-01-09",7.16
"40","2012-01-10",7.08
"41","2012-01-11",6.93
"42","2012-01-12",6.88
"43","2012-01-13",6.48
"44","2012-01-17",6.9
"45","2012-01-18",6.95
"46","2012-01-19",6.87
"47","2012-01-20",7.07
"48","2012-01-23",7.11
"49","2012-01-24",7.08
"50","2012-01-25",7.14
"51","2012-01-26",7.08
"52","2012-01-27",7.18
"53","2012-01-30",6.97
"54","2012-01-31",6.94
"55","2012-02-01",6.9
"56","2012-02-02",6.9
"57","2012-02-03",6.97
"58","2012-02-06",7.17
"59","2012-02-07",7.64
"60","2012-02-08",7.69
"61","2012-02-09",7.31
"62","2012-02-10",7.25
"63","2012-02-13",7.42
"64","2012-02-14",7.41
"65","2012-02-15",7.33
"66","2012-02-16",7.62
"67","2012-02-17",7.55
"68","2012-02-21",8.15
"69","2012-02-22",8.19
"70","2012-02-23",8.49
"71","2012-02-24",8.4
"72","2012-02-27",8.49
"73","2012-02-28",8.32
"74","2012-02-29",8.46
"75","2012-03-01",8.62
"76","2012-03-02",8.68
"77","2012-03-05",9.06
"78","2012-03-06",8.32
"79","2012-03-07",9.25
"80","2012-03-08",9.17
"81","2012-03-09",9.1
"82","2012-03-12",9.62
"83","2012-03-13",9.69
"84","2012-03-14",9.63
"85","2012-03-15",9.6
"86","2012-03-16",9.47
"87","2012-03-19",9.7
"88","2012-03-20",9.51
"89","2012-03-21",9.32
"90","2012-03-22",10.17
"91","2012-03-23",9.85
"92","2012-03-26",10.07
"93","2012-03-27",9.45
"94","2012-03-28",9.03
"95","2012-03-29",9.13
"96","2012-03-30",9.15
"97","2012-04-02",9.51
"98","2012-04-03",9
"99","2012-04-04",9.49
"100","2012-04-05",9.23
"101","2012-04-09",9.26
"102","2012-04-10",8.76
"103","2012-04-11",9.94
"104","2012-04-12",10.68
"105","2012-04-13",10.99
"106","2012-04-16",11.81
"107","2012-04-17",11.37
"108","2012-04-18",11.16
"109","2012-04-19",11
"110","2012-04-20",11.4
"111","2012-04-23",11.42
"112","2012-04-24",11.53
"113","2012-04-25",11.4
"114","2012-04-26",11.4
"115","2012-04-27",11.34
"116","2012-04-30",11.64
"117","2012-05-01",11.1
"118","2012-05-02",11.29
"119","2012-05-03",11.05
"120","2012-05-04",10.5
"121","2012-05-07",11.07
"122","2012-05-08",10.64
"123","2012-05-09",10.57
"124","2012-05-10",10.65
"125","2012-05-11",10.78
"126","2012-05-14",11.27
"127","2012-05-15",11.18
"128","2012-05-16",11.28
"129","2012-05-17",11.2
"130","2012-05-18",11.21
"131","2012-05-21",11.5
"132","2012-05-22",11.79
"133","2012-05-23",11.5
"134","2012-05-24",11.89
"135","2012-05-25",12
"136","2012-05-29",13.21
"137","2012-05-30",13.26
"138","2012-05-31",12.76
"139","2012-06-01",12.53
"140","2012-06-04",12.2
"141","2012-06-05",12.41
"142","2012-06-06",12.44
"143","2012-06-07",12.33
"144","2012-06-08",12.93
"145","2012-06-11",13.38
"146","2012-06-12",13.43
"147","2012-06-13",14.11
"148","2012-06-14",14.97
"149","2012-06-15",15.82
"150","2012-06-18",16.73
"151","2012-06-19",16.200001
"152","2012-06-20",15.8
"153","2012-06-21",15.11
"154","2012-06-22",16.780001
"155","2012-06-25",16.91
"156","2012-06-26",17.690001
"157","2012-06-27",17.360001
"158","2012-06-28",15.84
"159","2012-06-29",14.98
"160","2012-07-02",15.4
"161","2012-07-03",15.81
"162","2012-07-05",16.24
"163","2012-07-06",15.93
"164","2012-07-09",14.96
"165","2012-07-10",14.52
"166","2012-07-11",14.11
"167","2012-07-12",14.36
"168","2012-07-13",14.01
"169","2012-07-16",13.79
"170","2012-07-17",13.73
"171","2012-07-18",14.09
"172","2012-07-19",13.46
"173","2012-07-20",12.7
"174","2012-07-23",12.25
"175","2012-07-24",12.94
"176","2012-07-25",12.35
"177","2012-07-26",12.46
"178","2012-07-27",13.01
"179","2012-07-30",12.62
"180","2012-07-31",11.88
"181","2012-08-01",11.37
"182","2012-08-02",11.27
"183","2012-08-03",11.46
"184","2012-08-06",11.95
"185","2012-08-07",12.1
"186","2012-08-08",12.12
"187","2012-08-09",12.28
"188","2012-08-10",11.99
"189","2012-08-13",11.92
"190","2012-08-14",12.81
"191","2012-08-15",12.91
"192","2012-08-16",13.89
"193","2012-08-17",14.45
"194","2012-08-20",14.67
"195","2012-08-21",14.06
"196","2012-08-22",13.81
"197","2012-08-23",13.3
"198","2012-08-24",13.45
"199","2012-08-27",13.34
"200","2012-08-28",13.65
"201","2012-08-29",14.3
"202","2012-08-30",14.32
"203","2012-08-31",13.96
"204","2012-09-04",14.42
"205","2012-09-05",15.19
"206","2012-09-06",15.69
"207","2012-09-07",15.38
"208","2012-09-10",15.16
"209","2012-09-11",15.79
"210","2012-09-12",15.7
"211","2012-09-13",16.280001
"212","2012-09-14",16.360001
"213","2012-09-17",16.5
"214","2012-09-18",16.26
"215","2012-09-19",16.299999
"216","2012-09-20",16.299999
"217","2012-09-21",16.360001
"218","2012-09-24",16.190001
"219","2012-09-25",16.049999
"220","2012-09-26",16.139999
"221","2012-09-27",16.299999
"222","2012-09-28",16.23
"223","2012-10-01",15.84
"224","2012-10-02",16.09
"225","2012-10-03",15.83
"226","2012-10-04",15.37
"227","2012-10-05",15.59
"228","2012-10-08",15.05
"229","2012-10-09",14.35
"230","2012-10-10",15.04
"231","2012-10-11",15.12
"232","2012-10-12",15.02
"233","2012-10-15",14.92
"234","2012-10-16",14.97
"235","2012-10-17",15.29
"236","2012-10-18",15.15
"237","2012-10-19",14.15
"238","2012-10-22",13.61
"239","2012-10-23",13.88
"240","2012-10-24",13.99
"241","2012-10-25",14.02
"242","2012-10-26",13.81
"243","2012-10-31",13.79
"244","2012-11-01",13.94
"245","2012-11-02",13.3
"246","2012-11-05",13.07
"247","2012-11-06",13.48
"248","2012-11-07",12.68
"249","2012-11-08",12.13
"250","2012-11-09",12.21
"251","2012-11-12",11.85
"252","2012-11-13",12.13
"253","2012-11-14",11.84
"254","2012-11-15",11.38
"255","2012-11-16",10.84
"256","2012-11-19",11.47
"257","2012-11-20",12.34
"258","2012-11-21",12.87
"259","2012-11-23",12.63
"260","2012-11-26",12.34
"261","2012-11-27",12.1
"262","2012-11-28",12.7
"263","2012-11-29",12.08
"264","2012-11-30",12.03
"265","2012-12-03",11.75
"266","2012-12-04",11.47
"267","2012-12-05",11.47
"268","2012-12-06",11.51
"269","2012-12-07",11.65
"270","2012-12-10",11.84
"271","2012-12-11",12.05
"272","2012-12-12",12.04
"273","2012-12-13",12.09
"274","2012-12-14",12
"275","2012-12-17",12.2
"276","2012-12-18",12.45
"277","2012-12-19",12.2
"278","2012-12-20",11.72
"279","2012-12-21",11.04
"280","2012-12-24",11.46
"281","2012-12-26",11.13
"282","2012-12-27",11.76
"283","2012-12-28",11.98
"284","2012-12-31",12.5
"285","2013-01-02",11.91
"286","2013-01-03",12.01
"287","2013-01-04",12.27
"288","2013-01-07",11.7
"289","2013-01-08",11.54
"290","2013-01-09",11.86
"291","2013-01-10",11.77
"292","2013-01-11",11.86
"293","2013-01-14",11.79
"294","2013-01-15",11.88
"295","2013-01-16",11.54
"296","2013-01-17",11.75
"297","2013-01-18",11.71
"298","2013-01-22",11.9
"299","2013-01-23",11.83
"300","2013-01-24",11.56
"301","2013-01-25",11.52
"302","2013-01-28",11.48
"303","2013-01-29",11.4
"304","2013-01-30",11.6
"305","2013-01-31",11.85
"306","2013-02-01",12.18
"307","2013-02-04",12.3
"308","2013-02-05",12.57
"309","2013-02-06",12.7
"310","2013-02-07",12.33
"311","2013-02-08",12.23
"312","2013-02-11",12.25
"313","2013-02-12",12.02
"314","2013-02-13",12.19
"315","2013-02-14",12.26
"316","2013-02-15",12.32
"317","2013-02-19",12.42
"318","2013-02-20",12.09
"319","2013-02-21",12.07
"320","2013-02-22",11.85
"321","2013-02-25",12.1
"322","2013-02-26",11.92
"323","2013-02-27",12.19
"324","2013-02-28",11.77
"325","2013-03-01",11.71
"326","2013-03-04",11.78
"327","2013-03-05",12.15
"328","2013-03-06",12.46
"329","2013-03-07",12.2
"330","2013-03-08",12.51
"331","2013-03-11",12.46
"332","2013-03-12",12.51
"333","2013-03-13",12.32
"334","2013-03-14",12.56
"335","2013-03-15",12.45
"336","2013-03-18",12.31
"337","2013-03-19",12.34
"338","2013-03-20",12.46
"339","2013-03-21",12.15
"340","2013-03-22",12.31
"341","2013-03-25",12.29
"342","2013-03-26",12.42
"343","2013-03-27",12.23
"344","2013-03-28",12.27
"345","2013-04-01",12.15
"346","2013-04-02",12.25
"347","2013-04-03",11.99
"348","2013-04-04",11.89
"349","2013-04-05",11.87
"350","2013-04-08",11.76
"351","2013-04-09",11.47
"352","2013-04-10",11.48
"353","2013-04-11",11.66
"354","2013-04-12",11.53
"355","2013-04-15",11.27
"356","2013-04-16",11.93
"357","2013-04-17",11.87
"358","2013-04-18",11.68
"359","2013-04-19",11.52
"360","2013-04-22",11.43
"361","2013-04-23",11.68
"362","2013-04-24",12.02
"363","2013-04-25",12.37
"364","2013-04-26",12.7
"365","2013-04-29",13.37
"366","2013-04-30",13.94
"367","2013-05-01",13.32
"368","2013-05-02",13.82
"369","2013-05-03",14.39
"370","2013-05-06",14.53
"371","2013-05-07",15.25
"372","2013-05-08",14.77
"373","2013-05-09",14.71
"374","2013-05-10",15.33
"375","2013-05-13",16.299999
"376","2013-05-14",16
"377","2013-05-15",16
"378","2013-05-16",16.280001
"379","2013-05-17",16.68
"380","2013-05-20",15.86
"381","2013-05-21",15.79
"382","2013-05-22",15.54
"383","2013-05-23",16.040001
"384","2013-05-24",16.1
"385","2013-05-28",15.84
"386","2013-05-29",16.209999
"387","2013-05-30",16.780001
"388","2013-05-31",16.309999
"389","2013-06-03",17.120001
"390","2013-06-04",17.049999
"391","2013-06-05",16.950001
"392","2013-06-06",17.67
"393","2013-06-07",19.26
"394","2013-06-10",19.75
"395","2013-06-11",20.33
"396","2013-06-12",20.280001
"397","2013-06-13",19.860001
"398","2013-06-14",20.719999
"399","2013-06-17",21.309999
"400","2013-06-18",21.629999
"401","2013-06-19",21.74
"402","2013-06-20",21.68
"403","2013-06-21",22.52
"404","2013-06-24",22.559999
"405","2013-06-25",22.370001
"406","2013-06-26",19.780001
"407","2013-06-27",19.01
"408","2013-06-28",19.719999
"409","2013-07-01",20.16
"410","2013-07-02",20.08
"411","2013-07-03",18.790001
"412","2013-07-05",19.26
"413","2013-07-08",18.93
"414","2013-07-09",18.42
"415","2013-07-10",18.709999
"416","2013-07-11",18.870001
"417","2013-07-12",18.75
"418","2013-07-15",18.58
"419","2013-07-16",18.299999
