"","date","BHTG"
"1","2018-02-16",4.41
"2","2018-02-20",4.2
"3","2018-02-21",4.4
"4","2018-02-22",4.31
"5","2018-02-23",4.26
"6","2018-02-26",4.27
"7","2018-02-27",4.346
"8","2018-02-28",4.5
"9","2018-03-01",4.45
"10","2018-03-02",4.3
"11","2018-03-05",4.25
"12","2018-03-06",4.25
"13","2018-03-07",4.02
"14","2018-03-08",3.97
"15","2018-03-09",4.05
"16","2018-03-12",4.06
"17","2018-03-13",4.14
"18","2018-03-14",4.06
"19","2018-03-15",4.09
"20","2018-03-16",4.1
"21","2018-03-19",4.15
"22","2018-03-20",4.102
"23","2018-03-21",4.3
"24","2018-03-22",4.29
"25","2018-03-23",4.06
"26","2018-03-26",4.02
"27","2018-03-27",4
"28","2018-03-28",4.06
"29","2018-03-29",4.052
"30","2018-04-02",4.06
"31","2018-04-03",4.08
"32","2018-04-04",4
"33","2018-04-05",4.1
"34","2018-04-06",4.3
"35","2018-04-09",4.3
"36","2018-04-10",4.55
"37","2018-04-11",4.1
"38","2018-04-12",4.001
"39","2018-04-13",3.96
"40","2018-04-16",3.86
"41","2018-04-17",3.511
"42","2018-04-18",3.7
"43","2018-04-19",3.71
"44","2018-04-20",3.7
"45","2018-04-23",3.8
"46","2018-04-24",3.74
"47","2018-04-25",3.79
"48","2018-04-26",3.7
"49","2018-04-27",3.124
"50","2018-04-30",3.166
"51","2018-05-01",2.991
"52","2018-05-02",3.04
"53","2018-05-03",3.019
"54","2018-05-04",3.25
"55","2018-05-07",3.24
"56","2018-05-08",3.5
"57","2018-05-09",3.6
"58","2018-05-10",3.7
"59","2018-05-11",3.69
"60","2018-05-14",3.75
"61","2018-05-15",3.7
"62","2018-05-16",3.59
"63","2018-05-17",3.615
"64","2018-05-18",3.62
"65","2018-05-21",3.38
"66","2018-05-22",3.37
"67","2018-05-23",3.35
"68","2018-05-24",3.31
"69","2018-05-25",3.38
"70","2018-05-29",3.7
"71","2018-05-30",3.5
"72","2018-05-31",3.44
"73","2018-06-01",3.63
"74","2018-06-04",3.59
"75","2018-06-05",3.36
"76","2018-06-06",3.68
"77","2018-06-07",3.9
"78","2018-06-08",3.8
"79","2018-06-11",5.27
"80","2018-06-12",4.68
"81","2018-06-13",4.78
"82","2018-06-14",4.95
"83","2018-06-15",4.25
"84","2018-06-18",4.1
"85","2018-06-19",4.05
"86","2018-06-20",4.09
"87","2018-06-21",4.109
"88","2018-06-22",4.6
"89","2018-06-25",4.11
"90","2018-06-26",4.24
"91","2018-06-27",4.07
"92","2018-06-28",4.07
"93","2018-06-29",3.84
"94","2018-07-02",3.84
"95","2018-07-03",3.8
"96","2018-07-05",3.76
"97","2018-07-06",3.8
"98","2018-07-09",3.67
"99","2018-07-10",3.68
"100","2018-07-11",3.66
"101","2018-07-12",3.66
"102","2018-07-13",3.606
"103","2018-07-16",3.432
"104","2018-07-17",3.35
"105","2018-07-18",3.47
"106","2018-07-19",3.38
"107","2018-07-20",3.476
"108","2018-07-23",3.539
"109","2018-07-24",3.4
"110","2018-07-25",3.53
"111","2018-07-26",3.68
"112","2018-07-27",3.65
"113","2018-07-30",3.55
"114","2018-07-31",3.732
"115","2018-08-01",3.61
"116","2018-08-02",3.62
"117","2018-08-03",3.73
"118","2018-08-06",3.63
"119","2018-08-07",3.77
"120","2018-08-08",4.04
"121","2018-08-09",4
"122","2018-08-10",4.22
"123","2018-08-13",4.05
"124","2018-08-14",4.39
"125","2018-08-15",4.305
"126","2018-08-16",4.1
"127","2018-08-17",4.16
"128","2018-08-20",4.085
"129","2018-08-21",3.95
"130","2018-08-22",4.016
"131","2018-08-23",4.025
"132","2018-08-24",3.99
"133","2018-08-27",3.8
"134","2018-08-28",3.64
"135","2018-08-29",3.4
"136","2018-08-30",3.45
"137","2018-08-31",3.41
"138","2018-09-04",3.5
"139","2018-09-05",3.45
"140","2018-09-06",3.49
"141","2018-09-07",3.62
"142","2018-09-10",3.5
"143","2018-09-11",3.42
"144","2018-09-12",3.491
"145","2018-09-13",3.5
"146","2018-09-14",3.45
"147","2018-09-17",3.1
"148","2018-09-18",3.62
"149","2018-09-19",3.67
"150","2018-09-20",3.53
"151","2018-09-21",4.4
"152","2018-09-24",3.99
"153","2018-09-25",4.09
"154","2018-09-26",3.79
"155","2018-09-27",3.8
"156","2018-09-28",3.39
"157","2018-10-01",3.42
"158","2018-10-02",3.25
"159","2018-10-03",3.29
"160","2018-10-04",3.245
"161","2018-10-05",3.25
"162","2018-10-08",3.2
"163","2018-10-09",3.11
"164","2018-10-10",3.1
"165","2018-10-11",3.11
"166","2018-10-12",3.19
"167","2018-10-15",3.01
"168","2018-10-16",3.058
"169","2018-10-17",3.05
"170","2018-10-18",3.05
"171","2018-10-19",3
"172","2018-10-22",2.8
"173","2018-10-23",2.91
"174","2018-10-24",2.864
"175","2018-10-25",3
"176","2018-10-26",2.9
"177","2018-10-29",2.962
"178","2018-10-30",2.7
"179","2018-10-31",2.892
"180","2018-11-01",2.85
"181","2018-11-02",2.65
"182","2018-11-05",2.66
"183","2018-11-06",2.92
"184","2018-11-07",2.6
"185","2018-11-08",2.9
"186","2018-11-09",2.87
"187","2018-11-12",2.6
"188","2018-11-13",2.64
"189","2018-11-14",2.65
"190","2018-11-15",2.92
"191","2018-11-16",2.75
"192","2018-11-19",2.55
"193","2018-11-20",2.65
"194","2018-11-21",2.6
"195","2018-11-23",2.85
"196","2018-11-26",2.59
"197","2018-11-27",2.57
"198","2018-11-28",2.59
"199","2018-11-29",2.869
"200","2018-11-30",2.69
"201","2018-12-03",2.77
"202","2018-12-04",2.89
"203","2018-12-06",2.72
"204","2018-12-07",2.7
"205","2018-12-10",2.7
"206","2018-12-11",2.68
"207","2018-12-12",2.57
"208","2018-12-13",2.55
"209","2018-12-14",2.45
"210","2018-12-17",2.45
"211","2018-12-18",2.44
"212","2018-12-19",2.35
"213","2018-12-20",1.9
"214","2018-12-21",2
"215","2018-12-24",2.1
"216","2018-12-26",2.01
"217","2018-12-27",1.88
"218","2018-12-28",1.94
"219","2018-12-31",1.62
"220","2019-01-02",1.85
"221","2019-01-03",1.71
"222","2019-01-04",2.075
"223","2019-01-07",2.604
"224","2019-01-08",2.75
"225","2019-01-09",2.41
"226","2019-01-10",2.42
"227","2019-01-11",2.7
"228","2019-01-14",2.52
"229","2019-01-15",2.61
"230","2019-01-16",2.4
"231","2019-01-17",2.47
"232","2019-01-18",2.69
"233","2019-01-22",2.47
"234","2019-01-23",2.551
"235","2019-01-24",2.51
"236","2019-01-25",2.523
"237","2019-01-28",2.51
"238","2019-01-29",2.59
