"","date","SPAQ"
"1","2018-10-02",9.6
"2","2018-10-03",9.6
"3","2018-10-04",9.6
"4","2018-10-05",9.63
"5","2018-10-08",9.63
"6","2018-10-09",9.63
"7","2018-10-10",9.63
"8","2018-10-11",9.63
"9","2018-10-12",9.65
"10","2018-10-15",9.65
"11","2018-10-16",9.65
"12","2018-10-17",9.65
"13","2018-10-18",9.65
"14","2018-10-19",9.65
"15","2018-10-22",9.65
"16","2018-10-23",9.65
"17","2018-10-24",9.65
"18","2018-10-25",9.65
"19","2018-10-26",9.65
"20","2018-10-29",9.65
"21","2018-10-30",9.65
"22","2018-10-31",9.65
"23","2018-11-01",9.65
"24","2018-11-02",9.65
"25","2018-11-05",9.65
"26","2018-11-06",9.65
"27","2018-11-07",9.65
"28","2018-11-08",9.65
"29","2018-11-09",9.65
"30","2018-11-12",9.64
"31","2018-11-13",9.65
"32","2018-11-14",9.65
"33","2018-11-15",9.67
"34","2018-11-16",9.66
"35","2018-11-19",9.65
"36","2018-11-20",9.67
"37","2018-11-21",9.67
"38","2018-11-23",9.63
"39","2018-11-26",9.62
"40","2018-11-27",9.63
"41","2018-11-28",9.62
"42","2018-11-29",9.6
"43","2018-11-30",9.65
"44","2018-12-03",9.65
"45","2018-12-04",9.63
"46","2018-12-06",9.63
"47","2018-12-07",9.63
"48","2018-12-10",9.63
"49","2018-12-11",9.63
"50","2018-12-12",9.63
"51","2018-12-13",9.63
"52","2018-12-14",9.63
"53","2018-12-17",9.63
"54","2018-12-18",9.62
"55","2018-12-19",9.54
"56","2018-12-20",9.63
"57","2018-12-21",9.63
"58","2018-12-24",9.63
"59","2018-12-26",9.63
"60","2018-12-27",9.63
"61","2018-12-28",9.63
"62","2018-12-31",9.63
"63","2019-01-02",9.63
"64","2019-01-03",9.63
"65","2019-01-04",9.63
"66","2019-01-07",9.63
"67","2019-01-08",9.65
"68","2019-01-09",9.65
"69","2019-01-10",9.65
"70","2019-01-11",9.66
"71","2019-01-14",9.69
"72","2019-01-15",9.69
"73","2019-01-16",9.69
"74","2019-01-17",9.69
"75","2019-01-18",9.7
"76","2019-01-22",9.78
"77","2019-01-23",9.76
"78","2019-01-24",9.76
"79","2019-01-25",9.75
"80","2019-01-28",9.76
"81","2019-01-29",9.74
"82","2019-01-30",9.76
"83","2019-01-31",9.76
"84","2019-02-01",9.76
"85","2019-02-04",9.75
"86","2019-02-05",9.75
"87","2019-02-06",9.75
"88","2019-02-07",9.75
"89","2019-02-08",9.75
"90","2019-02-11",9.75
"91","2019-02-12",9.75
"92","2019-02-13",9.75
"93","2019-02-14",9.8
"94","2019-02-15",9.79
"95","2019-02-19",9.8
"96","2019-02-20",9.77
"97","2019-02-21",9.77
"98","2019-02-22",9.76
"99","2019-02-25",9.76
"100","2019-02-26",9.76
"101","2019-02-27",9.76
"102","2019-02-28",9.76
"103","2019-03-01",9.76
"104","2019-03-04",9.77
"105","2019-03-05",9.78
"106","2019-03-06",9.78
"107","2019-03-07",9.78
"108","2019-03-08",9.78
"109","2019-03-11",9.8
"110","2019-03-12",9.8
"111","2019-03-13",9.8
"112","2019-03-14",9.82
"113","2019-03-15",9.82
"114","2019-03-18",9.83
"115","2019-03-19",9.83
"116","2019-03-20",9.83
"117","2019-03-21",9.81
"118","2019-03-22",9.8
"119","2019-03-25",9.8
"120","2019-03-26",9.8
"121","2019-03-27",9.8
"122","2019-03-28",9.82
"123","2019-03-29",9.83
"124","2019-04-01",9.83
"125","2019-04-02",9.83
"126","2019-04-03",9.83
"127","2019-04-04",9.85
"128","2019-04-05",9.84
"129","2019-04-08",9.84
"130","2019-04-09",9.83
"131","2019-04-10",9.89
"132","2019-04-11",9.89
"133","2019-04-12",9.88
"134","2019-04-15",9.81
"135","2019-04-16",9.85
"136","2019-04-17",9.85
"137","2019-04-18",9.78
"138","2019-04-22",9.85
"139","2019-04-23",9.86
"140","2019-04-24",9.86
"141","2019-04-25",9.88
"142","2019-04-26",9.86
"143","2019-04-29",9.86
"144","2019-04-30",9.87
"145","2019-05-01",9.86
"146","2019-05-02",9.9
"147","2019-05-03",9.9
"148","2019-05-06",9.9
"149","2019-05-07",9.9
"150","2019-05-08",9.89
"151","2019-05-09",9.88
"152","2019-05-10",9.89
"153","2019-05-13",9.89
"154","2019-05-14",9.88
"155","2019-05-15",9.88
"156","2019-05-16",9.92
"157","2019-05-17",9.89
"158","2019-05-20",9.9
"159","2019-05-21",9.9
"160","2019-05-22",9.88
"161","2019-05-23",9.88
"162","2019-05-24",9.88
"163","2019-05-28",9.88
"164","2019-05-29",9.88
"165","2019-05-30",9.91
"166","2019-05-31",9.9
"167","2019-06-03",9.89
"168","2019-06-04",9.89
"169","2019-06-05",9.91
"170","2019-06-06",9.9
"171","2019-06-07",9.9
"172","2019-06-10",9.9
"173","2019-06-11",9.9
"174","2019-06-12",9.92
"175","2019-06-13",9.91
"176","2019-06-14",9.95
"177","2019-06-17",9.96
"178","2019-06-18",9.98
"179","2019-06-19",9.98
"180","2019-06-20",9.98
"181","2019-06-21",9.99
"182","2019-06-24",9.99
"183","2019-06-25",9.93
"184","2019-06-26",9.99
"185","2019-06-27",10.03
"186","2019-06-28",10
"187","2019-07-01",10
"188","2019-07-02",9.99
"189","2019-07-03",9.99
"190","2019-07-05",10
"191","2019-07-08",10
"192","2019-07-09",10
"193","2019-07-10",9.99
"194","2019-07-11",9.99
"195","2019-07-12",9.99
"196","2019-07-15",9.98
"197","2019-07-16",9.99
"198","2019-07-17",9.99
"199","2019-07-18",9.99
"200","2019-07-19",10
"201","2019-07-22",10
"202","2019-07-23",10.02
"203","2019-07-24",10
"204","2019-07-25",10
"205","2019-07-26",10
"206","2019-07-29",10
"207","2019-07-30",10
"208","2019-07-31",9.99
"209","2019-08-01",9.99
"210","2019-08-02",9.99
"211","2019-08-05",9.99
"212","2019-08-06",9.99
"213","2019-08-07",9.99
"214","2019-08-08",9.99
"215","2019-08-09",9.99
"216","2019-08-12",9.99
"217","2019-08-13",10
"218","2019-08-14",9.99
"219","2019-08-15",10.02
"220","2019-08-16",10
"221","2019-08-19",10.02
"222","2019-08-20",10.02
"223","2019-08-21",10.01
"224","2019-08-22",10.04
"225","2019-08-23",10.04
"226","2019-08-26",10.04
"227","2019-08-27",10.03
"228","2019-08-28",10.02
"229","2019-08-29",10.04
"230","2019-08-30",10.04
"231","2019-09-03",10.03
"232","2019-09-04",10.02
"233","2019-09-05",10.02
"234","2019-09-06",10.02
"235","2019-09-09",10.02
"236","2019-09-10",10.02
"237","2019-09-11",10.01
"238","2019-09-12",10.03
"239","2019-09-13",10.04
"240","2019-09-16",10.04
"241","2019-09-17",10.04
"242","2019-09-18",10.04
"243","2019-09-19",10.07
"244","2019-09-20",10.1
"245","2019-09-23",10.11
"246","2019-09-24",10.09
"247","2019-09-25",10.09
"248","2019-09-26",10.09
"249","2019-09-27",10.09
"250","2019-09-30",10.1
"251","2019-10-01",10.1
"252","2019-10-02",10.1
"253","2019-10-03",10.08
"254","2019-10-04",10.08
"255","2019-10-07",10.05
"256","2019-10-08",10.05
"257","2019-10-09",10
"258","2019-10-10",10.07
"259","2019-10-11",10.08
"260","2019-10-14",10.08
"261","2019-10-15",10.1
"262","2019-10-16",10.1
"263","2019-10-17",10.1
"264","2019-10-18",10.1
"265","2019-10-21",10.1
"266","2019-10-22",10.06
"267","2019-10-23",10.05
"268","2019-10-24",10.05
"269","2019-10-25",10.05
"270","2019-10-28",10.04
"271","2019-10-29",10.05
"272","2019-10-30",10.05
"273","2019-10-31",10.05
"274","2019-11-01",10.05
"275","2019-11-04",10.06
"276","2019-11-05",10.06
"277","2019-11-06",10.06
"278","2019-11-07",10.06
"279","2019-11-08",10.07
"280","2019-11-11",10.07
"281","2019-11-12",10.07
"282","2019-11-13",10.05
"283","2019-11-14",10.08
"284","2019-11-15",10.07
"285","2019-11-18",10.06
"286","2019-11-19",10.08
"287","2019-11-20",10.1
"288","2019-11-21",10.1
"289","2019-11-22",10.1
"290","2019-11-25",10.1
"291","2019-11-26",10.1
"292","2019-11-27",10.1
"293","2019-11-29",10.11
"294","2019-12-02",10.09
"295","2019-12-03",10.11
"296","2019-12-04",10.11
"297","2019-12-05",10.12
"298","2019-12-06",10.13
"299","2019-12-09",10.13
"300","2019-12-10",10.13
"301","2019-12-11",10.13
"302","2019-12-12",10.14
"303","2019-12-13",10.14
"304","2019-12-16",10.14
"305","2019-12-17",10.14
"306","2019-12-18",10.14
"307","2019-12-19",10.14
"308","2019-12-20",10.12
"309","2019-12-23",10.12
"310","2019-12-24",10.12
"311","2019-12-26",10.12
"312","2019-12-27",10.12
"313","2019-12-30",10.14
"314","2019-12-31",10.17
"315","2020-01-02",10.17
"316","2020-01-03",10.17
"317","2020-01-06",10.17
"318","2020-01-07",10.17
"319","2020-01-08",10.16
"320","2020-01-09",10.17
"321","2020-01-10",10.17
"322","2020-01-13",10.17
"323","2020-01-14",10.17
"324","2020-01-15",10.19
"325","2020-01-16",10.19
"326","2020-01-17",10.19
"327","2020-01-21",10.23
"328","2020-01-22",10.21
"329","2020-01-23",10.21
"330","2020-01-24",10.19
"331","2020-01-27",10.18
"332","2020-01-28",10.18
"333","2020-01-29",10.2
"334","2020-01-30",10.18
"335","2020-01-31",10.18
"336","2020-02-03",10.22
"337","2020-02-04",10.22
"338","2020-02-05",10.2
"339","2020-02-06",10.2
"340","2020-02-07",10.2
"341","2020-02-10",10.2
