"","date","FSTR"
"1","2007-01-03",24.68
"2","2007-01-04",25.559999
"3","2007-01-05",25.1
"4","2007-01-08",24.84
"5","2007-01-09",24.4
"6","2007-01-10",23.719999
"7","2007-01-11",22.75
"8","2007-01-12",22
"9","2007-01-16",22.16
"10","2007-01-17",23.139999
"11","2007-01-18",23.43
"12","2007-01-19",23.42
"13","2007-01-22",22.870001
"14","2007-01-23",22.879999
"15","2007-01-24",24.67
"16","2007-01-25",23.5
"17","2007-01-26",23.809999
"18","2007-01-29",23.610001
"19","2007-01-30",23.860001
"20","2007-01-31",25
"21","2007-02-01",25.110001
"22","2007-02-02",24.959999
"23","2007-02-05",24.99
"24","2007-02-06",25.01
"25","2007-02-07",25.540001
"26","2007-02-08",25.450001
"27","2007-02-09",24.91
"28","2007-02-12",25.6
"29","2007-02-13",25.92
"30","2007-02-14",25.309999
"31","2007-02-15",25.26
"32","2007-02-16",25.16
"33","2007-02-20",25.559999
"34","2007-02-21",25.76
"35","2007-02-22",25.91
"36","2007-02-23",25.25
"37","2007-02-26",25.57
"38","2007-02-27",20.200001
"39","2007-02-28",19.75
"40","2007-03-01",18.34
"41","2007-03-02",18.209999
"42","2007-03-05",19.25
"43","2007-03-06",19.889999
"44","2007-03-07",19.76
"45","2007-03-08",19.92
"46","2007-03-09",19.860001
"47","2007-03-12",19.969999
"48","2007-03-13",19.6
"49","2007-03-14",19.620001
"50","2007-03-15",20.27
"51","2007-03-16",20.129999
"52","2007-03-19",19.959999
"53","2007-03-20",20.15
"54","2007-03-21",20.73
"55","2007-03-22",21.530001
"56","2007-03-23",21.33
"57","2007-03-26",21.549999
"58","2007-03-27",21.49
"59","2007-03-28",20.6
"60","2007-03-29",21.290001
"61","2007-03-30",20.610001
"62","2007-04-02",20.540001
"63","2007-04-03",21.43
"64","2007-04-04",21.09
"65","2007-04-05",20.41
"66","2007-04-09",20.549999
"67","2007-04-10",20.57
"68","2007-04-11",20.700001
"69","2007-04-12",21.24
"70","2007-04-13",21.440001
"71","2007-04-16",22.290001
"72","2007-04-17",22.17
"73","2007-04-18",21.549999
"74","2007-04-19",21.23
"75","2007-04-20",21.139999
"76","2007-04-23",21.139999
"77","2007-04-24",21.35
"78","2007-04-25",22.27
"79","2007-04-26",23.4
"80","2007-04-27",23.870001
"81","2007-04-30",22.98
"82","2007-05-01",23.4
"83","2007-05-02",23.629999
"84","2007-05-03",23.299999
"85","2007-05-04",23.719999
"86","2007-05-07",23.52
"87","2007-05-08",23.209999
"88","2007-05-09",23.58
"89","2007-05-10",22.49
"90","2007-05-11",22.870001
"91","2007-05-14",22.68
"92","2007-05-15",23.4
"93","2007-05-16",23.26
"94","2007-05-17",23.25
"95","2007-05-18",23.809999
"96","2007-05-21",24.799999
"97","2007-05-22",24.73
"98","2007-05-23",25.1
"99","2007-05-24",24.040001
"100","2007-05-25",24.4
"101","2007-05-29",25.43
"102","2007-05-30",26.93
"103","2007-05-31",26.67
"104","2007-06-01",26.469999
"105","2007-06-04",26.629999
"106","2007-06-05",25.959999
"107","2007-06-06",25.610001
"108","2007-06-07",24.360001
"109","2007-06-08",24.76
"110","2007-06-11",24.950001
"111","2007-06-12",23.860001
"112","2007-06-13",25.16
"113","2007-06-14",26.870001
"114","2007-06-15",26.68
"115","2007-06-18",26.950001
"116","2007-06-19",27.17
"117","2007-06-20",26.809999
"118","2007-06-21",26.780001
"119","2007-06-22",27.040001
"120","2007-06-25",28.049999
"121","2007-06-26",27
"122","2007-06-27",28.23
"123","2007-06-28",28.370001
"124","2007-06-29",28.68
"125","2007-07-02",29.67
"126","2007-07-03",29.66
"127","2007-07-05",30.26
"128","2007-07-06",30.65
"129","2007-07-09",31.540001
"130","2007-07-10",31.200001
"131","2007-07-11",29.629999
"132","2007-07-12",30.41
"133","2007-07-13",30.200001
"134","2007-07-16",30.17
"135","2007-07-17",30.24
