"","date","FUSN"
"1","2020-06-26",17
"2","2020-06-29",17.780001
"3","2020-06-30",17.469999
"4","2020-07-01",15.4
"5","2020-07-02",16
"6","2020-07-06",17.1
"7","2020-07-07",17.09
"8","2020-07-08",16.950001
"9","2020-07-09",16.75
"10","2020-07-10",16.74
"11","2020-07-13",16.950001
"12","2020-07-14",16.42
"13","2020-07-15",16.17
"14","2020-07-16",15.87
"15","2020-07-17",15.85
"16","2020-07-20",15.28
"17","2020-07-21",15.23
"18","2020-07-22",15.17
"19","2020-07-23",15.17
"20","2020-07-24",13.2
"21","2020-07-27",12.91
"22","2020-07-28",12.96
"23","2020-07-29",13.66
"24","2020-07-30",13.53
"25","2020-07-31",13.76
"26","2020-08-03",13.16
"27","2020-08-04",13.63
"28","2020-08-05",13.13
"29","2020-08-06",13.22
"30","2020-08-07",13.35
"31","2020-08-10",13.3
"32","2020-08-11",13.19
"33","2020-08-12",13.3
"34","2020-08-13",13.26
"35","2020-08-14",13.3
"36","2020-08-17",13.36
"37","2020-08-18",13.05
"38","2020-08-19",12.7
"39","2020-08-20",13.04
"40","2020-08-21",13.35
"41","2020-08-24",12.72
"42","2020-08-25",12.87
"43","2020-08-26",13
"44","2020-08-27",12.6
"45","2020-08-28",12.96
"46","2020-08-31",12.87
"47","2020-09-01",12.75
"48","2020-09-02",12.89
"49","2020-09-03",12.3
"50","2020-09-04",12.27
"51","2020-09-08",12.65
"52","2020-09-09",12.53
"53","2020-09-10",12.5
"54","2020-09-11",12.45
"55","2020-09-14",12.56
"56","2020-09-15",12.58
"57","2020-09-16",12.61
"58","2020-09-17",12.58
"59","2020-09-18",12.4
"60","2020-09-21",12.75
"61","2020-09-22",12.74
"62","2020-09-23",12.27
"63","2020-09-24",12.25
"64","2020-09-25",12.2
"65","2020-09-28",12.1
"66","2020-09-29",11.8
"67","2020-09-30",12.02
"68","2020-10-01",12.06
"69","2020-10-02",11.72
"70","2020-10-05",11.5
"71","2020-10-06",11.78
"72","2020-10-07",11.57
"73","2020-10-08",11.82
"74","2020-10-09",12.21
"75","2020-10-12",12.74
"76","2020-10-13",12.69
"77","2020-10-14",12.77
"78","2020-10-15",12.56
"79","2020-10-16",12.65
"80","2020-10-19",12.18
"81","2020-10-20",12.62
"82","2020-10-21",12.53
"83","2020-10-22",12.34
"84","2020-10-23",12.37
"85","2020-10-26",12.28
"86","2020-10-27",12.35
"87","2020-10-28",12.27
"88","2020-10-29",12.23
"89","2020-10-30",12.4
"90","2020-11-02",12.67
"91","2020-11-03",12.9
"92","2020-11-04",13.73
"93","2020-11-05",13.68
"94","2020-11-06",12.77
"95","2020-11-09",12.47
"96","2020-11-10",12.63
"97","2020-11-11",13.37
"98","2020-11-12",13.68
"99","2020-11-13",13.31
"100","2020-11-16",12.81
"101","2020-11-17",12.94
"102","2020-11-18",12.8
"103","2020-11-19",12.91
"104","2020-11-20",13.28
"105","2020-11-23",12.35
"106","2020-11-24",12.89
"107","2020-11-25",12.5
"108","2020-11-27",12.39
