"","date","ROCH"
"1","2020-07-14",10.2
"2","2020-07-15",10.2
"3","2020-07-16",NA
"4","2020-07-17",10.2
"5","2020-07-20",9.92
"6","2020-07-21",9.92
"7","2020-07-22",9.92
"8","2020-07-23",9.92
"9","2020-07-24",9.92
"10","2020-07-27",9.92
"11","2020-07-28",9.92
"12","2020-07-29",9.92
"13","2020-07-30",9.92
"14","2020-07-31",9.88
"15","2020-08-03",9.88
"16","2020-08-04",9.88
"17","2020-08-05",9.88
"18","2020-08-06",9.88
"19","2020-08-07",9.88
"20","2020-08-10",9.88
"21","2020-08-11",9.88
"22","2020-08-12",9.88
"23","2020-08-13",9.88
"24","2020-08-14",9.88
"25","2020-08-17",9.88
"26","2020-08-18",9.88
"27","2020-08-19",9.94
"28","2020-08-20",9.87
"29","2020-08-21",9.84
"30","2020-08-24",9.84
"31","2020-08-25",9.78
"32","2020-08-26",9.78
"33","2020-08-27",9.78
"34","2020-08-28",9.78
"35","2020-08-31",9.9
"36","2020-09-01",9.94
"37","2020-09-02",9.94
"38","2020-09-03",9.95
"39","2020-09-04",9.95
"40","2020-09-08",9.93
"41","2020-09-09",9.92
"42","2020-09-10",9.93
"43","2020-09-11",9.92
"44","2020-09-14",9.96
"45","2020-09-15",9.97
"46","2020-09-16",9.93
"47","2020-09-17",9.93
"48","2020-09-18",9.93
"49","2020-09-21",10
"50","2020-09-22",9.93
"51","2020-09-23",9.98
"52","2020-09-24",9.95
"53","2020-09-25",9.94
"54","2020-09-28",9.93
"55","2020-09-29",9.93
"56","2020-09-30",9.95
"57","2020-10-01",9.95
"58","2020-10-02",9.93
"59","2020-10-05",10
"60","2020-10-06",9.89
"61","2020-10-07",9.89
"62","2020-10-08",9.88
"63","2020-10-09",9.88
"64","2020-10-12",9.89
"65","2020-10-13",9.89
"66","2020-10-14",10.09
"67","2020-10-15",10.08
"68","2020-10-16",10.08
"69","2020-10-19",10.08
"70","2020-10-20",9.88
"71","2020-10-21",9.88
"72","2020-10-22",9.88
"73","2020-10-23",9.95
"74","2020-10-26",9.92
"75","2020-10-27",9.92
"76","2020-10-28",9.9
"77","2020-10-29",9.88
"78","2020-10-30",9.88
"79","2020-11-02",9.969
"80","2020-11-03",10
"81","2020-11-04",10.03
"82","2020-11-05",10.08
"83","2020-11-06",10.09
"84","2020-11-09",10.071
"85","2020-11-10",10.071
"86","2020-11-11",10
"87","2020-11-12",10.125
"88","2020-11-13",10.1
"89","2020-11-16",10.5
"90","2020-11-17",10.45
"91","2020-11-18",10.39
"92","2020-11-19",10.45
"93","2020-11-20",10.4
"94","2020-11-23",10.46
"95","2020-11-24",10.44
"96","2020-11-25",10.69
"97","2020-11-27",11.1
