"","date","BNTC"
"1","2014-06-24",348
"2","2014-06-25",348
"3","2014-06-26",342
"4","2014-06-27",336
"5","2014-06-30",330
"6","2014-07-01",330
"7","2014-07-02",329.399994
"8","2014-07-03",320.399994
"9","2014-07-07",330
"10","2014-07-08",333
"11","2014-07-09",322.799988
"12","2014-07-10",330
"13","2014-07-11",330
"14","2014-07-14",304.799988
"15","2014-07-15",300.600006
"16","2014-07-16",298.200012
"17","2014-07-17",297
"18","2014-07-18",306
"19","2014-07-21",318
"20","2014-07-22",318.600006
"21","2014-07-23",321
"22","2014-07-24",321
"23","2014-07-25",318
"24","2014-07-28",296.640015
"25","2014-07-29",297
"26","2014-07-30",285
"27","2014-07-31",285
"28","2014-08-01",276.600006
"29","2014-08-04",284.399994
"30","2014-08-05",262.799988
"31","2014-08-06",255.600006
"32","2014-08-07",253.199997
"33","2014-08-08",253.199997
"34","2014-08-11",265.799988
"35","2014-08-12",265.799988
"36","2014-08-13",265.799988
"37","2014-08-14",255
"38","2014-08-15",276
"39","2014-08-18",340.799988
"40","2014-08-19",318
"41","2014-08-20",318
"42","2014-08-21",322.019989
"43","2014-08-22",308.399994
"44","2014-08-25",320.399994
"45","2014-08-26",313.079987
"46","2014-08-27",309
"47","2014-08-28",297
"48","2014-08-29",271.200012
"49","2014-09-02",312.600006
"50","2014-09-03",306
"51","2014-09-04",306
"52","2014-09-05",293.399994
"53","2014-09-08",286.799988
"54","2014-09-09",281.399994
"55","2014-09-10",281.399994
"56","2014-09-11",282
"57","2014-09-12",284.279999
"58","2014-09-15",282
"59","2014-09-16",279.600006
"60","2014-09-17",288.600006
"61","2014-09-18",277.380005
"62","2014-09-19",270
"63","2014-09-22",259.679993
"64","2014-09-23",259.679993
"65","2014-09-24",256.799988
"66","2014-09-25",256.799988
"67","2014-09-26",267
"68","2014-09-29",255
"69","2014-09-30",256.200012
"70","2014-10-01",251.399994
"71","2014-10-02",255
"72","2014-10-03",253.800003
"73","2014-10-06",252.600006
"74","2014-10-07",234
"75","2014-10-08",222
"76","2014-10-09",220.800003
"77","2014-10-10",198
"78","2014-10-13",165
"79","2014-10-14",166.800003
"80","2014-10-15",166.800003
"81","2014-10-16",172.020004
"82","2014-10-17",172.199997
"83","2014-10-20",172.199997
"84","2014-10-21",183.600006
"85","2014-10-22",177
"86","2014-10-23",171
"87","2014-10-24",171.600006
"88","2014-10-27",171.600006
"89","2014-10-28",166.800003
"90","2014-10-29",139.800003
"91","2014-10-30",145.199997
"92","2014-10-31",149.759995
"93","2014-11-03",148.800003
"94","2014-11-04",158.100006
"95","2014-11-05",159
"96","2014-11-06",159
"97","2014-11-07",167.039993
"98","2014-11-10",180.600006
"99","2014-11-11",218.399994
"100","2014-11-12",218.699997
"101","2014-11-13",210.600006
"102","2014-11-14",194.399994
"103","2014-11-17",178.199997
"104","2014-11-18",159
"105","2014-11-19",175.199997
"106","2014-11-20",177.600006
"107","2014-11-21",194.699997
"108","2014-11-24",186
"109","2014-11-25",189
"110","2014-11-26",189.600006
"111","2014-11-28",186
"112","2014-12-01",181.199997
"113","2014-12-02",181.199997
"114","2014-12-03",177.600006
"115","2014-12-04",183
"116","2014-12-05",183
"117","2014-12-08",187.800003
"118","2014-12-09",186
"119","2014-12-10",183
"120","2014-12-11",192
"121","2014-12-12",198
"122","2014-12-15",208.800003
"123","2014-12-16",230.399994
"124","2014-12-17",212.399994
"125","2014-12-18",212.399994
"126","2014-12-19",216
"127","2014-12-22",216
"128","2014-12-23",211.800003
"129","2014-12-24",211.800003
"130","2014-12-26",217.199997
"131","2014-12-29",226.199997
"132","2014-12-30",226.199997
"133","2014-12-31",233.399994
"134","2015-01-02",233.399994
"135","2015-01-05",233.399994
"136","2015-01-06",233.399994
"137","2015-01-07",240.600006
"138","2015-01-08",240.600006
"139","2015-01-09",242.220001
"140","2015-01-12",234
"141","2015-01-13",234
"142","2015-01-14",213.600006
"143","2015-01-15",217.199997
"144","2015-01-16",216
"145","2015-01-20",216
"146","2015-01-21",204.300003
"147","2015-01-22",204
"148","2015-01-23",195.899994
"149","2015-01-26",187.199997
"150","2015-01-27",178.800003
"151","2015-01-28",177
"152","2015-01-29",184.440002
"153","2015-01-30",179.399994
"154","2015-02-02",188.399994
"155","2015-02-03",191.339996
"156","2015-02-04",189
"157","2015-02-05",189
"158","2015-02-06",189
"159","2015-02-09",201
"160","2015-02-10",198
"161","2015-02-11",198
"162","2015-02-12",198
"163","2015-02-13",195.479996
"164","2015-02-17",192.600006
"165","2015-02-18",195.600006
"166","2015-02-19",203.399994
"167","2015-02-20",216
"168","2015-02-23",210.960007
"169","2015-02-24",210.300003
"170","2015-02-25",205.199997
"171","2015-02-26",193.800003
"172","2015-02-27",190.199997
"173","2015-03-02",195
"174","2015-03-03",196.800003
"175","2015-03-04",189
"176","2015-03-05",183.600006
"177","2015-03-06",181.320007
"178","2015-03-09",177
"179","2015-03-10",170.399994
"180","2015-03-11",172.800003
"181","2015-03-12",192
"182","2015-03-13",195
"183","2015-03-16",189.600006
"184","2015-03-17",184.199997
"185","2015-03-18",183
"186","2015-03-19",181.199997
"187","2015-03-20",185.399994
"188","2015-03-23",188.160004
"189","2015-03-24",189
"190","2015-03-25",189
"191","2015-03-26",185.880005
"192","2015-03-27",185.880005
"193","2015-03-30",180.600006
"194","2015-03-31",178.080002
"195","2015-04-01",178.080002
"196","2015-04-02",153
"197","2015-04-06",159
"198","2015-04-07",159
"199","2015-04-08",163.800003
"200","2015-04-09",172.800003
"201","2015-04-10",195
"202","2015-04-13",175.199997
"203","2015-04-14",179.399994
"204","2015-04-15",190.199997
"205","2015-04-16",189
"206","2015-04-17",196.199997
"207","2015-04-20",196.199997
"208","2015-04-21",196.199997
"209","2015-04-22",180
"210","2015-04-23",188.399994
"211","2015-04-24",188.399994
"212","2015-04-27",181.199997
"213","2015-04-28",190.559998
"214","2015-04-29",190.740005
"215","2015-04-30",185.399994
"216","2015-05-01",184.800003
"217","2015-05-04",195.600006
"218","2015-05-05",188.399994
"219","2015-05-06",188.399994
"220","2015-05-07",188.399994
"221","2015-05-08",195.960007
"222","2015-05-11",193.679993
"223","2015-05-12",195.119995
"224","2015-05-13",195.119995
"225","2015-05-14",188.399994
"226","2015-05-15",192
"227","2015-05-18",186
"228","2015-05-19",186
"229","2015-05-20",189.600006
"230","2015-05-21",189.600006
"231","2015-05-22",177.899994
"232","2015-05-26",181.800003
"233","2015-05-27",181.800003
"234","2015-05-28",186
"235","2015-05-29",186
"236","2015-06-01",186
"237","2015-06-02",186
"238","2015-06-03",183.839996
"239","2015-06-04",184.199997
"240","2015-06-05",184.199997
"241","2015-06-08",184.800003
"242","2015-06-09",184.800003
"243","2015-06-10",184.800003
"244","2015-06-11",184.800003
