"","date","LACQ"
"1","2018-03-14",9.55
"2","2018-03-15",9.55
"3","2018-03-16",9.55
"4","2018-03-19",9.55
"5","2018-03-20",9.55
"6","2018-03-21",9.55
"7","2018-03-22",9.55
"8","2018-03-23",9.58
"9","2018-03-26",9.6
"10","2018-03-27",9.6
"11","2018-03-28",9.6
"12","2018-03-29",9.6
"13","2018-04-02",9.65
"14","2018-04-03",9.65
"15","2018-04-04",9.65
"16","2018-04-05",9.65
"17","2018-04-06",9.65
"18","2018-04-09",9.65
"19","2018-04-10",9.65
"20","2018-04-11",9.65
"21","2018-04-12",9.65
"22","2018-04-13",9.65
"23","2018-04-16",9.65
"24","2018-04-17",9.65
"25","2018-04-18",9.65
"26","2018-04-19",9.65
"27","2018-04-20",9.6
"28","2018-04-23",9.6
"29","2018-04-24",9.55
"30","2018-04-25",9.55
"31","2018-04-26",9.55
"32","2018-04-27",9.55
"33","2018-04-30",9.55
"34","2018-05-01",9.55
"35","2018-05-02",9.55
"36","2018-05-03",9.55
"37","2018-05-04",9.55
"38","2018-05-07",9.55
"39","2018-05-08",9.55
"40","2018-05-09",9.55
"41","2018-05-10",9.55
"42","2018-05-11",9.62
"43","2018-05-14",9.62
"44","2018-05-15",9.62
"45","2018-05-16",9.62
"46","2018-05-17",9.62
"47","2018-05-18",9.62
"48","2018-05-21",9.62
"49","2018-05-22",9.62
"50","2018-05-23",9.62
"51","2018-05-24",9.62
"52","2018-05-25",9.62
"53","2018-05-29",9.62
"54","2018-05-30",9.62
"55","2018-05-31",9.62
"56","2018-06-01",9.62
"57","2018-06-04",9.62
"58","2018-06-05",9.63
"59","2018-06-06",9.63
"60","2018-06-07",9.63
"61","2018-06-08",9.63
"62","2018-06-11",9.63
"63","2018-06-12",9.63
"64","2018-06-13",9.63
"65","2018-06-14",9.63
"66","2018-06-15",9.63
"67","2018-06-18",9.63
"68","2018-06-19",9.67
"69","2018-06-20",9.66
"70","2018-06-21",9.66
"71","2018-06-22",9.66
"72","2018-06-25",9.66
"73","2018-06-26",9.66
"74","2018-06-27",9.66
"75","2018-06-28",9.66
"76","2018-06-29",9.66
"77","2018-07-02",9.66
"78","2018-07-03",9.65
"79","2018-07-05",9.66
"80","2018-07-06",9.66
"81","2018-07-09",9.66
"82","2018-07-10",9.66
"83","2018-07-11",9.66
"84","2018-07-12",9.66
"85","2018-07-13",9.66
"86","2018-07-16",9.66
"87","2018-07-17",9.75
"88","2018-07-18",9.75
"89","2018-07-19",9.69
"90","2018-07-20",9.69
"91","2018-07-23",9.69
"92","2018-07-24",9.69
"93","2018-07-25",9.7
"94","2018-07-26",9.7
"95","2018-07-27",9.7
"96","2018-07-30",9.7
"97","2018-07-31",9.7
"98","2018-08-01",9.7
"99","2018-08-02",9.7
"100","2018-08-03",9.7
"101","2018-08-06",9.7
"102","2018-08-07",9.7
"103","2018-08-08",9.7
"104","2018-08-09",9.7
"105","2018-08-10",9.71
"106","2018-08-13",9.71
"107","2018-08-14",9.71
"108","2018-08-15",9.71
"109","2018-08-16",9.7
"110","2018-08-17",9.7
"111","2018-08-20",9.7
"112","2018-08-21",9.7
"113","2018-08-22",9.7
"114","2018-08-23",9.7
"115","2018-08-24",9.7
"116","2018-08-27",9.7
"117","2018-08-28",9.7
"118","2018-08-29",9.7
"119","2018-08-30",9.7
"120","2018-08-31",9.69
"121","2018-09-04",9.69
"122","2018-09-05",9.69
"123","2018-09-06",9.69
"124","2018-09-07",9.69
"125","2018-09-10",9.69
"126","2018-09-11",9.69
"127","2018-09-12",9.69
"128","2018-09-13",9.69
"129","2018-09-14",9.69
"130","2018-09-17",9.69
"131","2018-09-18",9.75
"132","2018-09-19",9.75
"133","2018-09-20",9.75
"134","2018-09-21",9.7
"135","2018-09-24",9.75
"136","2018-09-25",9.75
"137","2018-09-26",9.75
"138","2018-09-27",9.75
"139","2018-09-28",9.75
"140","2018-10-01",9.74
"141","2018-10-02",9.74
"142","2018-10-03",9.74
"143","2018-10-04",9.74
"144","2018-10-05",9.74
"145","2018-10-08",9.74
"146","2018-10-09",9.74
"147","2018-10-10",9.74
"148","2018-10-11",9.72
"149","2018-10-12",9.72
"150","2018-10-15",9.73
"151","2018-10-16",9.73
"152","2018-10-17",9.73
"153","2018-10-18",9.73
"154","2018-10-19",9.73
"155","2018-10-22",9.73
"156","2018-10-23",9.73
"157","2018-10-24",9.73
"158","2018-10-25",9.73
"159","2018-10-26",9.73
"160","2018-10-29",9.73
"161","2018-10-30",9.73
"162","2018-10-31",9.73
"163","2018-11-01",9.73
"164","2018-11-02",9.73
"165","2018-11-05",9.62
"166","2018-11-06",9.62
"167","2018-11-07",9.62
"168","2018-11-08",9.62
"169","2018-11-09",9.72
"170","2018-11-12",9.74
"171","2018-11-13",9.74
"172","2018-11-14",9.74
"173","2018-11-15",9.75
"174","2018-11-16",9.8
"175","2018-11-19",9.8
"176","2018-11-20",9.8
"177","2018-11-21",9.74
"178","2018-11-23",9.74
"179","2018-11-26",9.74
"180","2018-11-27",9.76
"181","2018-11-28",9.76
"182","2018-11-29",9.76
"183","2018-11-30",9.76
"184","2018-12-03",9.76
"185","2018-12-04",9.81
"186","2018-12-06",9.81
"187","2018-12-07",9.75
"188","2018-12-10",9.85
"189","2018-12-11",9.83
"190","2018-12-12",9.83
"191","2018-12-13",9.83
"192","2018-12-14",9.81
"193","2018-12-17",9.83
"194","2018-12-18",9.83
"195","2018-12-19",9.83
"196","2018-12-20",9.84
"197","2018-12-21",9.83
"198","2018-12-24",9.81
"199","2018-12-26",9.81
"200","2018-12-27",9.81
"201","2018-12-28",9.81
"202","2018-12-31",9.82
"203","2019-01-02",9.82
"204","2019-01-03",9.82
"205","2019-01-04",9.82
"206","2019-01-07",9.82
"207","2019-01-08",9.85
"208","2019-01-09",9.85
"209","2019-01-10",9.85
"210","2019-01-11",9.92
"211","2019-01-14",9.92
"212","2019-01-15",9.92
"213","2019-01-16",9.92
"214","2019-01-17",9.92
"215","2019-01-18",9.92
"216","2019-01-22",9.92
"217","2019-01-23",9.92
"218","2019-01-24",9.91
"219","2019-01-25",9.91
"220","2019-01-28",9.91
"221","2019-01-29",9.93
"222","2019-01-30",9.93
"223","2019-01-31",9.94
"224","2019-02-01",9.94
"225","2019-02-04",9.93
"226","2019-02-05",10
"227","2019-02-06",9.92
"228","2019-02-07",9.92
"229","2019-02-08",9.85
"230","2019-02-11",9.9
