"","date","ATUS"
"1","2017-06-22",32.709999
"2","2017-06-23",34.299999
"3","2017-06-26",33.900002
"4","2017-06-27",32.860001
"5","2017-06-28",32.91
"6","2017-06-29",32.68
"7","2017-06-30",32.299999
"8","2017-07-03",31.9
"9","2017-07-05",31.200001
"10","2017-07-06",31.879999
"11","2017-07-07",32.450001
"12","2017-07-10",32.27
"13","2017-07-11",31.75
"14","2017-07-12",31.9
"15","2017-07-13",31.549999
"16","2017-07-14",31.790001
"17","2017-07-17",31.91
"18","2017-07-18",32.009998
"19","2017-07-19",31.639999
"20","2017-07-20",31.440001
"21","2017-07-21",31.1
"22","2017-07-24",30.959999
"23","2017-07-25",31.08
"24","2017-07-26",31.6
"25","2017-07-27",33.880001
"26","2017-07-28",32.57
"27","2017-07-31",33.439999
"28","2017-08-01",33.810001
"29","2017-08-02",32.619999
"30","2017-08-03",32.349998
"31","2017-08-04",32.48
"32","2017-08-07",31.08
"33","2017-08-08",31.049999
"34","2017-08-09",31.09
"35","2017-08-10",31.040001
"36","2017-08-11",31.49
"37","2017-08-14",31.34
"38","2017-08-15",31.02
"39","2017-08-16",30.549999
"40","2017-08-17",30.34
"41","2017-08-18",30.41
"42","2017-08-21",30.719999
"43","2017-08-22",30.860001
"44","2017-08-23",30.889999
"45","2017-08-24",30.690001
"46","2017-08-25",30.68
"47","2017-08-28",31.049999
"48","2017-08-29",30.85
"49","2017-08-30",31
"50","2017-08-31",30.51
"51","2017-09-01",30.5
"52","2017-09-05",30.01
"53","2017-09-06",30.290001
"54","2017-09-07",29.25
"55","2017-09-08",28.190001
"56","2017-09-11",28.66
"57","2017-09-12",29.5
"58","2017-09-13",29.690001
"59","2017-09-14",29.48
"60","2017-09-15",27.299999
"61","2017-09-18",26.719999
"62","2017-09-19",26.99
"63","2017-09-20",27.35
"64","2017-09-21",26.940001
"65","2017-09-22",27.299999
"66","2017-09-25",27.67
"67","2017-09-26",27.690001
"68","2017-09-27",27.85
"69","2017-09-28",27
"70","2017-09-29",27.309999
"71","2017-10-02",27.530001
"72","2017-10-03",27.25
"73","2017-10-04",27.02
"74","2017-10-05",28.24
"75","2017-10-06",27.93
"76","2017-10-09",27.219999
"77","2017-10-10",26.75
"78","2017-10-11",25.860001
"79","2017-10-12",25.15
"80","2017-10-13",24.58
"81","2017-10-16",24.6
"82","2017-10-17",24.49
"83","2017-10-18",24.65
"84","2017-10-19",25.52
"85","2017-10-20",26.02
"86","2017-10-23",25.6
"87","2017-10-24",25.110001
"88","2017-10-25",25.4
"89","2017-10-26",23.879999
"90","2017-10-27",23.690001
"91","2017-10-30",23.52
"92","2017-10-31",23.68
"93","2017-11-01",24.940001
"94","2017-11-02",24.5
"95","2017-11-03",22.59
"96","2017-11-06",23.91
"97","2017-11-07",23.059999
"98","2017-11-08",22.799999
"99","2017-11-09",21.799999
"100","2017-11-10",21.9
"101","2017-11-13",21.1
"102","2017-11-14",19.4
"103","2017-11-15",20.26
"104","2017-11-16",20.24
"105","2017-11-17",19.860001
"106","2017-11-20",20.48
"107","2017-11-21",20.1
"108","2017-11-22",19.33
"109","2017-11-24",19.200001
"110","2017-11-27",18.790001
"111","2017-11-28",18.360001
"112","2017-11-29",18.700001
"113","2017-11-30",17.85
"114","2017-12-01",18.440001
"115","2017-12-04",18.360001
"116","2017-12-05",18.52
"117","2017-12-06",18.129999
"118","2017-12-07",18.41
"119","2017-12-08",19.08
"120","2017-12-11",19.209999
"121","2017-12-12",19.049999
"122","2017-12-13",19.35
"123","2017-12-14",19.469999
