"","date","EEX"
"1","2017-04-28",19.5
"2","2017-05-01",19.6
"3","2017-05-02",19.809999
"4","2017-05-03",19.870001
"5","2017-05-04",20.299999
"6","2017-05-05",20.370001
"7","2017-05-08",20.299999
"8","2017-05-09",20.58
"9","2017-05-10",21.01
"10","2017-05-11",21.01
"11","2017-05-12",20.91
"12","2017-05-15",21.15
"13","2017-05-16",21.049999
"14","2017-05-17",21.48
"15","2017-05-18",21.58
"16","2017-05-19",21.76
"17","2017-05-22",22
"18","2017-05-23",21.940001
"19","2017-05-24",22.24
"20","2017-05-25",22
"21","2017-05-26",21.5
"22","2017-05-30",20.5
"23","2017-05-31",20.48
"24","2017-06-01",20.959999
"25","2017-06-02",21.139999
"26","2017-06-05",21.280001
"27","2017-06-06",21.200001
"28","2017-06-07",21.25
"29","2017-06-08",21.639999
"30","2017-06-09",21.709999
"31","2017-06-12",21.98
"32","2017-06-13",22.5
"33","2017-06-14",22.709999
"34","2017-06-15",21.780001
"35","2017-06-16",22.15
"36","2017-06-19",21.91
"37","2017-06-20",21.469999
"38","2017-06-21",21.370001
"39","2017-06-22",21.01
"40","2017-06-23",21.290001
"41","2017-06-26",21.23
"42","2017-06-27",21.49
"43","2017-06-28",21.82
"44","2017-06-29",21.5
"45","2017-06-30",21.9
"46","2017-07-03",21.76
"47","2017-07-05",21.84
"48","2017-07-06",21.799999
"49","2017-07-07",22.129999
"50","2017-07-10",22.120001
"51","2017-07-11",22.26
"52","2017-07-12",22.17
"53","2017-07-13",22.23
"54","2017-07-14",22.120001
"55","2017-07-17",22.1
"56","2017-07-18",22.26
"57","2017-07-19",22.27
"58","2017-07-20",22.25
"59","2017-07-21",22.549999
"60","2017-07-24",22.26
"61","2017-07-25",22.530001
"62","2017-07-26",22.5
"63","2017-07-27",22.52
"64","2017-07-28",23
"65","2017-07-31",22.889999
"66","2017-08-01",22.549999
"67","2017-08-02",21.950001
"68","2017-08-03",21.08
"69","2017-08-04",21.700001
"70","2017-08-07",21.719999
"71","2017-08-08",21.540001
"72","2017-08-09",21.5
"73","2017-08-10",21.24
"74","2017-08-11",21.629999
"75","2017-08-14",21.52
"76","2017-08-15",21.66
"77","2017-08-16",21.799999
"78","2017-08-17",21.629999
"79","2017-08-18",21.450001
"80","2017-08-21",21.620001
"81","2017-08-22",21.6
"82","2017-08-23",21.5
"83","2017-08-24",21.5
"84","2017-08-25",21.620001
"85","2017-08-28",21.5
"86","2017-08-29",21.59
"87","2017-08-30",21.610001
"88","2017-08-31",21.74
"89","2017-09-01",22.01
"90","2017-09-05",22.27
"91","2017-09-06",22.17
"92","2017-09-07",22
"93","2017-09-08",21.889999
"94","2017-09-11",22.389999
"95","2017-09-12",22.469999
"96","2017-09-13",22.59
"97","2017-09-14",22.639999
"98","2017-09-15",22.51
"99","2017-09-18",22.450001
"100","2017-09-19",22.440001
"101","2017-09-20",22.6
"102","2017-09-21",22.66
"103","2017-09-22",22.709999
"104","2017-09-25",22.82
"105","2017-09-26",22.73
"106","2017-09-27",23.129999
"107","2017-09-28",23.32
"108","2017-09-29",23.24
"109","2017-10-02",23.68
"110","2017-10-03",23.6
"111","2017-10-04",23.32
"112","2017-10-05",23.280001
"113","2017-10-06",23.190001
"114","2017-10-09",23.07
"115","2017-10-10",23.25
"116","2017-10-11",23.24
"117","2017-10-12",23.299999
"118","2017-10-13",23.32
"119","2017-10-16",22.67
"120","2017-10-17",22.299999
"121","2017-10-18",22.42
"122","2017-10-19",22.709999
"123","2017-10-20",22.6
"124","2017-10-23",22.48
"125","2017-10-24",22.540001
"126","2017-10-25",22.66
"127","2017-10-26",22.870001
"128","2017-10-27",23.32
"129","2017-10-30",23.129999
"130","2017-10-31",23.290001
"131","2017-11-01",23.15
"132","2017-11-02",23.469999
"133","2017-11-03",22.440001
"134","2017-11-06",22.49
"135","2017-11-07",22.5
"136","2017-11-08",22.549999
"137","2017-11-09",22.59
"138","2017-11-10",22.309999
"139","2017-11-13",21.940001
"140","2017-11-14",22.24
"141","2017-11-15",22.049999
"142","2017-11-16",22.459999
"143","2017-11-17",22.42
"144","2017-11-20",22.459999
"145","2017-11-21",22.34
"146","2017-11-22",22.549999
"147","2017-11-24",22.76
