"","date","DRQ"
"1","2007-01-03",36.400002
"2","2007-01-04",34.57
"3","2007-01-05",34.869999
"4","2007-01-08",35.5
"5","2007-01-09",34.32
"6","2007-01-10",33.639999
"7","2007-01-11",33.549999
"8","2007-01-12",34.98
"9","2007-01-16",34.509998
"10","2007-01-17",35.299999
"11","2007-01-18",35.009998
"12","2007-01-19",36.200001
"13","2007-01-22",35.740002
"14","2007-01-23",37.290001
"15","2007-01-24",37.060001
"16","2007-01-25",35.970001
"17","2007-01-26",35.75
"18","2007-01-29",35.869999
"19","2007-01-30",36.869999
"20","2007-01-31",37.200001
"21","2007-02-01",37.669998
"22","2007-02-02",37.709999
"23","2007-02-05",37.700001
"24","2007-02-06",38.240002
"25","2007-02-07",37.759998
"26","2007-02-08",37.990002
"27","2007-02-09",37.450001
"28","2007-02-12",37.220001
"29","2007-02-13",38.369999
"30","2007-02-14",38.810001
"31","2007-02-15",39.150002
"32","2007-02-16",38.950001
"33","2007-02-20",39.209999
"34","2007-02-21",40.130001
"35","2007-02-22",41.009998
"36","2007-02-23",41.18
"37","2007-02-26",41.48
"38","2007-02-27",39.25
"39","2007-02-28",38.5
"40","2007-03-01",38.029999
"41","2007-03-02",37.299999
"42","2007-03-05",36.639999
"43","2007-03-06",37.470001
"44","2007-03-07",37.849998
"45","2007-03-08",38.16
"46","2007-03-09",38.220001
"47","2007-03-12",38.290001
"48","2007-03-13",37.52
"49","2007-03-14",37.950001
"50","2007-03-15",38.02
"51","2007-03-16",38.27
"52","2007-03-19",39.599998
"53","2007-03-20",39.48
"54","2007-03-21",40.57
"55","2007-03-22",41.689999
"56","2007-03-23",42.220001
"57","2007-03-26",42.41
"58","2007-03-27",42.330002
"59","2007-03-28",42.810001
"60","2007-03-29",44.049999
"61","2007-03-30",43.279999
"62","2007-04-02",44.310001
"63","2007-04-03",43.849998
"64","2007-04-04",44.490002
"65","2007-04-05",45.02
"66","2007-04-09",45.610001
"67","2007-04-10",46.990002
"68","2007-04-11",46.650002
"69","2007-04-12",48.130001
"70","2007-04-13",48.400002
"71","2007-04-16",49.18
"72","2007-04-17",48.900002
"73","2007-04-18",48.349998
"74","2007-04-19",47.84
"75","2007-04-20",48.790001
"76","2007-04-23",49.630001
"77","2007-04-24",49.549999
"78","2007-04-25",51.029999
"79","2007-04-26",51.709999
"80","2007-04-27",52.040001
"81","2007-04-30",50.5
"82","2007-05-01",47.369999
"83","2007-05-02",46.66
"84","2007-05-03",46.639999
"85","2007-05-04",45.669998
"86","2007-05-07",46.5
"87","2007-05-08",45.91
"88","2007-05-09",46.009998
"89","2007-05-10",44.540001
"90","2007-05-11",46.689999
"91","2007-05-14",46.360001
"92","2007-05-15",46.07
"93","2007-05-16",46.099998
"94","2007-05-17",47.189999
"95","2007-05-18",47.700001
"96","2007-05-21",49.310001
"97","2007-05-22",48.299999
"98","2007-05-23",48.349998
"99","2007-05-24",46.549999
"100","2007-05-25",47.349998
"101","2007-05-29",47.34
"102","2007-05-30",48.25
"103","2007-05-31",48.52
"104","2007-06-01",48.610001
"105","2007-06-04",49.139999
"106","2007-06-05",48.77
"107","2007-06-06",47.93
"108","2007-06-07",46.52
"109","2007-06-08",46.610001
"110","2007-06-11",46.490002
"111","2007-06-12",45.66
"112","2007-06-13",46.82
"113","2007-06-14",47.709999
"114","2007-06-15",48.509998
"115","2007-06-18",48.59
"116","2007-06-19",48.709999
"117","2007-06-20",46.66
"118","2007-06-21",48.130001
"119","2007-06-22",47.290001
"120","2007-06-25",45.720001
