"","date","PPSI"
"1","2013-05-03",5.75
"2","2013-05-06",5.75
"3","2013-05-07",5.75
"4","2013-05-08",5.75
"5","2013-05-09",5.75
"6","2013-05-10",5.75
"7","2013-05-13",5.75
"8","2013-05-14",5.75
"9","2013-05-15",5.75
"10","2013-05-16",6
"11","2013-05-17",6
"12","2013-05-20",6
"13","2013-05-21",6
"14","2013-05-22",6
"15","2013-05-23",6
"16","2013-05-24",6
"17","2013-05-28",6
"18","2013-05-29",6
"19","2013-05-30",6
"20","2013-05-31",6
"21","2013-06-03",6
"22","2013-06-04",6
"23","2013-06-05",6
"24","2013-06-06",6
"25","2013-06-07",6
"26","2013-06-10",6
"27","2013-06-11",6
"28","2013-06-12",6
"29","2013-06-13",6
"30","2013-06-14",6
"31","2013-06-17",6
"32","2013-06-18",6
"33","2013-06-19",6
"34","2013-06-20",6
"35","2013-06-21",6
"36","2013-06-24",6
"37","2013-06-25",6
"38","2013-06-26",6
"39","2013-06-27",6
"40","2013-06-28",6.3
"41","2013-07-01",6.3
"42","2013-07-02",6.3
"43","2013-07-03",6.3
"44","2013-07-05",6.3
"45","2013-07-08",6.3
"46","2013-07-09",6.3
"47","2013-07-10",6.5
"48","2013-07-11",6.5
"49","2013-07-12",6.5
"50","2013-07-15",6.5
"51","2013-07-16",6.5
"52","2013-07-17",6.5
"53","2013-07-18",6.5
"54","2013-07-19",6.5
"55","2013-07-22",6.5
"56","2013-07-23",6.5
"57","2013-07-24",6.5
"58","2013-07-25",6.5
"59","2013-07-26",6.5
"60","2013-07-29",6.5
"61","2013-07-30",6.5
"62","2013-07-31",6.5
"63","2013-08-01",6.5
"64","2013-08-02",6.5
"65","2013-08-05",6.5
"66","2013-08-06",6.5
"67","2013-08-07",6.5
"68","2013-08-08",6.5
"69","2013-08-09",6.5
"70","2013-08-12",6.5
"71","2013-08-13",6.5
"72","2013-08-14",7
"73","2013-08-15",7
"74","2013-08-16",7
"75","2013-08-19",7
"76","2013-08-20",7
"77","2013-08-21",7
"78","2013-08-22",7
"79","2013-08-23",7
"80","2013-08-26",7
"81","2013-08-27",7
"82","2013-08-28",7
"83","2013-08-29",7
"84","2013-08-30",7
"85","2013-09-03",7
"86","2013-09-04",7
"87","2013-09-05",7
"88","2013-09-06",7
"89","2013-09-09",7
"90","2013-09-10",7
"91","2013-09-11",7
"92","2013-09-12",7
"93","2013-09-13",7
"94","2013-09-16",7
"95","2013-09-17",7
"96","2013-09-18",7
"97","2013-09-19",7.08
"98","2013-09-20",7.3
"99","2013-09-23",7.5
"100","2013-09-24",7.5
"101","2013-09-25",8
"102","2013-09-26",8.189
"103","2013-09-27",8.3
"104","2013-09-30",8.3
"105","2013-10-01",8.09
"106","2013-10-02",8.09
"107","2013-10-03",8.134
"108","2013-10-04",8.091
"109","2013-10-07",8.05
"110","2013-10-08",8
"111","2013-10-09",7.61
"112","2013-10-10",8.05
"113","2013-10-11",8.1
"114","2013-10-14",7.81
"115","2013-10-15",7.81
"116","2013-10-16",8.5
"117","2013-10-17",8.25
"118","2013-10-18",8.25
"119","2013-10-21",8
"120","2013-10-22",8
"121","2013-10-23",7.79
"122","2013-10-24",7.8
"123","2013-10-25",8
"124","2013-10-28",8
"125","2013-10-29",8
"126","2013-10-30",8
"127","2013-10-31",8
"128","2013-11-01",8.57
"129","2013-11-04",8.2
"130","2013-11-05",8.5
"131","2013-11-06",8.4
"132","2013-11-07",8.4
"133","2013-11-08",8.75
"134","2013-11-11",8.75
"135","2013-11-12",8.6
"136","2013-11-13",8.62
"137","2013-11-14",8.6
"138","2013-11-15",8.6
"139","2013-11-18",8.95
"140","2013-11-19",8.8
"141","2013-11-20",8.6
"142","2013-11-21",8.999
"143","2013-11-22",8.6
"144","2013-11-25",8.99
"145","2013-11-26",8.9
"146","2013-11-27",8.9
"147","2013-11-29",8.9
"148","2013-12-02",9
"149","2013-12-03",9.01
"150","2013-12-04",9.01
"151","2013-12-05",9.01
"152","2013-12-06",9.01
"153","2013-12-09",9.59
"154","2013-12-10",10.3
"155","2013-12-11",10
"156","2013-12-12",9.98
"157","2013-12-13",10.06
"158","2013-12-16",10.1
"159","2013-12-17",10.08
"160","2013-12-18",10.08
"161","2013-12-19",9.96
"162","2013-12-20",10.43
"163","2013-12-23",10.02
"164","2013-12-24",10.02
"165","2013-12-26",10.05
"166","2013-12-27",10.189
"167","2013-12-30",10.3
"168","2013-12-31",10.3
"169","2014-01-02",10.3
"170","2014-01-03",10.31
"171","2014-01-06",10.35
"172","2014-01-07",10.37
"173","2014-01-08",10.36
"174","2014-01-09",10.34
"175","2014-01-10",10.31
"176","2014-01-13",9.959
"177","2014-01-14",9.88
"178","2014-01-15",10.05
"179","2014-01-16",10.26
"180","2014-01-17",10.07
"181","2014-01-21",10.2
"182","2014-01-22",10.1
"183","2014-01-23",10.09
"184","2014-01-24",10
"185","2014-01-27",9.75
"186","2014-01-28",9.72
"187","2014-01-29",9.8
"188","2014-01-30",9.8
"189","2014-01-31",9.85
"190","2014-02-03",9.67
"191","2014-02-04",9.87
"192","2014-02-05",9.84
"193","2014-02-06",9.9
"194","2014-02-07",10.05
"195","2014-02-10",10.062
"196","2014-02-11",10.062
"197","2014-02-12",9.48
"198","2014-02-13",9.87
"199","2014-02-14",10.1
"200","2014-02-18",9.9
"201","2014-02-19",10.15
"202","2014-02-20",10
"203","2014-02-21",10.22
"204","2014-02-24",10.25
"205","2014-02-25",10.005
"206","2014-02-26",10.07
"207","2014-02-27",10.15
"208","2014-02-28",10.17
