"","date","HOLI"
"1","2007-01-03",8.65
"2","2007-01-04",8.7
"3","2007-01-05",8.5
"4","2007-01-08",7.9
"5","2007-01-09",8.05
"6","2007-01-10",7.95
"7","2007-01-11",8.01
"8","2007-01-12",8
"9","2007-01-16",8.02
"10","2007-01-17",8.04
"11","2007-01-18",8
"12","2007-01-19",8.07
"13","2007-01-22",8.1
"14","2007-01-23",8.13
"15","2007-01-24",8.08
"16","2007-01-25",8.13
"17","2007-01-26",8.14
"18","2007-01-29",8
"19","2007-01-30",8
"20","2007-01-31",7.75
"21","2007-02-01",7.81
"22","2007-02-02",7.82
"23","2007-02-05",7.83
"24","2007-02-06",7.88
"25","2007-02-07",7.8
"26","2007-02-08",7.8
"27","2007-02-09",7.6
"28","2007-02-12",7.65
"29","2007-02-13",7.4
"30","2007-02-14",7.55
"31","2007-02-15",7.65
"32","2007-02-16",8
"33","2007-02-20",8.75
"34","2007-02-21",8.62
"35","2007-02-22",8.43
"36","2007-02-23",8.25
"37","2007-02-26",8.23
"38","2007-02-27",7.85
"39","2007-02-28",8.15
"40","2007-03-01",7.95
"41","2007-03-02",8
"42","2007-03-05",7.8
"43","2007-03-06",8
"44","2007-03-07",8
"45","2007-03-08",7.75
"46","2007-03-09",7.66
"47","2007-03-12",7.54
"48","2007-03-13",7.5
"49","2007-03-14",7.5
"50","2007-03-15",7.71
"51","2007-03-16",7.72
"52","2007-03-19",7.73
"53","2007-03-20",7.73
"54","2007-03-21",7.73
"55","2007-03-22",7.7
"56","2007-03-23",7.7
"57","2007-03-26",7.89
"58","2007-03-27",7.91
"59","2007-03-28",7.92
"60","2007-03-29",7.92
"61","2007-03-30",7.92
"62","2007-04-02",7.92
"63","2007-04-03",7.92
"64","2007-04-04",7.9
"65","2007-04-05",7.88
"66","2007-04-09",7.88
"67","2007-04-10",7.88
"68","2007-04-11",7.88
"69","2007-04-12",7.88
"70","2007-04-13",7.84
"71","2007-04-16",8
"72","2007-04-17",8
"73","2007-04-18",8
"74","2007-04-19",7.97
"75","2007-04-20",8
"76","2007-04-23",7.9
"77","2007-04-24",7.9
"78","2007-04-25",7.86
"79","2007-04-26",7.87
"80","2007-04-27",7.87
"81","2007-04-30",7.87
"82","2007-05-01",7.82
"83","2007-05-02",7.77
"84","2007-05-03",7.69
"85","2007-05-04",7.75
"86","2007-05-07",7.65
"87","2007-05-08",7.65
"88","2007-05-09",7.54
"89","2007-05-10",7.4
"90","2007-05-11",7.4
"91","2007-05-14",7.35
"92","2007-05-15",7.26
"93","2007-05-16",7.25
"94","2007-05-17",7.26
"95","2007-05-18",7.2
"96","2007-05-21",7.4
"97","2007-05-22",7.63
"98","2007-05-23",7.88
"99","2007-05-24",7.9
"100","2007-05-25",7.99
"101","2007-05-29",7.93
"102","2007-05-30",7.85
"103","2007-05-31",7.75
"104","2007-06-01",7.88
"105","2007-06-04",7.85
"106","2007-06-05",7.75
"107","2007-06-06",7.58
"108","2007-06-07",7.5
"109","2007-06-08",7.48
"110","2007-06-11",7.48
"111","2007-06-12",7.48
"112","2007-06-13",7.41
"113","2007-06-14",7.41
"114","2007-06-15",7.5
"115","2007-06-18",7.5
"116","2007-06-19",7.35
"117","2007-06-20",7.3
"118","2007-06-21",7.35
"119","2007-06-22",7.28
"120","2007-06-25",7.3
"121","2007-06-26",7.32
"122","2007-06-27",7.4
"123","2007-06-28",7.35
"124","2007-06-29",7.38
"125","2007-07-02",7.38
"126","2007-07-03",7.4
"127","2007-07-05",7.34
"128","2007-07-06",7.36
"129","2007-07-09",7.36
"130","2007-07-10",7.34
"131","2007-07-11",7.25
"132","2007-07-12",7.09
"133","2007-07-13",7.1
"134","2007-07-16",7.13
"135","2007-07-17",7.27
"136","2007-07-18",7.89
"137","2007-07-19",7.85
"138","2007-07-20",7.85
"139","2007-07-23",8.04
"140","2007-07-24",8.15
"141","2007-07-25",8.2
"142","2007-07-26",8.1
"143","2007-07-27",8.13
"144","2007-07-30",7.95
"145","2007-07-31",8.15
"146","2007-08-01",8.35
"147","2007-08-02",8.5
"148","2007-08-03",8.55
"149","2007-08-06",8.65
"150","2007-08-07",8.51
"151","2007-08-08",8.6
"152","2007-08-09",8.65
"153","2007-08-10",8.75
"154","2007-08-13",8.94
"155","2007-08-14",8.93
"156","2007-08-15",9
"157","2007-08-16",8.55
"158","2007-08-17",8.55
"159","2007-08-20",8.45
"160","2007-08-21",8.3
"161","2007-08-22",8.3
"162","2007-08-23",8.3
"163","2007-08-24",8.3
"164","2007-08-27",8.4
"165","2007-08-28",8.4
"166","2007-08-29",8.5
"167","2007-08-30",8.5
"168","2007-08-31",8.4
"169","2007-09-04",8.4
"170","2007-09-05",8.35
"171","2007-09-06",8.35
"172","2007-09-07",8.5
"173","2007-09-10",8.5
"174","2007-09-11",8.5
"175","2007-09-12",8.5
"176","2007-09-13",8.54
"177","2007-09-14",8.28
"178","2007-09-17",8.43
"179","2007-09-18",8.44
"180","2007-09-19",8.4
"181","2007-09-20",8.35
"182","2007-09-21",8.1
"183","2007-09-24",7.95
"184","2007-09-25",8.15
"185","2007-09-26",8.55
"186","2007-09-27",8.51
"187","2007-09-28",8.27
"188","2007-10-01",8.35
"189","2007-10-02",8.28
"190","2007-10-03",8.28
"191","2007-10-04",8.4
"192","2007-10-05",8.4
"193","2007-10-08",8.4
"194","2007-10-09",8.56
"195","2007-10-10",8.8
"196","2007-10-11",9.1
"197","2007-10-12",9.15
"198","2007-10-15",9.16
"199","2007-10-16",9.05
"200","2007-10-17",9
"201","2007-10-18",8.85
"202","2007-10-19",8.7
"203","2007-10-22",8.51
"204","2007-10-23",8.27
"205","2007-10-24",8.4
"206","2007-10-25",8.51
"207","2007-10-26",8.53
"208","2007-10-29",8.51
"209","2007-10-30",8.74
"210","2007-10-31",8.75
"211","2007-11-01",8.63
"212","2007-11-02",8.71
"213","2007-11-05",8.58
"214","2007-11-06",8.78
"215","2007-11-07",8.7
"216","2007-11-08",8.3
"217","2007-11-09",8.16
"218","2007-11-12",8.06
"219","2007-11-13",7.85
"220","2007-11-14",7.92
"221","2007-11-15",7.75
"222","2007-11-16",7.4
"223","2007-11-19",7.44
"224","2007-11-20",7.49
"225","2007-11-21",7.24
"226","2007-11-23",7.3
"227","2007-11-26",7.15
"228","2007-11-27",7.1
"229","2007-11-28",7.15
"230","2007-11-29",8.2
"231","2007-11-30",8.35
"232","2007-12-03",8.33
"233","2007-12-04",8.15
"234","2007-12-05",8
"235","2007-12-06",7.95
"236","2007-12-07",7.8
"237","2007-12-10",7.85
"238","2007-12-11",8.23
"239","2007-12-12",8.52
"240","2007-12-13",9
"241","2007-12-14",8.75
"242","2007-12-17",8.51
"243","2007-12-18",8.4
"244","2007-12-19",8.25
"245","2007-12-20",8.2
"246","2007-12-21",8.35
"247","2007-12-24",8.45
"248","2007-12-26",9
"249","2007-12-27",8.99
"250","2007-12-28",8.85
"251","2007-12-31",8.92
"252","2008-01-02",8.7
"253","2008-01-03",9
"254","2008-01-04",8.5
"255","2008-01-07",8.9
"256","2008-01-08",8.8
"257","2008-01-09",8.75
"258","2008-01-10",8.75
"259","2008-01-11",8.9
"260","2008-01-14",8.9
"261","2008-01-15",8.4
