"","date","GIS"
"1","2007-01-03",28.715
"2","2007-01-04",28.695
"3","2007-01-05",28.485001
"4","2007-01-08",28.615
"5","2007-01-09",28.280001
"6","2007-01-10",28.379999
"7","2007-01-11",28.655001
"8","2007-01-12",28.450001
"9","2007-01-16",28.290001
"10","2007-01-17",28.299999
"11","2007-01-18",28.254999
"12","2007-01-19",28.325001
"13","2007-01-22",28.395
"14","2007-01-23",28.305
"15","2007-01-24",28.264999
"16","2007-01-25",28.389999
"17","2007-01-26",28.275
"18","2007-01-29",28.385
"19","2007-01-30",28.635
"20","2007-01-31",28.620001
"21","2007-02-01",28.725
"22","2007-02-02",28.655001
"23","2007-02-05",28.58
"24","2007-02-06",28.6
"25","2007-02-07",28.370001
"26","2007-02-08",28.389999
"27","2007-02-09",28.514999
"28","2007-02-12",28.465
"29","2007-02-13",28.620001
"30","2007-02-14",28.66
"31","2007-02-15",28.754999
"32","2007-02-16",29.045
"33","2007-02-20",28.959999
"34","2007-02-21",28.75
"35","2007-02-22",28.865
"36","2007-02-23",28.59
"37","2007-02-26",28.9
"38","2007-02-27",28.315001
"39","2007-02-28",28.16
"40","2007-03-01",28.059999
"41","2007-03-02",27.75
"42","2007-03-05",27.92
"43","2007-03-06",27.965
"44","2007-03-07",27.450001
"45","2007-03-08",27.58
"46","2007-03-09",27.6
"47","2007-03-12",28.055
"48","2007-03-13",27.52
"49","2007-03-14",27.66
"50","2007-03-15",28.094999
"51","2007-03-16",28.040001
"52","2007-03-19",28.235001
"53","2007-03-20",28.684999
"54","2007-03-21",28.940001
"55","2007-03-22",29.16
"56","2007-03-23",29.094999
"57","2007-03-26",28.93
"58","2007-03-27",28.68
"59","2007-03-28",28.809999
"60","2007-03-29",28.959999
"61","2007-03-30",29.110001
"62","2007-04-02",28.975
"63","2007-04-03",29.215
"64","2007-04-04",29.485001
"65","2007-04-05",29.375
"66","2007-04-09",29.275
"67","2007-04-10",29.43
"68","2007-04-11",29.344999
"69","2007-04-12",29.25
"70","2007-04-13",29.24
"71","2007-04-16",29.299999
"72","2007-04-17",29.594999
"73","2007-04-18",29.450001
"74","2007-04-19",29.485001
"75","2007-04-20",29.559999
"76","2007-04-23",29.780001
"77","2007-04-24",29.754999
"78","2007-04-25",29.950001
"79","2007-04-26",30.004999
"80","2007-04-27",30.040001
"81","2007-04-30",29.950001
"82","2007-05-01",30.049999
"83","2007-05-02",29.934999
"84","2007-05-03",29.709999
"85","2007-05-04",29.73
"86","2007-05-07",29.860001
"87","2007-05-08",29.865
"88","2007-05-09",29.91
"89","2007-05-10",29.860001
"90","2007-05-11",29.83
"91","2007-05-14",29.975
"92","2007-05-15",30.174999
"93","2007-05-16",30.370001
"94","2007-05-17",30.15
"95","2007-05-18",30.485001
"96","2007-05-21",30.424999
"97","2007-05-22",30.450001
"98","2007-05-23",30.08
"99","2007-05-24",30.084999
"100","2007-05-25",30.075001
"101","2007-05-29",30.26
"102","2007-05-30",30.18
"103","2007-05-31",30.620001
"104","2007-06-01",30.67
"105","2007-06-04",30.735001
"106","2007-06-05",29.700001
