"","date","BNTX"
"1","2019-10-10",14.24
"2","2019-10-11",13.82
"3","2019-10-14",12.75
"4","2019-10-15",12.92
"5","2019-10-16",12.94
"6","2019-10-17",13
"7","2019-10-18",14.14
"8","2019-10-21",16.280001
"9","2019-10-22",20.639999
"10","2019-10-23",17.639999
"11","2019-10-24",18.85
"12","2019-10-25",17.57
"13","2019-10-28",16.459999
"14","2019-10-29",17
"15","2019-10-30",16.790001
"16","2019-10-31",16.82
"17","2019-11-01",16.52
"18","2019-11-04",18.969999
"19","2019-11-05",18.48
"20","2019-11-06",17.379999
"21","2019-11-07",18.42
"22","2019-11-08",18.870001
"23","2019-11-11",19.74
"24","2019-11-12",17.639999
"25","2019-11-13",18.549999
"26","2019-11-14",19
"27","2019-11-15",19.24
"28","2019-11-18",19.700001
"29","2019-11-19",20.33
"30","2019-11-20",20.35
"31","2019-11-21",19.68
"32","2019-11-22",21.33
"33","2019-11-25",20.75
"34","2019-11-26",21.360001
"35","2019-11-27",21.879999
"36","2019-11-29",21.98
"37","2019-12-02",21.870001
"38","2019-12-03",20.77
"39","2019-12-04",21.370001
"40","2019-12-05",22.49
"41","2019-12-06",24.370001
"42","2019-12-09",29
"43","2019-12-10",28
"44","2019-12-11",31.299999
"45","2019-12-12",29.84
"46","2019-12-13",32.450001
"47","2019-12-16",35
"48","2019-12-17",36.91
"49","2019-12-18",35
"50","2019-12-19",29.34
"51","2019-12-20",34.970001
"52","2019-12-23",34.73
"53","2019-12-24",33.470001
"54","2019-12-26",33.200001
"55","2019-12-27",32.580002
"56","2019-12-30",34.91
"57","2019-12-31",33.880001
"58","2020-01-02",38.5
"59","2020-01-03",40.049999
"60","2020-01-06",44.580002
"61","2020-01-07",43.34
"62","2020-01-08",45.099998
"63","2020-01-09",43.27
"64","2020-01-10",39.68
"65","2020-01-13",37.830002
"66","2020-01-14",34.529999
"67","2020-01-15",34.549999
"68","2020-01-16",32.25
"69","2020-01-17",33.18
"70","2020-01-21",36.540001
