"","date","SURF"
"1","2018-04-19",13.33
"2","2018-04-20",13.81
"3","2018-04-23",12.88
"4","2018-04-24",12.95
"5","2018-04-25",13.33
"6","2018-04-26",13.81
"7","2018-04-27",14.29
"8","2018-04-30",14.35
"9","2018-05-01",14.63
"10","2018-05-02",15.06
"11","2018-05-03",14.58
"12","2018-05-04",13.89
"13","2018-05-07",14.36
"14","2018-05-08",14.79
"15","2018-05-09",14.41
"16","2018-05-10",13.98
"17","2018-05-11",14.05
"18","2018-05-14",13.39
"19","2018-05-15",13.39
"20","2018-05-16",13.84
"21","2018-05-17",13.99
"22","2018-05-18",14.29
"23","2018-05-21",15
"24","2018-05-22",14.95
"25","2018-05-23",15.06
"26","2018-05-24",14.96
"27","2018-05-25",14.82
"28","2018-05-29",13.93
"29","2018-05-30",13.82
"30","2018-05-31",13.74
"31","2018-06-01",13.55
"32","2018-06-04",13.81
"33","2018-06-05",12.87
"34","2018-06-06",12.83
"35","2018-06-07",13.43
"36","2018-06-08",14.51
"37","2018-06-11",14.27
"38","2018-06-12",13.95
"39","2018-06-13",14.01
"40","2018-06-14",14.27
"41","2018-06-15",14.49
"42","2018-06-18",16.379999
"43","2018-06-19",15.85
"44","2018-06-20",15.82
"45","2018-06-21",15.54
"46","2018-06-22",16.16
"47","2018-06-25",17.41
"48","2018-06-26",17.040001
"49","2018-06-27",15.66
"50","2018-06-28",16.190001
"51","2018-06-29",16.309999
"52","2018-07-02",16.83
"53","2018-07-03",16.85
"54","2018-07-05",16.870001
"55","2018-07-06",17.01
"56","2018-07-09",17.83
"57","2018-07-10",16.780001
"58","2018-07-11",16.450001
"59","2018-07-12",16.299999
"60","2018-07-13",16.190001
"61","2018-07-16",15.32
"62","2018-07-17",15.08
"63","2018-07-18",14.75
"64","2018-07-19",14.58
"65","2018-07-20",13.15
"66","2018-07-23",13.81
"67","2018-07-24",13.19
"68","2018-07-25",12
"69","2018-07-26",11.07
"70","2018-07-27",11.13
"71","2018-07-30",10.93
"72","2018-07-31",11.06
"73","2018-08-01",11.54
"74","2018-08-02",11.35
"75","2018-08-03",10.72
"76","2018-08-06",10.85
"77","2018-08-07",10.69
"78","2018-08-08",10.55
"79","2018-08-09",11.03
"80","2018-08-10",10.39
"81","2018-08-13",9.75
"82","2018-08-14",9.95
"83","2018-08-15",9.74
"84","2018-08-16",9.77
"85","2018-08-17",10.1
"86","2018-08-20",8.94
"87","2018-08-21",9.07
"88","2018-08-22",9.44
"89","2018-08-23",10.03
"90","2018-08-24",9.31
"91","2018-08-27",9.02
"92","2018-08-28",8.92
"93","2018-08-29",9.09
"94","2018-08-30",9.54
"95","2018-08-31",9.7
"96","2018-09-04",10.21
"97","2018-09-05",10.57
"98","2018-09-06",9.77
"99","2018-09-07",10.25
"100","2018-09-10",9.79
"101","2018-09-11",10.29
"102","2018-09-12",10.47
"103","2018-09-13",10.56
"104","2018-09-14",10.6
"105","2018-09-17",10.24
"106","2018-09-18",10.5
"107","2018-09-19",11.57
"108","2018-09-20",12.1
"109","2018-09-21",12.01
"110","2018-09-24",10.42
"111","2018-09-25",10.6
"112","2018-09-26",10.27
"113","2018-09-27",10.32
"114","2018-09-28",10.94
"115","2018-10-01",10.69
"116","2018-10-02",9.74
"117","2018-10-03",10.04
"118","2018-10-04",9.09
"119","2018-10-05",9.26
"120","2018-10-08",9.08
"121","2018-10-09",8.69
"122","2018-10-10",8.05
"123","2018-10-11",8.4
"124","2018-10-12",8.61
"125","2018-10-15",8.005
"126","2018-10-16",8.39
"127","2018-10-17",8.34
"128","2018-10-18",8.36
"129","2018-10-19",7.95
"130","2018-10-22",8.32
"131","2018-10-23",7.96
"132","2018-10-24",7.29
"133","2018-10-25",7.55
"134","2018-10-26",7.29
"135","2018-10-29",7.22
"136","2018-10-30",7.5
"137","2018-10-31",7.81
"138","2018-11-01",7.06
"139","2018-11-02",8
"140","2018-11-05",8.42
"141","2018-11-06",8.46
"142","2018-11-07",8.66
"143","2018-11-08",8.54
"144","2018-11-09",8.23
"145","2018-11-12",8.17
"146","2018-11-13",8.2
"147","2018-11-14",7.86
"148","2018-11-15",8
"149","2018-11-16",8.13
"150","2018-11-19",8.3
"151","2018-11-20",8.2
"152","2018-11-21",8.39
"153","2018-11-23",8.28
"154","2018-11-26",8.14
"155","2018-11-27",8.04
"156","2018-11-28",7.91
"157","2018-11-29",7.94
"158","2018-11-30",8.08
"159","2018-12-03",8.49
"160","2018-12-04",8.33
"161","2018-12-06",8.06
"162","2018-12-07",8.17
"163","2018-12-10",8.36
"164","2018-12-11",8.58
"165","2018-12-12",8.59
"166","2018-12-13",8.54
"167","2018-12-14",8.25
"168","2018-12-17",7.82
"169","2018-12-18",7.41
"170","2018-12-19",3.89
"171","2018-12-20",4.05
"172","2018-12-21",3.7
"173","2018-12-24",3.68
"174","2018-12-26",3.65
"175","2018-12-27",3.91
"176","2018-12-28",4.12
"177","2018-12-31",4.24
"178","2019-01-02",4.35
"179","2019-01-03",4.54
"180","2019-01-04",5.13
"181","2019-01-07",5.49
"182","2019-01-08",5.27
"183","2019-01-09",5.37
"184","2019-01-10",5.19
"185","2019-01-11",5.01
"186","2019-01-14",5.03
"187","2019-01-15",5.29
"188","2019-01-16",5.16
"189","2019-01-17",5.26
"190","2019-01-18",4.91
"191","2019-01-22",4.76
"192","2019-01-23",4.84
"193","2019-01-24",5.08
"194","2019-01-25",5.32
"195","2019-01-28",5.88
"196","2019-01-29",5.53
"197","2019-01-30",5.69
"198","2019-01-31",5.75
"199","2019-02-01",5.69
"200","2019-02-04",5.55
"201","2019-02-05",5.39
"202","2019-02-06",5.67
"203","2019-02-07",5.09
"204","2019-02-08",5.59
"205","2019-02-11",5.53
"206","2019-02-12",5.46
"207","2019-02-13",5.54
"208","2019-02-14",5.48
"209","2019-02-15",5.41
"210","2019-02-19",5.31
"211","2019-02-20",5.04
"212","2019-02-21",4.59
"213","2019-02-22",4.4
"214","2019-02-25",4.27
"215","2019-02-26",4.29
"216","2019-02-27",4.18
"217","2019-02-28",4.23
"218","2019-03-01",4.27
"219","2019-03-04",4.16
"220","2019-03-05",4.26
"221","2019-03-06",4.2
"222","2019-03-07",4.11
"223","2019-03-08",4.34
"224","2019-03-11",4.49
"225","2019-03-12",4.55
"226","2019-03-13",4.58
"227","2019-03-14",4.8
"228","2019-03-15",4.7
"229","2019-03-18",5.17
"230","2019-03-19",5.11
"231","2019-03-20",4.52
"232","2019-03-21",4.22
"233","2019-03-22",4.17
"234","2019-03-25",4.43
"235","2019-03-26",4.66
"236","2019-03-27",4.45
"237","2019-03-28",4.65
"238","2019-03-29",4.77
"239","2019-04-01",4.65
"240","2019-04-02",4.77
"241","2019-04-03",4.75
"242","2019-04-04",4.82
"243","2019-04-05",4.69
"244","2019-04-08",4.49
"245","2019-04-09",4.38
"246","2019-04-10",4.29
"247","2019-04-11",4.26
"248","2019-04-12",4.26
"249","2019-04-15",4.17
"250","2019-04-16",4.1
"251","2019-04-17",4
"252","2019-04-18",4.06
"253","2019-04-22",4
"254","2019-04-23",4.1
"255","2019-04-24",4.04
"256","2019-04-25",4.02
"257","2019-04-26",4.52
"258","2019-04-29",4.79
"259","2019-04-30",4.68
"260","2019-05-01",4.77
"261","2019-05-02",4.85
"262","2019-05-03",4.87
"263","2019-05-06",4.89
"264","2019-05-07",4.63
"265","2019-05-08",4.68
"266","2019-05-09",4.33
"267","2019-05-10",4.22
"268","2019-05-13",4.05
"269","2019-05-14",4.07
"270","2019-05-15",4.14
