"","date","NATR"
"1","2009-06-25",3.25
"2","2009-06-26",5.25
"3","2009-06-29",5.5
"4","2009-06-30",5.25
"5","2009-07-01",5.26
"6","2009-07-02",5.26
"7","2009-07-06",5.26
"8","2009-07-07",5.25
"9","2009-07-08",5.31
"10","2009-07-09",5.3
"11","2009-07-10",5.25
"12","2009-07-13",5.25
"13","2009-07-14",5.25
"14","2009-07-15",5.25
"15","2009-07-16",5.25
"16","2009-07-17",5.25
"17","2009-07-20",5.25
"18","2009-07-21",5.25
"19","2009-07-22",5.25
"20","2009-07-23",4.75
"21","2009-07-24",5.2
"22","2009-07-27",5.25
"23","2009-07-28",4.9
"24","2009-07-29",4.9
"25","2009-07-30",5
"26","2009-07-31",5
"27","2009-08-03",5
"28","2009-08-04",5.25
"29","2009-08-05",5.24
"30","2009-08-06",5.1
"31","2009-08-07",5.5
"32","2009-08-10",5.5
"33","2009-08-11",5.25
"34","2009-08-12",5.25
"35","2009-08-13",4.9
"36","2009-08-14",5.05
"37","2009-08-17",5.45
"38","2009-08-18",5.1
"39","2009-08-19",5.1
"40","2009-08-20",5.35
"41","2009-08-21",5.5
"42","2009-08-24",5.5
"43","2009-08-25",5.35
"44","2009-08-26",5.64
"45","2009-08-27",5.35
"46","2009-08-28",5.35
"47","2009-08-31",5.45
"48","2009-09-01",5.45
"49","2009-09-02",5.35
"50","2009-09-03",5.35
"51","2009-09-04",5.35
"52","2009-09-08",5.35
"53","2009-09-09",5.35
"54","2009-09-10",5.35
"55","2009-09-11",5.35
"56","2009-09-14",5.3
"57","2009-09-15",5.35
"58","2009-09-16",5.35
"59","2009-09-17",5.35
"60","2009-09-18",5.35
"61","2009-09-21",5.35
"62","2009-09-22",5.35
"63","2009-09-23",5.35
"64","2009-09-24",5.35
"65","2009-09-25",5.35
"66","2009-09-28",5.35
"67","2009-09-29",5.35
"68","2009-09-30",5.35
"69","2009-10-01",5.35
"70","2009-10-02",5.35
"71","2009-10-05",5.35
"72","2009-10-06",5.9
"73","2009-10-07",5.35
"74","2009-10-08",5.95
"75","2009-10-09",5.45
"76","2009-10-12",5.75
"77","2009-10-13",6.13
"78","2009-10-14",6.1
"79","2009-10-15",6
"80","2009-10-16",5.75
"81","2009-10-19",5.75
"82","2009-10-20",5.75
"83","2009-10-21",6.25
"84","2009-10-22",7.92
"85","2009-10-23",9.1
"86","2009-10-26",8.9
"87","2009-10-27",9.1
"88","2009-10-28",8.16
"89","2009-10-29",8.16
"90","2009-10-30",8.51
"91","2009-11-02",8.96
"92","2009-11-03",8.4
"93","2009-11-04",8.02
"94","2009-11-05",8.26
"95","2009-11-06",7.99
"96","2009-11-09",7.49
"97","2009-11-10",7.49
"98","2009-11-11",7.49
"99","2009-11-12",7.49
"100","2009-11-13",7.49
"101","2009-11-16",6.71
"102","2009-11-17",6.72
"103","2009-11-18",7.12
"104","2009-11-19",7.6
"105","2009-11-20",7.01
"106","2009-11-23",7.59
"107","2009-11-24",7.6
"108","2009-11-25",8
"109","2009-11-27",8
"110","2009-11-30",7.25
"111","2009-12-01",8.01
"112","2009-12-02",8
"113","2009-12-03",7.75
"114","2009-12-04",7.51
"115","2009-12-07",8
"116","2009-12-08",8
"117","2009-12-09",8.85
"118","2009-12-10",8.8
"119","2009-12-11",8.47
"120","2009-12-14",7.89
"121","2009-12-15",7.71
"122","2009-12-16",8.32
"123","2009-12-17",9.05
"124","2009-12-18",9.07
"125","2009-12-21",9.02
"126","2009-12-22",9.06
"127","2009-12-23",9.4
"128","2009-12-24",9.4
"129","2009-12-28",9.35
"130","2009-12-29",8.89
"131","2009-12-30",8.67
"132","2009-12-31",8.54
"133","2010-01-04",8.06
"134","2010-01-05",8.02
"135","2010-01-06",8.31
"136","2010-01-07",8.2
"137","2010-01-08",8.3
"138","2010-01-11",8.3
"139","2010-01-12",8.3
"140","2010-01-13",8.05
"141","2010-01-14",8.15
"142","2010-01-15",8
