"","date","BFC"
"1","2007-01-03",16.549999
"2","2007-01-04",16.549999
"3","2007-01-05",16.549999
"4","2007-01-08",16.549999
"5","2007-01-09",16.549999
"6","2007-01-10",16.549999
"7","2007-01-11",16.549999
"8","2007-01-12",16.549999
"9","2007-01-16",16.5
"10","2007-01-17",16.5
"11","2007-01-18",16.5
"12","2007-01-19",16.5
"13","2007-01-22",16.5
"14","2007-01-23",16.5
"15","2007-01-24",16.5
"16","2007-01-25",16.5
"17","2007-01-26",16.5
"18","2007-01-29",16.5
"19","2007-01-30",16.5
"20","2007-01-31",16.5
"21","2007-02-01",16.5
"22","2007-02-02",16.5
"23","2007-02-05",16.5
"24","2007-02-06",17
"25","2007-02-07",16.5
"26","2007-02-08",16.5
"27","2007-02-09",16.5
"28","2007-02-12",16.5
"29","2007-02-13",16.5
"30","2007-02-14",16.5
"31","2007-02-15",16.049999
"32","2007-02-16",16.75
"33","2007-02-20",16.75
"34","2007-02-21",16.75
"35","2007-02-22",16.75
"36","2007-02-23",16.25
"37","2007-02-26",16.25
"38","2007-02-27",16.25
"39","2007-02-28",16.049999
"40","2007-03-01",16.049999
"41","2007-03-02",16.1
"42","2007-03-05",16.1
"43","2007-03-06",16.049999
"44","2007-03-07",16
"45","2007-03-08",16
"46","2007-03-09",16
"47","2007-03-12",16.049999
"48","2007-03-13",16.049999
"49","2007-03-14",16
"50","2007-03-15",16
"51","2007-03-16",16
"52","2007-03-19",16
"53","2007-03-20",16
"54","2007-03-21",16.25
"55","2007-03-22",16.25
"56","2007-03-23",16.299999
"57","2007-03-26",16
"58","2007-03-27",15.75
"59","2007-03-28",15.75
"60","2007-03-29",15.95
"61","2007-03-30",15.8
"62","2007-04-02",15.8
"63","2007-04-03",15.8
"64","2007-04-04",16
"65","2007-04-05",16
"66","2007-04-09",16
"67","2007-04-10",15.9
"68","2007-04-11",15.9
"69","2007-04-12",16
"70","2007-04-13",16
"71","2007-04-16",16
"72","2007-04-17",16
"73","2007-04-18",16
"74","2007-04-19",16
"75","2007-04-20",15.95
"76","2007-04-23",15.95
"77","2007-04-24",15.95
"78","2007-04-25",15.95
"79","2007-04-26",15.95
"80","2007-04-27",16
"81","2007-04-30",16.25
"82","2007-05-01",16
"83","2007-05-02",15.9
"84","2007-05-03",15.9
"85","2007-05-04",15.9
"86","2007-05-07",15.9
"87","2007-05-08",15.95
"88","2007-05-09",15.95
"89","2007-05-10",15.95
"90","2007-05-11",15.95
"91","2007-05-14",15.95
"92","2007-05-15",15.95
"93","2007-05-16",15.95
"94","2007-05-17",16
"95","2007-05-18",16
"96","2007-05-21",16
"97","2007-05-22",16
"98","2007-05-23",16
"99","2007-05-24",16
"100","2007-05-25",16
"101","2007-05-29",16.25
"102","2007-05-30",16
"103","2007-05-31",16
"104","2007-06-01",16
"105","2007-06-04",16
"106","2007-06-05",15.9
"107","2007-06-06",15.9
"108","2007-06-07",15.9
"109","2007-06-08",15.9
"110","2007-06-11",16.25
"111","2007-06-12",16.25
"112","2007-06-13",15.5
"113","2007-06-14",15.5
"114","2007-06-15",16
"115","2007-06-18",16
"116","2007-06-19",15.9
"117","2007-06-20",16
"118","2007-06-21",16
"119","2007-06-22",16
"120","2007-06-25",16
"121","2007-06-26",15.95
"122","2007-06-27",15.95
"123","2007-06-28",15.75
"124","2007-06-29",15.9
"125","2007-07-02",15.9
"126","2007-07-03",15.65
"127","2007-07-05",15.7
"128","2007-07-06",15.7
"129","2007-07-09",15.6
"130","2007-07-10",15.6
"131","2007-07-11",15.6
"132","2007-07-12",15.6
"133","2007-07-13",15.6
"134","2007-07-16",15.6
"135","2007-07-17",15.6
"136","2007-07-18",15.6
"137","2007-07-19",15.75
"138","2007-07-20",15.75
"139","2007-07-23",15.4
"140","2007-07-24",15.4
"141","2007-07-25",15.4
"142","2007-07-26",15
"143","2007-07-27",13.1
"144","2007-07-30",13.1
"145","2007-07-31",15
"146","2007-08-01",15
"147","2007-08-02",15
