"","date","CODA"
"1","2013-02-12",1.512
"2","2013-02-13",1.512
"3","2013-02-14",1.4854
"4","2013-02-15",1.484
"5","2013-02-19",1.484
"6","2013-02-20",1.47
"7","2013-02-21",1.3972
"8","2013-02-22",1.2992
"9","2013-02-25",1.2894
"10","2013-02-26",1.2894
"11","2013-02-27",1.365
"12","2013-02-28",1.5078
"13","2013-03-01",1.6016
"14","2013-03-04",1.6016
"15","2013-03-05",1.6016
"16","2013-03-06",1.666
"17","2013-03-07",1.75
"18","2013-03-08",1.876
"19","2013-03-11",1.96
"20","2013-03-12",1.876
"21","2013-03-13",2.03
"22","2013-03-14",2.226
"23","2013-03-15",2.226
"24","2013-03-18",1.974
"25","2013-03-19",1.82
"26","2013-03-20",1.82
"27","2013-03-21",1.96
"28","2013-03-22",1.75
"29","2013-03-25",1.75
"30","2013-03-26",1.652
"31","2013-03-27",1.61
"32","2013-03-28",1.568
"33","2013-04-01",1.54
"34","2013-04-02",1.414
"35","2013-04-03",1.414
"36","2013-04-04",1.386
"37","2013-04-05",1.414
"38","2013-04-08",1.344
"39","2013-04-09",1.47
"40","2013-04-10",1.302
"41","2013-04-11",1.33
"42","2013-04-12",1.33
"43","2013-04-15",1.386
"44","2013-04-16",1.386
"45","2013-04-17",1.386
"46","2013-04-18",1.4
"47","2013-04-19",1.302
"48","2013-04-22",1.456
"49","2013-04-23",1.456
"50","2013-04-24",1.456
"51","2013-04-25",1.4
"52","2013-04-26",1.4
"53","2013-04-29",1.33
"54","2013-04-30",1.316
"55","2013-05-01",1.3146
"56","2013-05-02",1.26
"57","2013-05-03",1.302
"58","2013-05-06",1.302
"59","2013-05-07",1.302
"60","2013-05-08",1.19
"61","2013-05-09",1.204
"62","2013-05-10",1.26
"63","2013-05-13",1.4
"64","2013-05-14",1.435
"65","2013-05-15",1.2894
"66","2013-05-16",1.442
"67","2013-05-17",1.596
"68","2013-05-20",1.6786
"69","2013-05-21",1.414
"70","2013-05-22",1.526
"71","2013-05-23",1.526
"72","2013-05-24",1.526
"73","2013-05-28",1.5694
"74","2013-05-29",1.6114
"75","2013-05-30",1.764
"76","2013-05-31",1.764
"77","2013-06-03",1.5414
"78","2013-06-04",1.5414
"79","2013-06-05",1.82
"80","2013-06-06",1.61
"81","2013-06-07",1.82
"82","2013-06-10",1.82
"83","2013-06-11",1.68
"84","2013-06-12",1.68
"85","2013-06-13",1.68
"86","2013-06-14",1.6128
"87","2013-06-17",1.68
"88","2013-06-18",1.456
"89","2013-06-19",1.456
"90","2013-06-20",1.33
"91","2013-06-21",1.4
"92","2013-06-24",1.26
"93","2013-06-25",1.26
"94","2013-06-26",1.26
"95","2013-06-27",1.2614
"96","2013-06-28",1.2614
"97","2013-07-01",1.2614
"98","2013-07-02",1.19
"99","2013-07-03",1.26
"100","2013-07-05",1.26
"101","2013-07-08",1.26
"102","2013-07-09",1.26
"103","2013-07-10",1.26
"104","2013-07-11",1.274
"105","2013-07-12",1.302
"106","2013-07-15",1.3846
"107","2013-07-16",1.288
"108","2013-07-17",1.288
"109","2013-07-18",1.288
"110","2013-07-19",1.47
"111","2013-07-22",1.47
"112","2013-07-23",1.2768
"113","2013-07-24",1.2768
"114","2013-07-25",1.2768
"115","2013-07-26",1.2768
"116","2013-07-29",1.2768
"117","2013-07-30",1.2768
"118","2013-07-31",1.2768
"119","2013-08-01",1.26
"120","2013-08-02",1.26
"121","2013-08-05",1.218
"122","2013-08-06",1.358
"123","2013-08-07",1.358
"124","2013-08-08",1.148
"125","2013-08-09",1.148
"126","2013-08-12",1.148
"127","2013-08-13",1.19
"128","2013-08-14",1.19
"129","2013-08-15",1.19
"130","2013-08-16",1.19
"131","2013-08-19",1.19
"132","2013-08-20",1.19
"133","2013-08-21",1.19
"134","2013-08-22",1.26
"135","2013-08-23",1.288
"136","2013-08-26",1.19
"137","2013-08-27",1.232
"138","2013-08-28",1.232
"139","2013-08-29",1.232
"140","2013-08-30",1.19
"141","2013-09-03",1.19
"142","2013-09-04",1.19
"143","2013-09-05",1.12
"144","2013-09-06",0.9954
"145","2013-09-09",1.008
"146","2013-09-10",1.0514
"147","2013-09-11",1.106
"148","2013-09-12",1.246
"149","2013-09-13",1.246
"150","2013-09-16",1.064
"151","2013-09-17",1.61
"152","2013-09-18",1.61
"153","2013-09-19",1.4
"154","2013-09-20",1.33
"155","2013-09-23",1.4
"156","2013-09-24",1.4
"157","2013-09-25",1.4
"158","2013-09-26",1.4
"159","2013-09-27",1.4
"160","2013-09-30",1.4
"161","2013-10-01",1.4
"162","2013-10-02",1.47
"163","2013-10-03",1.4
"164","2013-10-04",1.4
"165","2013-10-07",1.4462
"166","2013-10-08",1.47
"167","2013-10-09",1.47
"168","2013-10-10",1.5232
"169","2013-10-11",1.47
"170","2013-10-14",1.47
"171","2013-10-15",1.47
"172","2013-10-16",1.47
"173","2013-10-17",1.33
"174","2013-10-18",1.33
"175","2013-10-21",1.47
"176","2013-10-22",1.47
"177","2013-10-23",1.47
"178","2013-10-24",1.47
"179","2013-10-25",1.428
"180","2013-10-28",1.428
"181","2013-10-29",1.428
"182","2013-10-30",1.428
"183","2013-10-31",1.428
"184","2013-11-01",1.428
"185","2013-11-04",1.4
"186","2013-11-05",1.372
"187","2013-11-06",1.4
"188","2013-11-07",1.4
