"","date","ANH"
"1","2007-01-03",9.48
"2","2007-01-04",9.41
"3","2007-01-05",9.08
"4","2007-01-08",9.09
"5","2007-01-09",9.04
"6","2007-01-10",9.16
"7","2007-01-11",9.2
"8","2007-01-12",9.33
"9","2007-01-16",9.26
"10","2007-01-17",9.2
"11","2007-01-18",9.06
"12","2007-01-19",9.21
"13","2007-01-22",8.97
"14","2007-01-23",8.81
"15","2007-01-24",8.96
"16","2007-01-25",8.91
"17","2007-01-26",8.98
"18","2007-01-29",9.1
"19","2007-01-30",9.31
"20","2007-01-31",9.18
"21","2007-02-01",9.24
"22","2007-02-02",9.24
"23","2007-02-05",9.15
"24","2007-02-06",9.24
"25","2007-02-07",9.1
"26","2007-02-08",8.95
"27","2007-02-09",8.87
"28","2007-02-12",8.86
"29","2007-02-13",8.96
"30","2007-02-14",9.07
"31","2007-02-15",8.95
"32","2007-02-16",8.95
"33","2007-02-20",8.86
"34","2007-02-21",9
"35","2007-02-22",8.86
"36","2007-02-23",8.8
"37","2007-02-26",8.83
"38","2007-02-27",8.94
"39","2007-02-28",8.89
"40","2007-03-01",9
"41","2007-03-02",8.81
"42","2007-03-05",8.5
"43","2007-03-06",8.89
"44","2007-03-07",8.78
"45","2007-03-08",8.7
"46","2007-03-09",8.63
"47","2007-03-12",8.52
"48","2007-03-13",8.39
"49","2007-03-14",8.56
"50","2007-03-15",8.66
"51","2007-03-16",8.47
"52","2007-03-19",8.61
"53","2007-03-20",8.67
"54","2007-03-21",9.25
"55","2007-03-22",8.94
"56","2007-03-23",8.99
"57","2007-03-26",9.3
"58","2007-03-27",9.39
"59","2007-03-28",9.68
"60","2007-03-29",9.65
"61","2007-03-30",9.77
"62","2007-04-02",9.73
"63","2007-04-03",9.7
"64","2007-04-04",9.72
"65","2007-04-05",9.72
"66","2007-04-09",9.62
"67","2007-04-10",9.56
"68","2007-04-11",9.47
"69","2007-04-12",9.54
"70","2007-04-13",9.64
"71","2007-04-16",9.78
"72","2007-04-17",9.81
"73","2007-04-18",9.65
"74","2007-04-19",9.66
"75","2007-04-20",9.94
"76","2007-04-23",9.76
"77","2007-04-24",9.78
"78","2007-04-25",9.83
"79","2007-04-26",9.81
"80","2007-04-27",9.74
"81","2007-04-30",9.6
"82","2007-05-01",9.69
"83","2007-05-02",9.9
"84","2007-05-03",9.78
"85","2007-05-04",9.84
"86","2007-05-07",9.77
"87","2007-05-08",9.99
"88","2007-05-09",10.03
"89","2007-05-10",9.95
"90","2007-05-11",10
"91","2007-05-14",9.84
"92","2007-05-15",9.59
"93","2007-05-16",9.74
"94","2007-05-17",9.66
"95","2007-05-18",9.73
"96","2007-05-21",9.8
"97","2007-05-22",9.77
"98","2007-05-23",9.56
"99","2007-05-24",9.13
"100","2007-05-25",9.29
"101","2007-05-29",9.39
"102","2007-05-30",9.25
"103","2007-05-31",9.33
"104","2007-06-01",9.24
"105","2007-06-04",9.26
"106","2007-06-05",9.18
"107","2007-06-06",9.12
"108","2007-06-07",9.04
"109","2007-06-08",9.16
"110","2007-06-11",9.15
"111","2007-06-12",8.99
"112","2007-06-13",9.06
"113","2007-06-14",9.09
"114","2007-06-15",9.11
"115","2007-06-18",9.07
"116","2007-06-19",9.07
"117","2007-06-20",8.96
"118","2007-06-21",9.02
"119","2007-06-22",9.07
"120","2007-06-25",9
"121","2007-06-26",9.13
