"","date","FF"
"1","2011-03-23",10.13
"2","2011-03-24",10.3
"3","2011-03-25",10.35
"4","2011-03-28",10.25
"5","2011-03-29",10.25
"6","2011-03-30",10.75
"7","2011-03-31",10.75
"8","2011-04-01",11
"9","2011-04-04",11.18
"10","2011-04-05",11.17
"11","2011-04-06",11.24
"12","2011-04-07",11.4
"13","2011-04-08",11.56
"14","2011-04-11",12.61
"15","2011-04-12",12.63
"16","2011-04-13",12.72
"17","2011-04-14",12.73
"18","2011-04-15",12.43
"19","2011-04-18",12.04
"20","2011-04-19",12.46
"21","2011-04-20",12.63
"22","2011-04-21",12.88
"23","2011-04-25",13
"24","2011-04-26",13.04
"25","2011-04-27",13.19
"26","2011-04-28",12.95
"27","2011-04-29",12.69
"28","2011-05-02",12.58
"29","2011-05-03",12.59
"30","2011-05-04",12.68
"31","2011-05-05",12.86
"32","2011-05-06",12.77
"33","2011-05-09",12.58
"34","2011-05-10",12.75
"35","2011-05-11",12.81
"36","2011-05-12",12.9
"37","2011-05-13",12.88
"38","2011-05-16",12.95
"39","2011-05-17",12.94
"40","2011-05-18",13.02
"41","2011-05-19",13.21
"42","2011-05-20",12.97
"43","2011-05-23",13.16
"44","2011-05-24",13.2
"45","2011-05-25",13.28
"46","2011-05-26",13.35
"47","2011-05-27",13.35
"48","2011-05-31",13.63
"49","2011-06-01",13.65
"50","2011-06-02",13.69
"51","2011-06-03",13.57
"52","2011-06-06",13.19
"53","2011-06-07",12.99
"54","2011-06-08",13.09
"55","2011-06-09",12.91
"56","2011-06-10",12.62
"57","2011-06-13",12.9
"58","2011-06-14",12.25
"59","2011-06-15",12.5
"60","2011-06-16",12.48
"61","2011-06-17",12.47
"62","2011-06-20",12.65
"63","2011-06-21",12.49
"64","2011-06-22",12.4
"65","2011-06-23",12.25
"66","2011-06-24",11.97
"67","2011-06-27",12.1
"68","2011-06-28",12.24
"69","2011-06-29",12
"70","2011-06-30",12.11
"71","2011-07-01",12.05
"72","2011-07-05",12.05
"73","2011-07-06",12.12
"74","2011-07-07",12.52
"75","2011-07-08",12.49
"76","2011-07-11",12.52
"77","2011-07-12",12.7
"78","2011-07-13",12.74
"79","2011-07-14",12.58
"80","2011-07-15",12.36
"81","2011-07-18",12.34
"82","2011-07-19",12.47
"83","2011-07-20",12.3
"84","2011-07-21",12.58
"85","2011-07-22",12.5
"86","2011-07-25",12.34
"87","2011-07-26",12.14
"88","2011-07-27",12.04
"89","2011-07-28",12.17
"90","2011-07-29",12.26
"91","2011-08-01",12.28
"92","2011-08-02",12.02
"93","2011-08-03",12.22
"94","2011-08-04",11.98
"95","2011-08-05",12.17
"96","2011-08-08",11.7
"97","2011-08-09",11.69
"98","2011-08-10",10.6
"99","2011-08-11",10.56
"100","2011-08-12",11.04
"101","2011-08-15",11.04
"102","2011-08-16",10.62
"103","2011-08-17",11.09
"104","2011-08-18",10.08
"105","2011-08-19",10.3
"106","2011-08-22",10.12
"107","2011-08-23",10.72
"108","2011-08-24",10.97
"109","2011-08-25",10.45
"110","2011-08-26",10.67
"111","2011-08-29",11.22
"112","2011-08-30",11.42
"113","2011-08-31",11.29
"114","2011-09-01",10.97
"115","2011-09-02",9.94
"116","2011-09-06",10.14
"117","2011-09-07",10.71
"118","2011-09-08",10.7
"119","2011-09-09",10.43
"120","2011-09-12",10.35
"121","2011-09-13",10.56
"122","2011-09-14",10.8
"123","2011-09-15",10.9
"124","2011-09-16",11.09
"125","2011-09-19",10.86
"126","2011-09-20",10.67
"127","2011-09-21",10.21
"128","2011-09-22",9.91
"129","2011-09-23",10.82
"130","2011-09-26",11.08
"131","2011-09-27",11.38
"132","2011-09-28",10.74
"133","2011-09-29",10.76
"134","2011-09-30",10.4
"135","2011-10-03",9.65
"136","2011-10-04",10.58
