"","date","PLUG"
"1","2007-01-03",38.799999
"2","2007-01-04",39.200001
"3","2007-01-05",38.099998
"4","2007-01-08",37.5
"5","2007-01-09",36.400002
"6","2007-01-10",36.200001
"7","2007-01-11",35.099998
"8","2007-01-12",36.799999
"9","2007-01-16",35.900002
"10","2007-01-17",35.700001
"11","2007-01-18",35.099998
"12","2007-01-19",35.700001
"13","2007-01-22",35.400002
"14","2007-01-23",35.799999
"15","2007-01-24",34.900002
"16","2007-01-25",34.200001
"17","2007-01-26",35.200001
"18","2007-01-29",36.700001
"19","2007-01-30",36.099998
"20","2007-01-31",36
"21","2007-02-01",36.900002
"22","2007-02-02",37.299999
"23","2007-02-05",39.099998
"24","2007-02-06",38.299999
"25","2007-02-07",38.299999
"26","2007-02-08",37.799999
"27","2007-02-09",37.200001
"28","2007-02-12",36.900002
"29","2007-02-13",38.099998
"30","2007-02-14",37.5
"31","2007-02-15",36.700001
"32","2007-02-16",37.700001
"33","2007-02-20",38.299999
"34","2007-02-21",39.400002
"35","2007-02-22",39.599998
"36","2007-02-23",37.700001
"37","2007-02-26",37.599998
"38","2007-02-27",35
"39","2007-02-28",34.799999
"40","2007-03-01",31
"41","2007-03-02",30
"42","2007-03-05",28.9
"43","2007-03-06",28.6
"44","2007-03-07",29.799999
"45","2007-03-08",29.4
"46","2007-03-09",30
"47","2007-03-12",29.4
"48","2007-03-13",29.200001
"49","2007-03-14",29
"50","2007-03-15",28.6
"51","2007-03-16",30
"52","2007-03-19",29.6
"53","2007-03-20",30.1
"54","2007-03-21",30.4
"55","2007-03-22",31.299999
"56","2007-03-23",31.299999
"57","2007-03-26",30.700001
"58","2007-03-27",32.099998
"59","2007-03-28",31.1
"60","2007-03-29",32
"61","2007-03-30",31.6
"62","2007-04-02",31.6
"63","2007-04-03",32.400002
"64","2007-04-04",32.400002
"65","2007-04-05",33
"66","2007-04-09",32.200001
"67","2007-04-10",33.299999
"68","2007-04-11",32
"69","2007-04-12",33
"70","2007-04-13",32.400002
"71","2007-04-16",33.700001
"72","2007-04-17",32.599998
"73","2007-04-18",32.099998
"74","2007-04-19",32
"75","2007-04-20",32.599998
"76","2007-04-23",33
"77","2007-04-24",32.299999
"78","2007-04-25",32.200001
"79","2007-04-26",31.200001
"80","2007-04-27",33
"81","2007-04-30",31.6
"82","2007-05-01",32
"83","2007-05-02",32.599998
"84","2007-05-03",32.5
"85","2007-05-04",32.599998
"86","2007-05-07",34.900002
"87","2007-05-08",33.900002
"88","2007-05-09",33.5
"89","2007-05-10",31.700001
"90","2007-05-11",32.599998
"91","2007-05-14",32.700001
"92","2007-05-15",32
"93","2007-05-16",30.700001
"94","2007-05-17",29.799999
"95","2007-05-18",30.200001
