"","date","DXC"
"213","2007-11-05",27.429081
"214","2007-11-06",27.771883
"215","2007-11-07",26.743479
"216","2007-11-08",26.693796
"217","2007-11-09",26.410612
"218","2007-11-12",25.958513
"219","2007-11-13",26.649084
"220","2007-11-14",26.251633
"221","2007-11-15",25.779659
"222","2007-11-16",25.834309
"223","2007-11-19",25.595839
"224","2007-11-20",25.754818
"225","2007-11-21",25.402081
"226","2007-11-23",25.496475
"227","2007-11-26",25.02947
"228","2007-11-27",25.511381
"229","2007-11-28",25.938641
"230","2007-11-29",26.137365
"231","2007-11-30",26.241695
"232","2007-12-03",26.062843
"233","2007-12-04",25.705137
"234","2007-12-05",26.440422
"235","2007-12-06",26.649084
"236","2007-12-07",26.644115
"237","2007-12-10",26.733541
"238","2007-12-11",26.167173
"239","2007-12-12",26.12743
"240","2007-12-13",26.09762
"241","2007-12-14",25.600807
"242","2007-12-17",25.253036
"243","2007-12-18",25.541189
"244","2007-12-19",25.16361
"245","2007-12-20",25.228197
"246","2007-12-21",25.764755
"247","2007-12-24",25.893927
"248","2007-12-26",25.143738
"249","2007-12-27",24.646925
"250","2007-12-28",24.761192
"251","2007-12-31",24.57737
"252","2008-01-02",23.573807
"253","2008-01-03",22.451008
"254","2008-01-04",21.879673
"255","2008-01-07",21.740564
"256","2008-01-08",20.935726
"257","2008-01-09",20.180571
"258","2008-01-10",20.592926
"259","2008-01-11",20.433945
"260","2008-01-14",20.20541
"261","2008-01-15",19.430382
"262","2008-01-16",19.499935
"263","2008-01-17",19.316114
"264","2008-01-18",19.534712
"265","2008-01-22",19.181974
"266","2008-01-23",19.122356
"267","2008-01-24",19.475094
"268","2008-01-25",19.69866
"269","2008-01-28",19.817896
"270","2008-01-29",20.20541
"271","2008-01-30",20.185537
"272","2008-01-31",21.025152
"273","2008-02-01",20.935726
"274","2008-02-04",20.910887
"275","2008-02-05",22.172792
"276","2008-02-06",21.497126
"277","2008-02-07",21.64617
"278","2008-02-08",21.695852
"279","2008-02-11",22.073429
"280","2008-02-12",21.949226
"281","2008-02-13",22.311901
"282","2008-02-14",22.088335
"283","2008-02-15",22.311901
"284","2008-02-19",22.321836
"285","2008-02-20",22.565275
"286","2008-02-21",22.222473
"287","2008-02-22",22.451008
"288","2008-02-25",22.704384
"289","2008-02-26",22.863363
"290","2008-02-27",23.126675
"291","2008-02-28",22.177761
"292","2008-02-29",21.586552
"293","2008-03-03",21.477253
"294","2008-03-04",21.700819
"295","2008-03-05",21.715725
"296","2008-03-06",21.338146
"297","2008-03-07",20.622734
"298","2008-03-10",20.493563
"299","2008-03-11",20.895981
"300","2008-03-12",20.74197
"301","2008-03-13",20.36936
"302","2008-03-14",20.433945
"303","2008-03-17",19.802992
"304","2008-03-18",20.289869
"305","2008-03-19",20.031527
"306","2008-03-20",20.274965
"307","2008-03-24",21.089739
"308","2008-03-25",20.662479
"309","2008-03-26",20.513435
"310","2008-03-27",20.255093
"311","2008-03-28",20.269997
"312","2008-03-31",20.265028
"313","2008-04-01",20.945663
"314","2008-04-02",21.010248
"315","2008-04-03",20.707191
"316","2008-04-04",20.503498
"317","2008-04-07",20.617765
"318","2008-04-08",20.791651
"319","2008-04-09",20.657511
"320","2008-04-10",20.796619
"321","2008-04-11",20.503498
"322","2008-04-14",20.622734
"323","2008-04-15",20.642607
"324","2008-04-16",21.11458
"325","2008-04-17",21.144388
"326","2008-04-18",21.919418
"327","2008-04-21",21.730629
"328","2008-04-22",21.040058
"329","2008-04-23",21.507063
"330","2008-04-24",22.003876
"331","2008-04-25",21.984003
"332","2008-04-28",21.944258
"333","2008-04-29",22.023748
"334","2008-04-30",21.656107
"335","2008-05-01",22.451008
"336","2008-05-02",22.341709
"337","2008-05-05",22.346678
"338","2008-05-06",22.351646
"339","2008-05-07",21.99394
"340","2008-05-08",21.765406
"341","2008-05-09",21.631266
"342","2008-05-12",23.568838
"343","2008-05-13",22.868332
"344","2008-05-14",23.370113
"345","2008-05-15",23.693043
"346","2008-05-16",23.578775
"347","2008-05-19",23.717882
"348","2008-05-20",23.419794
"349","2008-05-21",23.360178
"350","2008-05-22",23.941448
"351","2008-05-23",23.797373
"352","2008-05-27",24.15011
"353","2008-05-28",24.105398
"354","2008-05-29",24.41839
"355","2008-05-30",24.41839
"356","2008-06-02",23.876863
"357","2008-06-03",24.140175
"358","2008-06-04",23.896736
"359","2008-06-05",24.269346
"360","2008-06-06",24.304123
"361","2008-06-09",23.737755
"362","2008-06-10",23.702978
"363","2008-06-11",23.529095
"364","2008-06-12",23.206165
"365","2008-06-13",23.747692
"366","2008-06-16",23.663233
"367","2008-06-17",23.668201
"368","2008-06-18",23.722851
"369","2008-06-19",24.055716
"370","2008-06-20",23.737755
"371","2008-06-23",23.787437
"372","2008-06-24",23.489349
"373","2008-06-25",23.921577
"374","2008-06-26",23.355209
"375","2008-06-27",23.275719
"376","2008-06-30",23.27075
"377","2008-07-01",23.449604
"378","2008-07-02",23.534061
"379","2008-07-03",23.80731
"380","2008-07-07",23.822214
"381","2008-07-08",24.160048
"382","2008-07-09",23.7775
"383","2008-07-10",23.678139
"384","2008-07-11",23.042217
"385","2008-07-14",22.053556
"386","2008-07-15",21.988972
"387","2008-07-16",22.510626
"388","2008-07-17",23.047184
"389","2008-07-18",22.947823
"390","2008-07-21",22.833555
"391","2008-07-22",23.623487
"392","2008-07-23",24.264378
"393","2008-07-24",23.16642
"394","2008-07-25",23.27075
"395","2008-07-28",22.813683
"396","2008-07-29",23.429731
"397","2008-07-30",23.91164
"398","2008-07-31",23.534061
"399","2008-08-01",23.305527
"400","2008-08-04",23.16642
"401","2008-08-05",23.742723
"402","2008-08-06",22.729223
"403","2008-08-07",22.629862
"404","2008-08-08",23.111771
"405","2008-08-11",22.739161
"406","2008-08-12",23.037249
"407","2008-08-13",23.698009
"408","2008-08-14",24.353804
"409","2008-08-15",24.080557
"410","2008-08-18",23.653297
"411","2008-08-19",23.126675
"412","2008-08-20",23.191261
"413","2008-08-21",23.484381
"414","2008-08-22",23.817245
"415","2008-08-25",23.499285
"416","2008-08-26",23.414827
"417","2008-08-27",23.568838
"418","2008-08-28",23.931513
"419","2008-08-29",23.365145
"420","2008-09-02",22.808714
"421","2008-09-03",22.605021
"422","2008-09-04",22.01878
"423","2008-09-05",21.969099
"424","2008-09-08",22.585148
"425","2008-09-09",21.919418
"426","2008-09-10",22.128078
"427","2008-09-11",22.282091
"428","2008-09-12",22.411263
"429","2008-09-15",21.760437
"430","2008-09-16",21.685915
"431","2008-09-17",20.448849
"432","2008-09-18",21.174196
"433","2008-09-19",21.626297
"434","2008-09-22",20.732033
"435","2008-09-23",20.493563
"436","2008-09-24",20.652542
"437","2008-09-25",20.955599
"438","2008-09-26",20.970503
"439","2008-09-29",19.653948
"440","2008-09-30",19.96694
"441","2008-10-01",19.882483
"442","2008-10-02",19.206816
"443","2008-10-03",18.337391
"444","2008-10-06",17.289114
"445","2008-10-07",16.524021
"446","2008-10-08",16.166315
"447","2008-10-09",15.242243
"448","2008-10-10",14.700715
"449","2008-10-13",16.131538
"450","2008-10-14",16.673065
"451","2008-10-15",15.580075
"452","2008-10-16",16.161348
"453","2008-10-17",15.704279
"454","2008-10-20",16.404787
