"","date","PULM"
"238","2015-03-02",98.25
"239","2015-03-03",96.75
"240","2015-03-04",94.75
"241","2015-03-05",98.5
"242","2015-03-06",101.875
"243","2015-03-09",99.75
"244","2015-03-10",95
"245","2015-03-11",91.75
"246","2015-03-12",95
"247","2015-03-13",97.75
"248","2015-03-16",108.25
"249","2015-03-17",106
"250","2015-03-18",100
"251","2015-03-19",100.5
"252","2015-03-20",102.5
"253","2015-03-23",105.75
"254","2015-03-24",106
"255","2015-03-25",90.75
"256","2015-03-26",94.25
"257","2015-03-27",85.25
"258","2015-03-30",85
"259","2015-03-31",86
"260","2015-04-01",83.75
"261","2015-04-02",86.25
"262","2015-04-06",80.300003
"263","2015-04-07",80
"264","2015-04-08",82.224998
"265","2015-04-09",82.25
"266","2015-04-10",90
"267","2015-04-13",83.75
"268","2015-04-14",80.75
"269","2015-04-15",87.5
"270","2015-04-16",93.5
"271","2015-04-17",90
"272","2015-04-20",94.75
"273","2015-04-21",98.5
"274","2015-04-22",91.75
"275","2015-04-23",92.25
"276","2015-04-24",92.25
"277","2015-04-27",92
"278","2015-04-28",86.5
"279","2015-04-29",87.5
"280","2015-04-30",83.75
"281","2015-05-01",87.5
"282","2015-05-04",93.25
"283","2015-05-05",100
"284","2015-05-06",97
"285","2015-05-07",90
"286","2015-05-08",91.25
"287","2015-05-11",96.224998
"288","2015-05-12",92.5
"289","2015-05-13",103
"290","2015-05-14",100.5
"291","2015-05-15",101
"292","2015-05-18",96.25
"293","2015-05-19",93.25
"294","2015-05-20",96.25
"295","2015-05-21",99.75
"296","2015-05-22",100.25
"297","2015-05-26",101.75
"298","2015-05-27",92.5
"299","2015-05-28",100.75
"300","2015-05-29",99.25
"301","2015-06-01",100
"302","2015-06-02",101.25
"303","2015-06-03",95.25
"304","2015-06-04",105.25
"305","2015-06-05",105
"306","2015-06-08",108.650002
"307","2015-06-09",103.5
"308","2015-06-10",102
"309","2015-06-11",97
"310","2015-06-12",101.25
"311","2015-06-15",126.5
"312","2015-06-16",118
"313","2015-06-17",119.5
"314","2015-06-18",112.099998
"315","2015-06-19",103.5
"316","2015-06-22",108.599998
"317","2015-06-23",108.699997
"318","2015-06-24",110
"319","2015-06-25",110
"320","2015-06-26",97.5
"321","2015-06-29",93.599998
"322","2015-06-30",96
"323","2015-07-01",91.5
"324","2015-07-02",83.400002
"325","2015-07-06",90.5
"326","2015-07-07",88.199997
"327","2015-07-08",84.099998
"328","2015-07-09",80.5
"329","2015-07-10",84
"330","2015-07-13",84.400002
"331","2015-07-14",85.900002
"332","2015-07-15",81.699997
"333","2015-07-16",82.199997
"334","2015-07-17",77.5
"335","2015-07-20",72
"336","2015-07-21",68.300003
"337","2015-07-22",65.800003
"338","2015-07-23",59.799999
"339","2015-07-24",58.400002
"340","2015-07-27",64
"341","2015-07-28",64.599998
"342","2015-07-29",66
"343","2015-07-30",65.400002
"344","2015-07-31",68
"345","2015-08-03",66.099998
"346","2015-08-04",68.300003
"347","2015-08-05",68
"348","2015-08-06",67.5
"349","2015-08-07",67.900002
"350","2015-08-10",65.099998
"351","2015-08-11",62.23
"352","2015-08-12",59.5
"353","2015-08-13",59.099998
"354","2015-08-14",57.900002
"355","2015-08-17",58.099998
"356","2015-08-18",63
"357","2015-08-19",62.400002
"358","2015-08-20",60.599998
"359","2015-08-21",57.599998
"360","2015-08-24",43.029999
"361","2015-08-25",49.599998
"362","2015-08-26",50
"363","2015-08-27",55
"364","2015-08-28",56.299999
"365","2015-08-31",56.900002
"366","2015-09-01",56.900002
"367","2015-09-02",53.200001
"368","2015-09-03",55.5
"369","2015-09-04",55
"370","2015-09-08",55.099998
"371","2015-09-09",57
"372","2015-09-10",57
"373","2015-09-11",54.900002
"374","2015-09-14",55
"375","2015-09-15",57.400002
"376","2015-09-16",55.799999
"377","2015-09-17",50.900002
"378","2015-09-18",48.5
"379","2015-09-21",50.900002
"380","2015-09-22",50.099998
"381","2015-09-23",52.099998
"382","2015-09-24",51.5
"383","2015-09-25",47.900002
"384","2015-09-28",49.099998
"385","2015-09-29",45.299999
"386","2015-09-30",49.099998
"387","2015-10-01",49.799999
"388","2015-10-02",48.700001
"389","2015-10-05",50.299999
"390","2015-10-06",48
"391","2015-10-07",49.5
"392","2015-10-08",49
"393","2015-10-09",47.5
"394","2015-10-12",45.200001
"395","2015-10-13",42.200001
"396","2015-10-14",43.599998
"397","2015-10-15",45
"398","2015-10-16",49
"399","2015-10-19",48
"400","2015-10-20",47.5
"401","2015-10-21",45.799999
"402","2015-10-22",42.380001
"403","2015-10-23",44.700001
"404","2015-10-26",38.599998
"405","2015-10-27",34.700001
"406","2015-10-28",34.099998
"407","2015-10-29",36.599998
"408","2015-10-30",37
"409","2015-11-02",40
"410","2015-11-03",41
"411","2015-11-04",39.060001
"412","2015-11-05",41
"413","2015-11-06",42.5
"414","2015-11-09",40
"415","2015-11-10",37
"416","2015-11-11",46.299999
"417","2015-11-12",46
"418","2015-11-13",47
"419","2015-11-16",50
"420","2015-11-17",52
"421","2015-11-18",50
"422","2015-11-19",53.700001
"423","2015-11-20",53.900002
"424","2015-11-23",52.599998
"425","2015-11-24",49.560001
"426","2015-11-25",54
"427","2015-11-27",50.5
"428","2015-11-30",50.400002
"429","2015-12-01",50.099998
"430","2015-12-02",50.5
"431","2015-12-03",50
"432","2015-12-04",50.900002
"433","2015-12-07",46.5
"434","2015-12-08",47.5
"435","2015-12-09",46.5
"436","2015-12-10",48
"437","2015-12-11",46
"438","2015-12-14",38.200001
"439","2015-12-15",37.5
"440","2015-12-16",40.099998
"441","2015-12-17",43.299999
"442","2015-12-18",47.200001
"443","2015-12-21",45
"444","2015-12-22",43.599998
"445","2015-12-23",45
"446","2015-12-24",45.41
"447","2015-12-28",39.299999
"448","2015-12-29",37
"449","2015-12-30",39.549999
"450","2015-12-31",42
"451","2016-01-04",38.299999
"452","2016-01-05",42.5
"453","2016-01-06",40
"454","2016-01-07",35.5
"455","2016-01-08",38.48
"456","2016-01-11",38.400002
"457","2016-01-12",36.98
"458","2016-01-13",34
"459","2016-01-14",34.200001
