"","date","ACAMU"
"1","2019-02-22",10
"2","2019-02-25",10
"3","2019-02-26",10
"4","2019-02-27",10
"5","2019-02-28",10
"6","2019-03-01",10
"7","2019-03-04",10
"8","2019-03-05",10
"9","2019-03-06",9.97
"10","2019-03-07",9.97
"11","2019-03-08",10
"12","2019-03-11",9.98
"13","2019-03-12",10
"14","2019-03-13",10
"15","2019-03-14",10
"16","2019-03-15",9.96
"17","2019-03-18",10
"18","2019-03-19",9.9843
"19","2019-03-20",9.98
"20","2019-03-21",9.98
"21","2019-03-22",9.96
"22","2019-03-25",10
"23","2019-03-26",10
"24","2019-03-27",10
"25","2019-03-28",10
"26","2019-03-29",10
"27","2019-04-01",10.02
"28","2019-04-02",10.02
"29","2019-04-03",10.02
"30","2019-04-04",10.01
"31","2019-04-05",10.01
"32","2019-04-08",10.01
"33","2019-04-09",10.01
"34","2019-04-10",10.01
"35","2019-04-11",10.006
"36","2019-04-12",10.0085
"37","2019-04-15",10
"38","2019-04-16",10
"39","2019-04-17",10
"40","2019-04-18",10
"41","2019-04-22",10
"42","2019-04-23",9.99
"43","2019-04-24",9.99
"44","2019-04-25",10
"45","2019-04-26",10
"46","2019-04-29",10
"47","2019-04-30",9.9745
"48","2019-05-01",9.9745
"49","2019-05-02",10
"50","2019-05-03",10
"51","2019-05-06",10.02
"52","2019-05-07",10.02
"53","2019-05-08",10.01
"54","2019-05-09",10.02
"55","2019-05-10",10
"56","2019-05-13",10
"57","2019-05-14",10
"58","2019-05-15",10
"59","2019-05-16",10
"60","2019-05-17",10
"61","2019-05-20",10
"62","2019-05-21",10
"63","2019-05-22",10
"64","2019-05-23",10
"65","2019-05-24",10
"66","2019-05-28",10
"67","2019-05-29",10
"68","2019-05-30",10
"69","2019-05-31",10
"70","2019-06-03",10
"71","2019-06-04",10
"72","2019-06-05",10.0001
"73","2019-06-06",10.01
"74","2019-06-07",10.01
"75","2019-06-10",10.01
"76","2019-06-11",10.03
"77","2019-06-12",10.03
"78","2019-06-13",10
"79","2019-06-14",9.99
"80","2019-06-17",9.99
"81","2019-06-18",9.98
"82","2019-06-19",10
"83","2019-06-20",10.01
"84","2019-06-21",10.01
"85","2019-06-24",10
"86","2019-06-25",10
"87","2019-06-26",10
"88","2019-06-27",10
"89","2019-06-28",9.99
"90","2019-07-01",9.98
"91","2019-07-02",9.98
"92","2019-07-03",9.98
"93","2019-07-05",9.98
"94","2019-07-08",9.98
"95","2019-07-09",10
"96","2019-07-10",10.04
"97","2019-07-11",10.04
"98","2019-07-12",10.05
"99","2019-07-15",10.05
"100","2019-07-16",10.01
"101","2019-07-17",10.01
"102","2019-07-18",10
"103","2019-07-19",10
"104","2019-07-22",10
"105","2019-07-23",10
"106","2019-07-24",10
"107","2019-07-25",10.02
"108","2019-07-26",10.02
"109","2019-07-29",10.02
"110","2019-07-30",10
"111","2019-07-31",10.01
"112","2019-08-01",10.01
"113","2019-08-02",10.01
"114","2019-08-05",10.01
"115","2019-08-06",10.01
"116","2019-08-07",10.02
"117","2019-08-08",10.02
"118","2019-08-09",10
"119","2019-08-12",10
"120","2019-08-13",10.05
"121","2019-08-14",10.05
"122","2019-08-15",10.05
"123","2019-08-16",10.05
"124","2019-08-19",10.04
