"","date","DRNA"
"1","2014-01-30",46
"2","2014-01-31",41.119999
"3","2014-02-03",32.66
"4","2014-02-04",30.360001
"5","2014-02-05",33.549999
"6","2014-02-06",33.98
"7","2014-02-07",35.34
"8","2014-02-10",36.360001
"9","2014-02-11",38.470001
"10","2014-02-12",39.040001
"11","2014-02-13",39.25
"12","2014-02-14",38.959999
"13","2014-02-18",38.580002
"14","2014-02-19",39.25
"15","2014-02-20",39.330002
"16","2014-02-21",39.5
"17","2014-02-24",42.360001
"18","2014-02-25",43.400002
"19","2014-02-26",41.799999
"20","2014-02-27",41.290001
"21","2014-02-28",36.720001
"22","2014-03-03",37.549999
"23","2014-03-04",40.060001
"24","2014-03-05",39.009998
"25","2014-03-06",35.119999
"26","2014-03-07",34.66
"27","2014-03-10",36.470001
"28","2014-03-11",38.369999
"29","2014-03-12",37.360001
"30","2014-03-13",35.799999
"31","2014-03-14",35.27
"32","2014-03-17",36.82
"33","2014-03-18",38.790001
"34","2014-03-19",40.84
"35","2014-03-20",41.715
"36","2014-03-21",36.98
"37","2014-03-24",33.650002
"38","2014-03-25",34.43
"39","2014-03-26",32.200001
"40","2014-03-27",30.610001
"41","2014-03-28",29.049999
"42","2014-03-31",28.25
"43","2014-04-01",26.51
"44","2014-04-02",25.209999
"45","2014-04-03",23.5
"46","2014-04-04",21.41
"47","2014-04-07",22.209999
"48","2014-04-08",20.57
"49","2014-04-09",21.75
"50","2014-04-10",19.67
"51","2014-04-11",18.110001
"52","2014-04-14",17
"53","2014-04-15",16
"54","2014-04-16",16.299999
"55","2014-04-17",16.41
"56","2014-04-21",16.200001
"57","2014-04-22",17.780001
"58","2014-04-23",16.889999
"59","2014-04-24",17.959999
"60","2014-04-25",17.190001
"61","2014-04-28",17.610001
"62","2014-04-29",18.25
"63","2014-04-30",18.77
"64","2014-05-01",19.41
"65","2014-05-02",18.860001
"66","2014-05-05",18.51
"67","2014-05-06",18.35
"68","2014-05-07",17.57
"69","2014-05-08",16.209999
"70","2014-05-09",17.08
"71","2014-05-12",17.48
"72","2014-05-13",16.6
"73","2014-05-14",16.030001
"74","2014-05-15",15.56
"75","2014-05-16",16.17
"76","2014-05-19",15.92
"77","2014-05-20",16.200001
"78","2014-05-21",16.27
"79","2014-05-22",16.51
"80","2014-05-23",17.73
"81","2014-05-27",16.540001
"82","2014-05-28",16.27
"83","2014-05-29",16.59
"84","2014-05-30",16.16
"85","2014-06-02",15.97
"86","2014-06-03",15.74
"87","2014-06-04",15.68
"88","2014-06-05",15.75
"89","2014-06-06",16.389999
"90","2014-06-09",17.58
"91","2014-06-10",19.83
"92","2014-06-11",20.190001
"93","2014-06-12",19.059999
"94","2014-06-13",18.389999
"95","2014-06-16",17.74
"96","2014-06-17",18.75
"97","2014-06-18",18.73
"98","2014-06-19",17.959999
"99","2014-06-20",18.51
"100","2014-06-23",17.860001
"101","2014-06-24",17.940001
"102","2014-06-25",18.370001
"103","2014-06-26",19.200001
"104","2014-06-27",18.84
"105","2014-06-30",22.57
"106","2014-07-01",21.030001
"107","2014-07-02",21.379999
"108","2014-07-03",21.469999
"109","2014-07-07",20.33
"110","2014-07-08",19.42
"111","2014-07-09",18.559999
"112","2014-07-10",18.290001
"113","2014-07-11",17.92
"114","2014-07-14",17.52
"115","2014-07-15",16.73
"116","2014-07-16",15.79
"117","2014-07-17",15.09
"118","2014-07-18",16.09
"119","2014-07-21",15.36
"120","2014-07-22",15.94
"121","2014-07-23",15.78
"122","2014-07-24",14.9
"123","2014-07-25",15.26
"124","2014-07-28",15.04
"125","2014-07-29",15.1
"126","2014-07-30",15.04
"127","2014-07-31",15.02
"128","2014-08-01",15.06
"129","2014-08-04",14.945
"130","2014-08-05",14.98
"131","2014-08-06",14.89
"132","2014-08-07",14.35
"133","2014-08-08",13.45
"134","2014-08-11",13.93
"135","2014-08-12",14.34
"136","2014-08-13",14.78
"137","2014-08-14",14.81
"138","2014-08-15",14.54
"139","2014-08-18",14.65
"140","2014-08-19",14.22
"141","2014-08-20",14.27
"142","2014-08-21",14.02
"143","2014-08-22",14.06
"144","2014-08-25",14.08
"145","2014-08-26",14.55
"146","2014-08-27",14.43
"147","2014-08-28",14.23
"148","2014-08-29",13.78
"149","2014-09-02",14.31
"150","2014-09-03",13.74
"151","2014-09-04",13.63
"152","2014-09-05",13.8
"153","2014-09-08",14.38
"154","2014-09-09",13.97
"155","2014-09-10",14.55
"156","2014-09-11",14.6
"157","2014-09-12",14.09
"158","2014-09-15",13.65
"159","2014-09-16",13.54
"160","2014-09-17",13.7
"161","2014-09-18",13.64
"162","2014-09-19",13.18
"163","2014-09-22",13.02
