"","date","IX"
"1","2007-01-03",145.949997
"2","2007-01-04",147.110001
"3","2007-01-05",146.029999
"4","2007-01-08",147.619995
"5","2007-01-09",148.990005
"6","2007-01-10",144.050003
"7","2007-01-11",141.839996
"8","2007-01-12",143.240005
"9","2007-01-16",142.169998
"10","2007-01-17",138.240005
"11","2007-01-18",141.350006
"12","2007-01-19",144.5
"13","2007-01-22",145.539993
"14","2007-01-23",145.990005
"15","2007-01-24",148.229996
"16","2007-01-25",148.949997
"17","2007-01-26",148.199997
"18","2007-01-29",145.259995
"19","2007-01-30",143.369995
"20","2007-01-31",146.399994
"21","2007-02-01",150.429993
"22","2007-02-02",149.550003
"23","2007-02-05",146.990005
"24","2007-02-06",147.889999
"25","2007-02-07",146.809998
"26","2007-02-08",139.600006
"27","2007-02-09",145.369995
"28","2007-02-12",143.899994
"29","2007-02-13",149
"30","2007-02-14",150.759995
"31","2007-02-15",149.110001
"32","2007-02-16",146.789993
"33","2007-02-20",145.110001
"34","2007-02-21",142.410004
"35","2007-02-22",142.759995
"36","2007-02-23",144.740005
"37","2007-02-26",142.589996
"38","2007-02-27",138.860001
"39","2007-02-28",137.100006
"40","2007-03-01",135.669998
"41","2007-03-02",135.869995
"42","2007-03-05",132.220001
"43","2007-03-06",138.029999
"44","2007-03-07",136.889999
"45","2007-03-08",137.330002
"46","2007-03-09",140.449997
"47","2007-03-12",139.990005
"48","2007-03-13",132.449997
"49","2007-03-14",133.300003
"50","2007-03-15",134.320007
"51","2007-03-16",134.270004
"52","2007-03-19",134.669998
"53","2007-03-20",135.470001
"54","2007-03-21",138.449997
"55","2007-03-22",137.789993
"56","2007-03-23",135.630005
"57","2007-03-26",132.619995
"58","2007-03-27",131.610001
"59","2007-03-28",132.029999
"60","2007-03-29",131.220001
"61","2007-03-30",130.850006
"62","2007-04-02",132.600006
"63","2007-04-03",131.860001
"64","2007-04-04",132.039993
"65","2007-04-05",132.639999
"66","2007-04-09",132.839996
"67","2007-04-10",134.449997
"68","2007-04-11",132.619995
"69","2007-04-12",132.669998
"70","2007-04-13",132.899994
"71","2007-04-16",132.179993
"72","2007-04-17",128.960007
"73","2007-04-18",134.850006
"74","2007-04-19",136.289993
"75","2007-04-20",136.960007
"76","2007-04-23",135.410004
"77","2007-04-24",136.589996
"78","2007-04-25",137.039993
"79","2007-04-26",133.25
"80","2007-04-27",135.220001
"81","2007-04-30",135.279999
"82","2007-05-01",133.899994
"83","2007-05-02",138.979996
"84","2007-05-03",139.100006
"85","2007-05-04",138.389999
"86","2007-05-07",139
"87","2007-05-08",140.809998
"88","2007-05-09",143.110001
"89","2007-05-10",141.210007
"90","2007-05-11",144.789993
"91","2007-05-14",143.940002
"92","2007-05-15",141.619995
"93","2007-05-16",140.919998
"94","2007-05-17",138.270004
"95","2007-05-18",136.639999
"96","2007-05-21",131.679993
"97","2007-05-22",134.179993
"98","2007-05-23",129.350006
"99","2007-05-24",132.75
"100","2007-05-25",134.300003
"101","2007-05-29",133.669998
"102","2007-05-30",134.399994
"103","2007-05-31",135.740005
"104","2007-06-01",136.169998
"105","2007-06-04",134.800003
"106","2007-06-05",133.600006
"107","2007-06-06",131.789993
"108","2007-06-07",132.300003
"109","2007-06-08",133.639999
"110","2007-06-11",132.990005
"111","2007-06-12",130.470001
"112","2007-06-13",129.699997
"113","2007-06-14",128.699997
"114","2007-06-15",129.5
"115","2007-06-18",128.720001
"116","2007-06-19",128.649994
"117","2007-06-20",125.800003
"118","2007-06-21",131.610001
"119","2007-06-22",127.260002
"120","2007-06-25",126.389999
"121","2007-06-26",131.529999
"122","2007-06-27",130.210007
"123","2007-06-28",131.639999
