"","date","H"
"1","2009-11-05",28
"2","2009-11-06",28
"3","2009-11-09",28.9
"4","2009-11-10",29.299999
"5","2009-11-11",29.24
"6","2009-11-12",29.1
"7","2009-11-13",28.98
"8","2009-11-16",28.9
"9","2009-11-17",28.67
"10","2009-11-18",29.5
"11","2009-11-19",29.200001
"12","2009-11-20",29.52
"13","2009-11-23",28.85
"14","2009-11-24",28.540001
"15","2009-11-25",28.610001
"16","2009-11-27",28.35
"17","2009-11-30",28.75
"18","2009-12-01",29.709999
"19","2009-12-02",29.370001
"20","2009-12-03",29.280001
"21","2009-12-04",29.5
"22","2009-12-07",28.719999
"23","2009-12-08",27.9
"24","2009-12-09",28.09
"25","2009-12-10",28.799999
"26","2009-12-11",29.049999
"27","2009-12-14",29.51
"28","2009-12-15",30.15
"29","2009-12-16",30.309999
"30","2009-12-17",30.02
"31","2009-12-18",30.120001
"32","2009-12-21",30.190001
"33","2009-12-22",30.27
"34","2009-12-23",30.200001
"35","2009-12-24",30.18
"36","2009-12-28",30.09
"37","2009-12-29",29.790001
"38","2009-12-30",29.9
"39","2009-12-31",29.809999
"40","2010-01-04",29.959999
"41","2010-01-05",30
"42","2010-01-06",29.719999
"43","2010-01-07",29.889999
"44","2010-01-08",29.709999
"45","2010-01-11",29.809999
"46","2010-01-12",29.83
"47","2010-01-13",30.73
"48","2010-01-14",31.690001
"49","2010-01-15",31.75
"50","2010-01-19",31.719999
"51","2010-01-20",31.299999
"52","2010-01-21",30.5
"53","2010-01-22",29.57
"54","2010-01-25",30.049999
"55","2010-01-26",29.870001
"56","2010-01-27",29.48
"57","2010-01-28",29.82
"58","2010-01-29",29.620001
"59","2010-02-01",29.85
"60","2010-02-02",29.85
"61","2010-02-03",29.5
"62","2010-02-04",29.040001
"63","2010-02-05",28.629999
"64","2010-02-08",28.93
"65","2010-02-09",29
"66","2010-02-10",29.219999
"67","2010-02-11",29.23
"68","2010-02-12",29.34
"69","2010-02-16",29.690001
"70","2010-02-17",30.25
"71","2010-02-18",30
"72","2010-02-19",29.969999
"73","2010-02-22",30.93
"74","2010-02-23",30.91
"75","2010-02-24",31.15
"76","2010-02-25",32.5
"77","2010-02-26",33.43
"78","2010-03-01",33.419998
"79","2010-03-02",33.119999
"80","2010-03-03",33.400002
"81","2010-03-04",33.75
"82","2010-03-05",34.02
"83","2010-03-08",34.669998
"84","2010-03-09",33.950001
"85","2010-03-10",33.799999
"86","2010-03-11",33.580002
"87","2010-03-12",34.049999
"88","2010-03-15",34.48
"89","2010-03-16",36.110001
"90","2010-03-17",35.290001
"91","2010-03-18",35.700001
"92","2010-03-19",37.450001
"93","2010-03-22",37.91
"94","2010-03-23",38.509998
"95","2010-03-24",38.349998
"96","2010-03-25",38.869999
"97","2010-03-26",39.450001
"98","2010-03-29",39.529999
"99","2010-03-30",39.240002
"100","2010-03-31",38.959999
"101","2010-04-01",38.790001
"102","2010-04-05",39.150002
"103","2010-04-06",38.990002
"104","2010-04-07",38.209999
"105","2010-04-08",39.279999
"106","2010-04-09",39.490002
"107","2010-04-12",38.950001
"108","2010-04-13",39.73
"109","2010-04-14",40.610001
"110","2010-04-15",39.93
"111","2010-04-16",39.150002
"112","2010-04-19",38.459999
"113","2010-04-20",38.25
"114","2010-04-21",38.959999
"115","2010-04-22",40.759998
"116","2010-04-23",41.27
"117","2010-04-26",41.709999
"118","2010-04-27",40.32
"119","2010-04-28",40.389999
"120","2010-04-29",42.099998
"121","2010-04-30",41.169998
"122","2010-05-03",42.349998
"123","2010-05-04",42.040001
"124","2010-05-05",41.860001
"125","2010-05-06",41.189999
"126","2010-05-07",39.700001
"127","2010-05-10",40.98
"128","2010-05-11",40.959999
"129","2010-05-12",41.529999
"130","2010-05-13",41.669998
"131","2010-05-14",40.470001
"132","2010-05-17",40.459999
"133","2010-05-18",38.900002
"134","2010-05-19",38.16
"135","2010-05-20",36.580002
"136","2010-05-21",37.849998
"137","2010-05-24",37.669998
"138","2010-05-25",37.490002
"139","2010-05-26",37.830002
"140","2010-05-27",39.689999
"141","2010-05-28",40.459999
"142","2010-06-01",40.099998
"143","2010-06-02",39.16
"144","2010-06-03",39.830002
"145","2010-06-04",38.259998
"146","2010-06-07",36.98
"147","2010-06-08",37.310001
"148","2010-06-09",38.029999
"149","2010-06-10",39.060001
"150","2010-06-11",38.59
"151","2010-06-14",39.509998
"152","2010-06-15",40.740002
"153","2010-06-16",40.610001
"154","2010-06-17",39.860001
"155","2010-06-18",39.59
"156","2010-06-21",39.599998
"157","2010-06-22",38.5
"158","2010-06-23",38.200001
"159","2010-06-24",37.139999
"160","2010-06-25",37.810001
"161","2010-06-28",37.439999
"162","2010-06-29",36.490002
"163","2010-06-30",37.09
"164","2010-07-01",35.369999
"165","2010-07-02",35
"166","2010-07-06",35.490002
"167","2010-07-07",36.02
