"","date","WF"
"1","2007-01-03",82.598328
"2","2007-01-04",80.572113
"3","2007-01-05",77.65197
"4","2007-01-08",77.771156
"5","2007-01-09",77.83075
"6","2007-01-10",77.65197
"7","2007-01-11",78.963051
"8","2007-01-12",81.764008
"9","2007-01-16",80.905838
"10","2007-01-17",83.432655
"11","2007-01-18",83.551849
"12","2007-01-19",83.361145
"13","2007-01-22",83.432655
"14","2007-01-23",83.134682
"15","2007-01-24",85.816444
"16","2007-01-25",83.337303
"17","2007-01-26",83.873657
"18","2007-01-29",83.075089
"19","2007-01-30",83.730629
"20","2007-01-31",84.576874
"21","2007-02-01",88.450539
"22","2007-02-02",91.27533
"23","2007-02-05",92.836708
"24","2007-02-06",92.395706
"25","2007-02-07",91.179977
"26","2007-02-08",92.371872
"27","2007-02-09",92.324196
"28","2007-02-12",90.882004
"29","2007-02-13",92.955902
"30","2007-02-14",98.951134
"31","2007-02-15",99.141838
"32","2007-02-16",96.662697
"33","2007-02-20",98.879616
"34","2007-02-21",96.340881
"35","2007-02-22",99.320618
"36","2007-02-23",97.99762
"37","2007-02-26",98.629318
"38","2007-02-27",91.299164
"39","2007-02-28",91.191895
"40","2007-03-01",88.986893
"41","2007-03-02",85.673424
"42","2007-03-05",83.480331
"43","2007-03-06",88.784264
"44","2007-03-07",87.330154
"45","2007-03-08",87.30632
"46","2007-03-09",84.44577
"47","2007-03-12",85.685341
"48","2007-03-13",82.240761
"49","2007-03-14",84.9702
"50","2007-03-15",86.042908
"51","2007-03-16",85.327774
"52","2007-03-19",87.437424
"53","2007-03-20",88.510132
"54","2007-03-21",91.644814
"55","2007-03-22",91.096542
"56","2007-03-23",90.92968
"57","2007-03-26",88.867699
"58","2007-03-27",87.949944
"59","2007-03-28",86.030991
"60","2007-03-29",86.626938
"61","2007-03-30",87.4851
"62","2007-04-02",88.903458
"63","2007-04-03",88.891541
"64","2007-04-04",89.392136
"65","2007-04-05",89.76162
"66","2007-04-09",88.545891
"67","2007-04-10",90.07151
"68","2007-04-11",90.23838
"69","2007-04-12",94.2789
"70","2007-04-13",92.69368
"71","2007-04-16",93.075089
"72","2007-04-17",92.133492
"73","2007-04-18",93.480331
"74","2007-04-19",92.800957
"75","2007-04-20",93.742554
"76","2007-04-23",92.705605
"77","2007-04-24",91.156136
"78","2007-04-25",91.156136
"79","2007-04-26",90.143028
"80","2007-04-27",90.083435
"81","2007-04-30",89.690109
"82","2007-05-01",90.286057
"83","2007-05-02",89.988083
"84","2007-05-03",91.477951
"85","2007-05-04",88.081047
"86","2007-05-07",86.06675
"87","2007-05-08",83.718712
"88","2007-05-09",84.326576
"89","2007-05-10",83.146606
"90","2007-05-11",85.148987
"91","2007-05-14",85.113228
"92","2007-05-15",85.506554
