"","date","AREC"
"1","2017-06-30",1
"2","2017-07-03",1
"3","2017-07-05",0.75
"4","2017-07-06",0.75
"5","2017-07-07",0.75
"6","2017-07-10",0.51
"7","2017-07-11",0.51
"8","2017-07-12",0.46
"9","2017-07-13",0.46
"10","2017-07-14",0.46
"11","2017-07-17",0.46
"12","2017-07-18",0.46
"13","2017-07-19",0.46
"14","2017-07-20",0.46
"15","2017-07-21",0.46
"16","2017-07-24",0.46
"17","2017-07-25",0.46
"18","2017-07-26",0.46
"19","2017-07-27",0.1
"20","2017-07-28",0.1
"21","2017-07-31",0.1
"22","2017-08-01",0.1
"23","2017-08-02",0.1
"24","2017-08-03",0.1
"25","2017-08-04",0.1
"26","2017-08-07",0.1
"27","2017-08-08",0.1
"28","2017-08-09",0.1
"29","2017-08-10",0.1
"30","2017-08-11",0.1
"31","2017-08-14",0.1
"32","2017-08-15",0.1
"33","2017-08-16",0.1
"34","2017-08-17",0.05
"35","2017-08-18",0.05
"36","2017-08-21",0.05
"37","2017-08-22",0.05
"38","2017-08-23",0.05
"39","2017-08-24",0.05
"40","2017-08-25",0.05
"41","2017-08-28",0.05
"42","2017-08-29",0.05
"43","2017-08-30",0.05
"44","2017-08-31",0.05
"45","2017-09-01",0.05
"46","2017-09-05",0.05
"47","2017-09-06",0.05
"48","2017-09-07",0.05
"49","2017-09-08",0.05
"50","2017-09-11",0.05
"51","2017-09-12",0.05
"52","2017-09-13",0.05
"53","2017-09-14",0.05
"54","2017-09-15",0.05
"55","2017-09-18",0.05
"56","2017-09-19",0.05
"57","2017-09-20",0.05
"58","2017-09-21",0.05
"59","2017-09-22",0.05
"60","2017-09-25",0.05
"61","2017-09-26",0.05
"62","2017-09-27",0.05
"63","2017-09-28",0.05
"64","2017-09-29",0.05
"65","2017-10-02",0.05
"66","2017-10-03",0.05
"67","2017-10-04",0.05
"68","2017-10-05",0.05
"69","2017-10-06",0.05
"70","2017-10-09",0.05
"71","2017-10-10",0.05
"72","2017-10-11",0.05
"73","2017-10-12",0.05
"74","2017-10-13",0.05
"75","2017-10-16",0.05
"76","2017-10-17",0.05
"77","2017-10-18",0.05
"78","2017-10-19",0.05
"79","2017-10-20",0.05
"80","2017-10-23",0.05
"81","2017-10-24",0.05
"82","2017-10-25",0.05
"83","2017-10-26",0.05
"84","2017-10-27",0.05
"85","2017-10-30",0.05
"86","2017-10-31",0.05
"87","2017-11-01",0.05
"88","2017-11-02",0.05
"89","2017-11-03",0.05
"90","2017-11-06",0.05
"91","2017-11-07",0.05
"92","2017-11-08",0.05
"93","2017-11-09",0.05
"94","2017-11-10",0.05
"95","2017-11-13",0.05
"96","2017-11-14",0.05
"97","2017-11-15",0.05
"98","2017-11-16",0.05
"99","2017-11-17",0.05
"100","2017-11-20",0.05
"101","2017-11-21",0.05
"102","2017-11-22",0.05
"103","2017-11-24",0.05
"104","2017-11-27",0.05
"105","2017-11-28",0.05
"106","2017-11-29",0.05
"107","2017-11-30",0.05
"108","2017-12-01",0.05
"109","2017-12-04",0.05
"110","2017-12-05",0.05
"111","2017-12-06",0.05
"112","2017-12-07",0.05
"113","2017-12-08",0.05
"114","2017-12-11",0.05
"115","2017-12-12",0.05
"116","2017-12-13",0.05
"117","2017-12-14",0.05
"118","2017-12-15",0.05
"119","2017-12-18",0.05
"120","2017-12-19",0.05
"121","2017-12-20",0.05
"122","2017-12-21",0.05
"123","2017-12-22",0.05
"124","2017-12-26",0.05
"125","2017-12-27",0.05
"126","2017-12-28",0.05
"127","2017-12-29",0.05
"128","2018-01-02",0.05
"129","2018-01-03",0.05
"130","2018-01-04",0.05
"131","2018-01-05",0.05
"132","2018-01-08",0.05
"133","2018-01-09",0.05
"134","2018-01-10",0.05
"135","2018-01-11",0.05
"136","2018-01-12",0.05
"137","2018-01-16",0.05
"138","2018-01-17",0.05
"139","2018-01-18",0.05
"140","2018-01-19",0.05
"141","2018-01-22",0.05
"142","2018-01-23",0.05
"143","2018-01-24",0.05
"144","2018-01-25",0.05
"145","2018-01-26",0.05
"146","2018-01-29",0.05
"147","2018-01-30",0.05
"148","2018-01-31",0.05
"149","2018-02-01",0.05
"150","2018-02-02",0.05
"151","2018-02-05",0.05
"152","2018-02-06",0.05
"153","2018-02-07",0.05
"154","2018-02-08",0.05
"155","2018-02-09",0.05
