"","date","HOTH"
"1","2019-02-15",8.53
"2","2019-02-19",7.06
"3","2019-02-20",7.9
"4","2019-02-21",7.6
"5","2019-02-22",6.89
"6","2019-02-25",6.45
"7","2019-02-26",5.95
"8","2019-02-27",6.05
"9","2019-02-28",6.2
"10","2019-03-01",6.093
"11","2019-03-04",5.87
"12","2019-03-05",5.9
"13","2019-03-06",5.88
"14","2019-03-07",5.46
"15","2019-03-08",5.33
"16","2019-03-11",5.53
"17","2019-03-12",5.71
"18","2019-03-13",5.4
"19","2019-03-14",5.8
"20","2019-03-15",5.655
"21","2019-03-18",5.45
"22","2019-03-19",5.41
"23","2019-03-20",5.774
"24","2019-03-21",5.71
"25","2019-03-22",5.3
"26","2019-03-25",5.3
"27","2019-03-26",5.54
"28","2019-03-27",5.28
"29","2019-03-28",5.286
"30","2019-03-29",5.15
"31","2019-04-01",4.76
"32","2019-04-02",5.45
"33","2019-04-03",4.91
"34","2019-04-04",5.1
"35","2019-04-05",5.1
"36","2019-04-08",5.3
"37","2019-04-09",4.91
"38","2019-04-10",5.39
"39","2019-04-11",5.52
"40","2019-04-12",5.52
"41","2019-04-15",5.25
"42","2019-04-16",4.85
"43","2019-04-17",5.307
"44","2019-04-18",5.097
"45","2019-04-22",5.5
"46","2019-04-23",5.327
"47","2019-04-24",5.5
"48","2019-04-25",5.27
"49","2019-04-26",5.216
"50","2019-04-29",5.64
"51","2019-04-30",5.4
"52","2019-05-01",5.474
"53","2019-05-02",5.399
"54","2019-05-03",5.2
"55","2019-05-06",5.05
"56","2019-05-07",5.24
"57","2019-05-08",5.24
"58","2019-05-09",5.45
"59","2019-05-10",5.6
"60","2019-05-13",5.55
"61","2019-05-14",6.15
"62","2019-05-15",5.94
"63","2019-05-16",5.5
"64","2019-05-17",5.37
"65","2019-05-20",5.05
"66","2019-05-21",5.3
"67","2019-05-22",5.17
"68","2019-05-23",5.05
"69","2019-05-24",5.23
"70","2019-05-28",5.04
"71","2019-05-29",5.05
"72","2019-05-30",5.821
"73","2019-05-31",6.5
"74","2019-06-03",6.49
"75","2019-06-04",7.84
"76","2019-06-05",6.98
"77","2019-06-06",6.8
"78","2019-06-07",6.65
"79","2019-06-10",7.02
"80","2019-06-11",8.1
"81","2019-06-12",6.83
"82","2019-06-13",7.229
"83","2019-06-14",6.55
"84","2019-06-17",6.8
"85","2019-06-18",6.79
"86","2019-06-19",6.03
"87","2019-06-20",5.87
"88","2019-06-21",5.3
"89","2019-06-24",5.2
"90","2019-06-25",5.66
"91","2019-06-26",5.6
"92","2019-06-27",6
"93","2019-06-28",5.81
"94","2019-07-01",5.48
"95","2019-07-02",5.86
"96","2019-07-03",5.79
"97","2019-07-05",5.3
"98","2019-07-08",5.73
"99","2019-07-09",5.673
"100","2019-07-10",5.48
"101","2019-07-11",5.53
"102","2019-07-12",5.23
"103","2019-07-15",5.24
"104","2019-07-16",4.72
"105","2019-07-17",4.73
"106","2019-07-18",4.76
"107","2019-07-19",4.5
"108","2019-07-22",4.25
"109","2019-07-23",6.75
"110","2019-07-24",7.18
"111","2019-07-25",6.2
"112","2019-07-26",6.39
"113","2019-07-29",5.57
"114","2019-07-30",5.44
"115","2019-07-31",5.74
"116","2019-08-01",5.51
"117","2019-08-02",5.42
"118","2019-08-05",5.58
"119","2019-08-06",5.48
"120","2019-08-07",5.19
"121","2019-08-08",5.34
"122","2019-08-09",4.81
"123","2019-08-12",5.144
"124","2019-08-13",5.26
"125","2019-08-14",5.31
"126","2019-08-15",5.26
"127","2019-08-16",5.422
"128","2019-08-19",5.605
"129","2019-08-20",5.67
"130","2019-08-21",5.605
"131","2019-08-22",5.409
"132","2019-08-23",5.145
"133","2019-08-26",5.55
"134","2019-08-27",5.3
"135","2019-08-28",5.198
"136","2019-08-29",5.5
"137","2019-08-30",5.69
"138","2019-09-03",5.01
"139","2019-09-04",4.95
"140","2019-09-05",5
"141","2019-09-06",5.03
"142","2019-09-09",4.95
"143","2019-09-10",4.86
"144","2019-09-11",4.81
"145","2019-09-12",4.81
"146","2019-09-13",5.335
"147","2019-09-16",5.1
"148","2019-09-17",5.35
"149","2019-09-18",5
"150","2019-09-19",4.61
"151","2019-09-20",4.4
"152","2019-09-23",4.5
"153","2019-09-24",4.4
"154","2019-09-25",4.35
"155","2019-09-26",4.495
"156","2019-09-27",4.5
"157","2019-09-30",4.407
"158","2019-10-01",4.447
"159","2019-10-02",4.386
"160","2019-10-03",4.48
"161","2019-10-04",4.506
"162","2019-10-07",4.45
"163","2019-10-08",4.355
"164","2019-10-09",4.2
"165","2019-10-10",4.2
"166","2019-10-11",4.195
"167","2019-10-14",4.24
"168","2019-10-15",4.31
"169","2019-10-16",4.18
"170","2019-10-17",3.99
"171","2019-10-18",3.92
"172","2019-10-21",4.319
"173","2019-10-22",4.26
"174","2019-10-23",4.23
"175","2019-10-24",4.2
"176","2019-10-25",4.04
"177","2019-10-28",3.72
"178","2019-10-29",3.69
"179","2019-10-30",3.62
"180","2019-10-31",3.339
"181","2019-11-01",4.74
"182","2019-11-04",4.7
"183","2019-11-05",4.271
"184","2019-11-06",4.3
"185","2019-11-07",4.65
"186","2019-11-08",4.7
"187","2019-11-11",4.5
"188","2019-11-12",4.533
"189","2019-11-13",4.57
"190","2019-11-14",4.5
"191","2019-11-15",4.34
"192","2019-11-18",4.23
"193","2019-11-19",4.84
"194","2019-11-20",4.6
"195","2019-11-21",4.52
"196","2019-11-22",4.64
"197","2019-11-25",4.57
"198","2019-11-26",4.95
"199","2019-11-27",4.95
"200","2019-11-29",4.946
"201","2019-12-02",4.708
"202","2019-12-03",4.76
"203","2019-12-04",4.5
"204","2019-12-05",4.446
"205","2019-12-06",4.4
"206","2019-12-09",4.52
"207","2019-12-10",4.66
"208","2019-12-11",4.5
"209","2019-12-12",4.64
"210","2019-12-13",4.446
"211","2019-12-16",4.28
"212","2019-12-17",4.22
"213","2019-12-18",4.65
"214","2019-12-19",4.97
"215","2019-12-20",5.41
"216","2019-12-23",5.26
"217","2019-12-24",5.26
"218","2019-12-26",5.15
"219","2019-12-27",5.74
"220","2019-12-30",5.998
"221","2019-12-31",6.19
"222","2020-01-02",6.59
"223","2020-01-03",6.42
"224","2020-01-06",5.86
"225","2020-01-07",5.83
"226","2020-01-08",5.374
"227","2020-01-09",5.19
"228","2020-01-10",5.13
"229","2020-01-13",4.89
"230","2020-01-14",4.91
"231","2020-01-15",5.2
"232","2020-01-16",5.155
