"","date","HSBC"
"1","2007-01-03",92.970001
"2","2007-01-04",92.269997
"3","2007-01-05",91.449997
"4","2007-01-08",90.970001
"5","2007-01-09",90.089996
"6","2007-01-10",89.949997
"7","2007-01-11",90.029999
"8","2007-01-12",90.360001
"9","2007-01-16",90.290001
"10","2007-01-17",90.400002
"11","2007-01-18",91.120003
"12","2007-01-19",92.290001
"13","2007-01-22",92.379997
"14","2007-01-23",92.720001
"15","2007-01-24",93.089996
"16","2007-01-25",91.959999
"17","2007-01-26",91.440002
"18","2007-01-29",91.709999
"19","2007-01-30",92.010002
"20","2007-01-31",91.830002
"21","2007-02-01",92.32
"22","2007-02-02",92.510002
"23","2007-02-05",92.120003
"24","2007-02-06",92.43
"25","2007-02-07",92.220001
"26","2007-02-08",89.779999
"27","2007-02-09",89.419998
"28","2007-02-12",89.410004
"29","2007-02-13",89.629997
"30","2007-02-14",90.279999
"31","2007-02-15",89.669998
"32","2007-02-16",89.540001
"33","2007-02-20",89.639999
"34","2007-02-21",89.360001
"35","2007-02-22",89.260002
"36","2007-02-23",88.75
"37","2007-02-26",88.940002
"38","2007-02-27",86.370003
"39","2007-02-28",87.599998
"40","2007-03-01",86.900002
"41","2007-03-02",86.269997
"42","2007-03-05",85.910004
"43","2007-03-06",87.629997
"44","2007-03-07",87.449997
"45","2007-03-08",88.080002
"46","2007-03-09",88.190002
"47","2007-03-12",88.370003
"48","2007-03-13",86.5
"49","2007-03-14",86.419998
"50","2007-03-15",86.080002
"51","2007-03-16",85.769997
"52","2007-03-19",86.480003
"53","2007-03-20",87.849998
"54","2007-03-21",87.949997
"55","2007-03-22",88.139999
"56","2007-03-23",88.379997
"57","2007-03-26",88.150002
"58","2007-03-27",87.349998
"59","2007-03-28",86.800003
"60","2007-03-29",87.519997
"61","2007-03-30",87.809998
"62","2007-04-02",88
"63","2007-04-03",88.489998
"64","2007-04-04",88.980003
"65","2007-04-05",89.68
"66","2007-04-09",89.779999
"67","2007-04-10",89.669998
"68","2007-04-11",89.580002
"69","2007-04-12",90
"70","2007-04-13",91.800003
"71","2007-04-16",93.25
"72","2007-04-17",92.449997
"73","2007-04-18",92.970001
"74","2007-04-19",92.480003
"75","2007-04-20",93.410004
"76","2007-04-23",92.510002
"77","2007-04-24",92.459999
"78","2007-04-25",93.440002
"79","2007-04-26",92.730003
"80","2007-04-27",92.879997
"81","2007-04-30",92.360001
"82","2007-05-01",92.910004
"83","2007-05-02",93.650002
"84","2007-05-03",94.360001
"85","2007-05-04",94.239998
"86","2007-05-07",94.360001
