"","date","FI"
"1","2013-08-09",26.360001
"2","2013-08-12",26.5
"3","2013-08-13",26.09
"4","2013-08-14",26.1
"5","2013-08-15",26.379999
"6","2013-08-16",26.75
"7","2013-08-19",26.5
"8","2013-08-20",27.870001
"9","2013-08-21",27.77
"10","2013-08-22",27.969999
"11","2013-08-23",27.82
"12","2013-08-26",27.790001
"13","2013-08-27",27.43
"14","2013-08-28",27.65
"15","2013-08-29",27.59
"16","2013-08-30",27.709999
"17","2013-09-03",27.620001
"18","2013-09-04",27.5
"19","2013-09-05",28.129999
"20","2013-09-06",28.1
"21","2013-09-09",28.629999
"22","2013-09-10",28.48
"23","2013-09-11",28.379999
"24","2013-09-12",28.24
"25","2013-09-13",28.17
"26","2013-09-16",28.23
"27","2013-09-17",28.1
"28","2013-09-18",28.790001
"29","2013-09-19",29.709999
"30","2013-09-20",29.549999
"31","2013-09-23",29.610001
"32","2013-09-24",29.25
"33","2013-09-25",29.59
"34","2013-09-26",30.15
"35","2013-09-27",29.969999
"36","2013-09-30",29.93
"37","2013-10-01",30.469999
"38","2013-10-02",31.51
"39","2013-10-03",31.299999
"40","2013-10-04",31.190001
"41","2013-10-07",31.07
"42","2013-10-08",30.709999
"43","2013-10-09",30.17
"44","2013-10-10",30.82
"45","2013-10-11",31.48
"46","2013-10-14",31.719999
"47","2013-10-15",31.24
"48","2013-10-16",31.5
"49","2013-10-17",31.360001
"50","2013-10-18",32.220001
"51","2013-10-21",32.130001
"52","2013-10-22",31.440001
"53","2013-10-23",29.9
"54","2013-10-24",29.799999
"55","2013-10-25",29.52
"56","2013-10-28",30.57
"57","2013-10-29",30.65
"58","2013-10-30",30.52
"59","2013-10-31",30.59
"60","2013-11-01",31.15
"61","2013-11-04",30.6
"62","2013-11-05",30.42
"63","2013-11-06",30.98
"64","2013-11-07",30.25
"65","2013-11-08",31.290001
"66","2013-11-11",30.33
"67","2013-11-12",29.52
"68","2013-11-13",25.469999
"69","2013-11-14",25.24
"70","2013-11-15",25.610001
"71","2013-11-18",24.02
"72","2013-11-19",23.719999
"73","2013-11-20",24.059999
"74","2013-11-21",24.25
"75","2013-11-22",24.139999
"76","2013-11-25",23.66
"77","2013-11-26",23.629999
"78","2013-11-27",23.950001
"79","2013-11-29",23.93
"80","2013-12-02",25.24
"81","2013-12-03",25.059999
"82","2013-12-04",25.91
"83","2013-12-05",26.57
"84","2013-12-06",27.110001
"85","2013-12-09",27.17
"86","2013-12-10",26.91
"87","2013-12-11",26.65
"88","2013-12-12",26.42
"89","2013-12-13",26.450001
"90","2013-12-16",26.700001
"91","2013-12-17",26.58
"92","2013-12-18",26.5
"93","2013-12-19",26.68
"94","2013-12-20",27.290001
"95","2013-12-23",26.52
"96","2013-12-24",26.93
"97","2013-12-26",26.57
"98","2013-12-27",27.049999
"99","2013-12-30",26.92
"100","2013-12-31",27
"101","2014-01-02",26.16
"102","2014-01-03",26.24
"103","2014-01-06",26.139999
"104","2014-01-07",25.08
"105","2014-01-08",24.290001
"106","2014-01-09",24.65
"107","2014-01-10",24.73
"108","2014-01-13",24.450001
"109","2014-01-14",24.959999
"110","2014-01-15",24.629999
"111","2014-01-16",24.5
"112","2014-01-17",24.549999
"113","2014-01-21",24.15
"114","2014-01-22",24.190001
"115","2014-01-23",23.52
"116","2014-01-24",23.08
"117","2014-01-27",22.68
"118","2014-01-28",23.07
"119","2014-01-29",23.02
"120","2014-01-30",23.309999
"121","2014-01-31",23.440001
"122","2014-02-03",22.84
"123","2014-02-04",23.23
"124","2014-02-05",22.639999
"125","2014-02-06",23.33
"126","2014-02-07",23.4
"127","2014-02-10",22.9
"128","2014-02-11",22.799999
"129","2014-02-12",21.959999
"130","2014-02-13",21.790001
"131","2014-02-14",22
"132","2014-02-18",22.139999
"133","2014-02-19",21.780001
"134","2014-02-20",21.07
"135","2014-02-21",20.85
"136","2014-02-24",22.5
"137","2014-02-25",22.85
"138","2014-02-26",23.450001
"139","2014-02-27",23.65
"140","2014-02-28",23.639999
"141","2014-03-03",23.120001
"142","2014-03-04",24.059999
"143","2014-03-05",24
"144","2014-03-06",24.35
"145","2014-03-07",24.280001
"146","2014-03-10",23.82
"147","2014-03-11",23.66
"148","2014-03-12",23.49
"149","2014-03-13",23.17
"150","2014-03-14",23.280001
"151","2014-03-17",23.9
"152","2014-03-18",24.01
"153","2014-03-19",24.200001
"154","2014-03-20",24.200001
"155","2014-03-21",24.5
