"","date","BRFS"
"1","2007-01-03",6.8125
"2","2007-01-04",6.92
"3","2007-01-05",6.6125
"4","2007-01-08",6.6875
"5","2007-01-09",6.6125
"6","2007-01-10",6.8625
"7","2007-01-11",6.845
"8","2007-01-12",6.85
"9","2007-01-16",6.3
"10","2007-01-17",6.0925
"11","2007-01-18",6.1475
"12","2007-01-19",6.3375
"13","2007-01-22",6.4225
"14","2007-01-23",6.3325
"15","2007-01-24",6.65
"16","2007-01-25",6.43
"17","2007-01-26",6.225
"18","2007-01-29",6.075
"19","2007-01-30",6.225
"20","2007-01-31",6.35
"21","2007-02-01",6.6825
"22","2007-02-02",6.5075
"23","2007-02-05",6.3525
"24","2007-02-06",6.355
"25","2007-02-07",6.3825
"26","2007-02-08",6.285
"27","2007-02-09",6.2
"28","2007-02-12",6.2375
"29","2007-02-13",6.39
"30","2007-02-14",6.4525
"31","2007-02-15",6.4175
"32","2007-02-16",6.4225
"33","2007-02-20",6.51
"34","2007-02-21",6.455
"35","2007-02-22",6.525
"36","2007-02-23",6.485
"37","2007-02-26",6.535
"38","2007-02-27",5.9
"39","2007-02-28",6.0625
"40","2007-03-01",6.085
"41","2007-03-02",5.83
"42","2007-03-05",5.72
"43","2007-03-06",6.0375
"44","2007-03-07",5.85
"45","2007-03-08",5.9875
"46","2007-03-09",6.1075
"47","2007-03-12",6.45
"48","2007-03-13",6.3375
"49","2007-03-14",6.6975
"50","2007-03-15",6.6875
"51","2007-03-16",6.55
"52","2007-03-19",6.5225
"53","2007-03-20",6.8375
"54","2007-03-21",7.005
"55","2007-03-22",6.9375
"56","2007-03-23",6.8875
"57","2007-03-26",6.8975
"58","2007-03-27",6.865
"59","2007-03-28",6.6825
"60","2007-03-29",6.7525
"61","2007-03-30",6.64
"62","2007-04-02",6.5925
"63","2007-04-03",6.7625
"64","2007-04-04",6.7925
"65","2007-04-05",6.8925
"66","2007-04-09",6.835
"67","2007-04-10",6.6975
"68","2007-04-11",6.515
"69","2007-04-12",6.7175
"70","2007-04-13",6.8475
"71","2007-04-16",7.0475
"72","2007-04-17",7.175
"73","2007-04-18",7.3125
"74","2007-04-19",7.5
"75","2007-04-20",7.7025
"76","2007-04-23",7.45
"77","2007-04-24",7.4975
"78","2007-04-25",7.565
"79","2007-04-26",7.385
"80","2007-04-27",7.59
"81","2007-04-30",7.575
"82","2007-05-01",7.85
"83","2007-05-02",7.75
"84","2007-05-03",8
"85","2007-05-04",8.0375
"86","2007-05-07",8.3075
"87","2007-05-08",8.1125
"88","2007-05-09",8.215
"89","2007-05-10",8.1875
"90","2007-05-11",8.16
"91","2007-05-14",8.28
"92","2007-05-15",8.2675
"93","2007-05-16",8.515
"94","2007-05-17",8.5375
"95","2007-05-18",8.2125
"96","2007-05-21",8.375
"97","2007-05-22",8.8025
"98","2007-05-23",8.655
"99","2007-05-24",8.25
"100","2007-05-25",8.7025
"101","2007-05-29",8.54
"102","2007-05-30",8.9
"103","2007-05-31",9
"104","2007-06-01",9.2325
"105","2007-06-04",8.97
"106","2007-06-05",9.15
"107","2007-06-06",8.7325
"108","2007-06-07",8.275
"109","2007-06-08",8.85
"110","2007-06-11",8.925
"111","2007-06-12",8.5075
"112","2007-06-13",8.7125
"113","2007-06-14",8.87
"114","2007-06-15",8.9025
"115","2007-06-18",8.9775
"116","2007-06-19",8.8625
"117","2007-06-20",8.8875
"118","2007-06-21",9.145
"119","2007-06-22",9.05
"120","2007-06-25",9.03
"121","2007-06-26",9.5725
"122","2007-06-27",9.845
"123","2007-06-28",10.1875
"124","2007-06-29",9.555
"125","2007-07-02",9.805
"126","2007-07-03",9.925
"127","2007-07-05",9.5875
"128","2007-07-06",9.75
"129","2007-07-09",9.75
"130","2007-07-10",9.3775
"131","2007-07-11",9.5675
"132","2007-07-12",9.725
"133","2007-07-13",10.175
"134","2007-07-16",9.99
"135","2007-07-17",9.7775
"136","2007-07-18",9.7725
"137","2007-07-19",9.95
"138","2007-07-20",9.9
"139","2007-07-23",9.9325
"140","2007-07-24",9.375
"141","2007-07-25",9.36
"142","2007-07-26",8.675
"143","2007-07-27",9.2625
"144","2007-07-30",9.5375
"145","2007-07-31",9.4675
"146","2007-08-01",9.7375
"147","2007-08-02",9.8125
"148","2007-08-03",9.0475
"149","2007-08-06",9.2625
"150","2007-08-07",9.2875
"151","2007-08-08",9.74
"152","2007-08-09",9.0725
"153","2007-08-10",8.8375
"154","2007-08-13",8.8125
"155","2007-08-14",8.375
"156","2007-08-15",7.75
"157","2007-08-16",7.5625
"158","2007-08-17",8.075
"159","2007-08-20",8.2675
"160","2007-08-21",8.3525
"161","2007-08-22",8.67
"162","2007-08-23",8.94
"163","2007-08-24",9.3475
"164","2007-08-27",9.4925
"165","2007-08-28",8.8175
"166","2007-08-29",9.1725
"167","2007-08-30",9.245
"168","2007-08-31",9.45
"169","2007-09-04",9.9975
"170","2007-09-05",9.4825
"171","2007-09-06",9.4525
"172","2007-09-07",9.2025
"173","2007-09-10",9.125
"174","2007-09-11",9.6125
"175","2007-09-12",9.2425
"176","2007-09-13",9.55
"177","2007-09-14",9.505
"178","2007-09-17",9.475
"179","2007-09-18",9.8875
"180","2007-09-19",10.11
"181","2007-09-20",9.8275
"182","2007-09-21",9.9525
"183","2007-09-24",10.25
"184","2007-09-25",10.6125
"185","2007-09-26",11.1375
"186","2007-09-27",11.2275
"187","2007-09-28",10.9775
"188","2007-10-01",11.4525
"189","2007-10-02",11.165
"190","2007-10-03",11.0225
"191","2007-10-04",11.355
"192","2007-10-05",11.6225
"193","2007-10-08",11.595
"194","2007-10-09",12.575
"195","2007-10-10",12.5225
"196","2007-10-11",12.4475
"197","2007-10-12",12.835
"198","2007-10-15",12.0475
"199","2007-10-16",11.58
"200","2007-10-17",12.4625
"201","2007-10-18",12.75
"202","2007-10-19",12.7975
"203","2007-10-22",13.0875
"204","2007-10-23",13.4525
"205","2007-10-24",13.115
"206","2007-10-25",13.255
"207","2007-10-26",13.6675
"208","2007-10-29",13.5875
"209","2007-10-30",13.55
"210","2007-10-31",13.5
"211","2007-11-01",13.15
"212","2007-11-02",13.32
"213","2007-11-05",13.61
"214","2007-11-06",14.24
"215","2007-11-07",13.6325
"216","2007-11-08",13.3325
"217","2007-11-09",13.285
"218","2007-11-12",12.1875
"219","2007-11-13",12.98
"220","2007-11-14",12.5025
"221","2007-11-15",12.4375
"222","2007-11-16",13.3225
"223","2007-11-19",12.4325
"224","2007-11-20",12.535
"225","2007-11-21",11.645
"226","2007-11-23",11.475
"227","2007-11-26",10.3775
"228","2007-11-27",10.5775
"229","2007-11-28",11.735
"230","2007-11-29",11.565
"231","2007-11-30",11.935
"232","2007-12-03",11.98
"233","2007-12-04",12.005
"234","2007-12-05",12.8425
"235","2007-12-06",12.72
"236","2007-12-07",12.8
"237","2007-12-10",12.865
"238","2007-12-11",12.6675
"239","2007-12-12",12.9675
"240","2007-12-13",12.835
"241","2007-12-14",12.2125
"242","2007-12-17",12.0525
"243","2007-12-18",12.43
"244","2007-12-19",12.275
"245","2007-12-20",12.3975
"246","2007-12-21",12.2
"247","2007-12-24",12.625
"248","2007-12-26",12.475
"249","2007-12-27",12.4325
"250","2007-12-28",12.3325
"251","2007-12-31",12.31
"252","2008-01-02",12.0325
"253","2008-01-03",12.265
"254","2008-01-04",11.83
"255","2008-01-07",11.9975
"256","2008-01-08",11.855
"257","2008-01-09",12.4525
"258","2008-01-10",13.0075
"259","2008-01-11",12.76
"260","2008-01-14",12.825
"261","2008-01-15",11.775
"262","2008-01-16",11.1375
"263","2008-01-17",10.9625
"264","2008-01-18",10.64
"265","2008-01-22",10.2675
"266","2008-01-23",10.155
"267","2008-01-24",10.5725
"268","2008-01-25",10.3475
"269","2008-01-28",10.425
"270","2008-01-29",10.905
"271","2008-01-30",11
"272","2008-01-31",11.335
"273","2008-02-01",11.6
"274","2008-02-04",11.7425
"275","2008-02-05",11.1475
"276","2008-02-06",11.025
"277","2008-02-07",11.2725
"278","2008-02-08",11.16
"279","2008-02-11",11.91
"280","2008-02-12",11.8175
"281","2008-02-13",12.08
"282","2008-02-14",12.0325
"283","2008-02-15",12.075
"284","2008-02-19",11.7525
"285","2008-02-20",12.2975
"286","2008-02-21",12.1775
"287","2008-02-22",12.8325
"288","2008-02-25",12.815
"289","2008-02-26",11.9875
"290","2008-02-27",12.35
"291","2008-02-28",12.39
"292","2008-02-29",11.95
"293","2008-03-03",12.255
"294","2008-03-04",12.31
"295","2008-03-05",12.8375
"296","2008-03-06",12.2075
"297","2008-03-07",12.065
"298","2008-03-10",11.6125
"299","2008-03-11",12.735
"300","2008-03-12",13
"301","2008-03-13",12.625
"302","2008-03-14",12.09
"303","2008-03-17",12.165
"304","2008-03-18",12.7425
"305","2008-03-19",11.9125
"306","2008-03-20",12.5075
"307","2008-03-24",12.6275
"308","2008-03-25",12.99
"309","2008-03-26",12.7725
"310","2008-03-27",12.0225
"311","2008-03-28",11.6
"312","2008-03-31",11.3825
"313","2008-04-01",11.8625
"314","2008-04-02",12.2
"315","2008-04-03",12.33
