"","date","FBIO"
"1","2011-11-17",11
"2","2011-11-18",10
"3","2011-11-21",10
"4","2011-11-22",10
"5","2011-11-23",10
"6","2011-11-25",8.01
"7","2011-11-28",10
"8","2011-11-29",8.5
"9","2011-11-30",9.5
"10","2011-12-01",9.5
"11","2011-12-02",9.5
"12","2011-12-05",8.75
"13","2011-12-06",8
"14","2011-12-07",7.25
"15","2011-12-08",7
"16","2011-12-09",7.2
"17","2011-12-12",7.2
"18","2011-12-13",7
"19","2011-12-14",6.99
"20","2011-12-15",6.5
"21","2011-12-16",6.5
"22","2011-12-19",6
"23","2011-12-20",6.5
"24","2011-12-21",6.35
"25","2011-12-22",6.11
"26","2011-12-23",6.37
"27","2011-12-27",6.45
"28","2011-12-28",6.3
"29","2011-12-29",6
"30","2011-12-30",6.5
"31","2012-01-03",6.1
"32","2012-01-04",6.22
"33","2012-01-05",6.27
"34","2012-01-06",6
"35","2012-01-09",5.75
"36","2012-01-10",5.25
"37","2012-01-11",5.21
"38","2012-01-12",5
"39","2012-01-13",5.1
"40","2012-01-17",5.4
"41","2012-01-18",5.95
"42","2012-01-19",5.65
"43","2012-01-20",6.69
"44","2012-01-23",6.57
"45","2012-01-24",5.96
"46","2012-01-25",6.49
"47","2012-01-26",6.55
"48","2012-01-27",6.5
"49","2012-01-30",6.37
"50","2012-01-31",6.33
"51","2012-02-01",6.56
"52","2012-02-02",6.32
"53","2012-02-03",6.27
"54","2012-02-06",6.37
"55","2012-02-07",6.1
"56","2012-02-08",6.4
"57","2012-02-09",6.28
"58","2012-02-10",6.25
"59","2012-02-13",6.29
"60","2012-02-14",6.65
"61","2012-02-15",6.6
"62","2012-02-16",6.5
"63","2012-02-17",6.7
"64","2012-02-21",6.78
"65","2012-02-22",6.85
"66","2012-02-23",6.9
"67","2012-02-24",7.5
"68","2012-02-27",7.61
"69","2012-02-28",7.55
"70","2012-02-29",7.62
"71","2012-03-01",7.73
"72","2012-03-02",8
"73","2012-03-05",7.6
"74","2012-03-06",7.3
"75","2012-03-07",7.45
"76","2012-03-08",7.4
