"","date","WU"
"1","2007-01-03",22.709999
"2","2007-01-04",22.91
"3","2007-01-05",22.33
"4","2007-01-08",21.959999
"5","2007-01-09",22.25
"6","2007-01-10",22.459999
"7","2007-01-11",22.639999
"8","2007-01-12",22.790001
"9","2007-01-16",22.200001
"10","2007-01-17",21.719999
"11","2007-01-18",21.6
"12","2007-01-19",21.41
"13","2007-01-22",21.030001
"14","2007-01-23",21.799999
"15","2007-01-24",21.4
"16","2007-01-25",21.07
"17","2007-01-26",20.940001
"18","2007-01-29",21.190001
"19","2007-01-30",21.719999
"20","2007-01-31",22.34
"21","2007-02-01",23.549999
"22","2007-02-02",23.02
"23","2007-02-05",22.85
"24","2007-02-06",22.530001
"25","2007-02-07",22.549999
"26","2007-02-08",22.1
"27","2007-02-09",21.799999
"28","2007-02-12",21.969999
"29","2007-02-13",21.959999
"30","2007-02-14",22.32
"31","2007-02-15",22.48
"32","2007-02-16",22.15
"33","2007-02-20",22.16
"34","2007-02-21",22.139999
"35","2007-02-22",21.799999
"36","2007-02-23",21.889999
"37","2007-02-26",22.370001
"38","2007-02-27",21.65
"39","2007-02-28",21.67
"40","2007-03-01",21.41
"41","2007-03-02",21.08
"42","2007-03-05",21.190001
"43","2007-03-06",21.870001
"44","2007-03-07",21.360001
"45","2007-03-08",21.41
"46","2007-03-09",21.139999
"47","2007-03-12",21.549999
"48","2007-03-13",21.17
"49","2007-03-14",21.27
"50","2007-03-15",21.82
"51","2007-03-16",21.610001
"52","2007-03-19",21.83
"53","2007-03-20",21.51
"54","2007-03-21",21.85
"55","2007-03-22",21.68
"56","2007-03-23",22.34
"57","2007-03-26",22.629999
"58","2007-03-27",22.620001
"59","2007-03-28",22.450001
"60","2007-03-29",22.209999
"61","2007-03-30",21.950001
"62","2007-04-02",22.18
"63","2007-04-03",22.48
"64","2007-04-04",22.6
"65","2007-04-05",22.870001
"66","2007-04-09",23.02
"67","2007-04-10",23.17
"68","2007-04-11",23.129999
"69","2007-04-12",22.82
"70","2007-04-13",22.48
"71","2007-04-16",22.549999
"72","2007-04-17",22.879999
"73","2007-04-18",22.84
"74","2007-04-19",23.16
"75","2007-04-20",23.26
"76","2007-04-23",22.85
"77","2007-04-24",22.93
"78","2007-04-25",21.59
"79","2007-04-26",21.690001
"80","2007-04-27",21.709999
"81","2007-04-30",21.049999
"82","2007-05-01",20.870001
"83","2007-05-02",20.940001
"84","2007-05-03",21.51
"85","2007-05-04",21.540001
"86","2007-05-07",21.639999
"87","2007-05-08",21.34
"88","2007-05-09",21.48
"89","2007-05-10",21.16
"90","2007-05-11",21.48
"91","2007-05-14",21.209999
"92","2007-05-15",21.120001
"93","2007-05-16",21.379999
"94","2007-05-17",21.23
"95","2007-05-18",21.639999
"96","2007-05-21",21.76
"97","2007-05-22",21.620001
"98","2007-05-23",22.09
"99","2007-05-24",21.639999
"100","2007-05-25",22.280001
"101","2007-05-29",21.889999
"102","2007-05-30",22.299999
"103","2007-05-31",22.450001
"104","2007-06-01",22.49
"105","2007-06-04",22.18
"106","2007-06-05",22.16
"107","2007-06-06",22.17
"108","2007-06-07",21.82
"109","2007-06-08",22.16
"110","2007-06-11",22.75
"111","2007-06-12",22.42
"112","2007-06-13",22.9
"113","2007-06-14",23.059999
"114","2007-06-15",22.889999
"115","2007-06-18",22.690001
"116","2007-06-19",22.450001
"117","2007-06-20",21.209999
