"","date","BTE"
"1","2007-01-03",17.799999
"2","2007-01-04",17.1
"3","2007-01-05",17.25
"4","2007-01-08",17.469999
"5","2007-01-09",16.870001
"6","2007-01-10",16.620001
"7","2007-01-11",16.73
"8","2007-01-12",17.290001
"9","2007-01-16",17.26
"10","2007-01-17",17.68
"11","2007-01-18",17.440001
"12","2007-01-19",17.34
"13","2007-01-22",17.120001
"14","2007-01-23",17.4
"15","2007-01-24",17.209999
"16","2007-01-25",16.84
"17","2007-01-26",16.93
"18","2007-01-29",16.93
"19","2007-01-30",17.059999
"20","2007-01-31",17.18
"21","2007-02-01",17.030001
"22","2007-02-02",16.959999
"23","2007-02-05",16.82
"24","2007-02-06",16.709999
"25","2007-02-07",16.870001
"26","2007-02-08",16.959999
"27","2007-02-09",17.09
"28","2007-02-12",16.969999
"29","2007-02-13",17.25
"30","2007-02-14",17.6
"31","2007-02-15",17.98
"32","2007-02-16",17.799999
"33","2007-02-20",17.620001
"34","2007-02-21",17.98
"35","2007-02-22",18.17
"36","2007-02-23",18.129999
"37","2007-02-26",18.110001
"38","2007-02-27",17.709999
"39","2007-02-28",17.690001
"40","2007-03-01",17.66
"41","2007-03-02",17.299999
"42","2007-03-05",16.799999
"43","2007-03-06",16.950001
"44","2007-03-07",16.940001
"45","2007-03-08",16.85
"46","2007-03-09",16.9
"47","2007-03-12",16.42
"48","2007-03-13",16.280001
"49","2007-03-14",16.290001
"50","2007-03-15",16.73
"51","2007-03-16",16.68
"52","2007-03-19",16.790001
"53","2007-03-20",17.02
"54","2007-03-21",17.59
"55","2007-03-22",17.719999
"56","2007-03-23",17.68
"57","2007-03-26",17.790001
"58","2007-03-27",18.1
"59","2007-03-28",18.1
"60","2007-03-29",18.08
"61","2007-03-30",17.68
"62","2007-04-02",17.98
"63","2007-04-03",17.66
"64","2007-04-04",17.75
"65","2007-04-05",18.09
"66","2007-04-09",17.799999
"67","2007-04-10",17.969999
"68","2007-04-11",17.959999
"69","2007-04-12",18.32
"70","2007-04-13",18.389999
"71","2007-04-16",18.299999
