"","date","SWI"
"1","2018-10-19",15.03
"2","2018-10-22",15.44
"3","2018-10-23",15
"4","2018-10-24",14.5
"5","2018-10-25",14.54
"6","2018-10-26",14.21
"7","2018-10-29",14.25
"8","2018-10-30",14.45
"9","2018-10-31",14.59
"10","2018-11-01",14.72
"11","2018-11-02",14.95
"12","2018-11-05",14.8
"13","2018-11-06",14.97
"14","2018-11-07",15.09
"15","2018-11-08",14.96
"16","2018-11-09",15.07
"17","2018-11-12",14.7
"18","2018-11-13",15.06
"19","2018-11-14",14.95
"20","2018-11-15",15
"21","2018-11-16",15.11
"22","2018-11-19",14.75
"23","2018-11-20",13.9
"24","2018-11-21",14.06
"25","2018-11-23",13.98
"26","2018-11-26",14.45
"27","2018-11-27",14.46
"28","2018-11-28",15.23
"29","2018-11-29",15.29
"30","2018-11-30",15.91
"31","2018-12-03",16.24
"32","2018-12-04",15.92
"33","2018-12-06",16.1
"34","2018-12-07",16.16
"35","2018-12-10",17
"36","2018-12-11",17.73
"37","2018-12-12",18.66
"38","2018-12-13",16.26
"39","2018-12-14",15.74
"40","2018-12-17",14.33
"41","2018-12-18",14.05
"42","2018-12-19",14
"43","2018-12-20",13.4
"44","2018-12-21",13.13
"45","2018-12-24",12.35
"46","2018-12-26",13.02
"47","2018-12-27",13.5
"48","2018-12-28",13.47
"49","2018-12-31",13.83
"50","2019-01-02",13.71
"51","2019-01-03",13.08
"52","2019-01-04",14.23
"53","2019-01-07",14.75
"54","2019-01-08",15.15
"55","2019-01-09",15.37
"56","2019-01-10",15.74
"57","2019-01-11",15.76
"58","2019-01-14",15.63
"59","2019-01-15",15.97
"60","2019-01-16",16.200001
"61","2019-01-17",16.540001
"62","2019-01-18",16.9
"63","2019-01-22",16.48
"64","2019-01-23",16.549999
"65","2019-01-24",16.809999
"66","2019-01-25",17.139999
"67","2019-01-28",17.049999
"68","2019-01-29",17.16
"69","2019-01-30",17.299999
"70","2019-01-31",17.549999
"71","2019-02-01",17.799999
"72","2019-02-04",18
"73","2019-02-05",18.059999
"74","2019-02-06",17.700001
"75","2019-02-07",17.549999
"76","2019-02-08",18.049999
"77","2019-02-11",18.17
"78","2019-02-12",18.469999
"79","2019-02-13",18.889999
"80","2019-02-14",18.700001
"81","2019-02-15",19.02
"82","2019-02-19",19.1
"83","2019-02-20",18.969999
"84","2019-02-21",18.49
"85","2019-02-22",18.809999
"86","2019-02-25",18.889999
"87","2019-02-26",18.92
"88","2019-02-27",19.16
"89","2019-02-28",19.01
"90","2019-03-01",18.74
"91","2019-03-04",18.42
"92","2019-03-05",18.059999
"93","2019-03-06",17.9
"94","2019-03-07",17.9
"95","2019-03-08",17.9
"96","2019-03-11",18.02
"97","2019-03-12",18.16
"98","2019-03-13",18.65
"99","2019-03-14",18.98
"100","2019-03-15",20.1
"101","2019-03-18",20.540001
"102","2019-03-19",20.16
"103","2019-03-20",19.48
"104","2019-03-21",19.76
"105","2019-03-22",19.120001
"106","2019-03-25",18.74
"107","2019-03-26",19.07
"108","2019-03-27",18.780001
"109","2019-03-28",18.959999
"110","2019-03-29",19.52
"111","2019-04-01",19.469999
"112","2019-04-02",19.799999
"113","2019-04-03",19.379999
"114","2019-04-04",18.85
"115","2019-04-05",18.629999
"116","2019-04-08",18.370001
"117","2019-04-09",18.76
"118","2019-04-10",18.93
"119","2019-04-11",18.99
"120","2019-04-12",18.73
"121","2019-04-15",18.950001
"122","2019-04-16",18.48
"123","2019-04-17",19.040001
"124","2019-04-18",18.629999
"125","2019-04-22",19.059999
"126","2019-04-23",19.469999
"127","2019-04-24",19.719999
"128","2019-04-25",19.4
"129","2019-04-26",19.51
"130","2019-04-29",19.15
"131","2019-04-30",19.549999
"132","2019-05-01",19.290001
"133","2019-05-02",18.9
"134","2019-05-03",19.49
"135","2019-05-06",19.17
"136","2019-05-07",18.889999
"137","2019-05-08",18.98
"138","2019-05-09",19.17
"139","2019-05-10",19.360001
"140","2019-05-13",18.690001
"141","2019-05-14",18.950001
"142","2019-05-15",19
"143","2019-05-16",19.35
"144","2019-05-17",19.18
"145","2019-05-20",19.16
"146","2019-05-21",18.67
"147","2019-05-22",17.99
"148","2019-05-23",17.719999
"149","2019-05-24",18.030001
"150","2019-05-28",17.99
"151","2019-05-29",17.92
"152","2019-05-30",17.780001
"153","2019-05-31",17.5
"154","2019-06-03",16.950001
"155","2019-06-04",17.290001
"156","2019-06-05",17.27
"157","2019-06-06",17.469999
"158","2019-06-07",17.780001
"159","2019-06-10",18.610001
"160","2019-06-11",18.290001
"161","2019-06-12",18.219999
"162","2019-06-13",18.219999
