"","date","GNRC"
"1","2010-02-11",12.84
"2","2010-02-12",13.41
"3","2010-02-16",13.32
"4","2010-02-17",13.3
"5","2010-02-18",13.03
"6","2010-02-19",13.23
"7","2010-02-22",13.09
"8","2010-02-23",13.07
"9","2010-02-24",13.05
"10","2010-02-25",13.2
"11","2010-02-26",13.43
"12","2010-03-01",13.25
"13","2010-03-02",13.23
"14","2010-03-03",13.14
"15","2010-03-04",13.25
"16","2010-03-05",13.1
"17","2010-03-08",13.48
"18","2010-03-09",13.58
"19","2010-03-10",13.75
"20","2010-03-11",13.99
"21","2010-03-12",14.15
"22","2010-03-15",14.99
"23","2010-03-16",15.33
"24","2010-03-17",15.4
"25","2010-03-18",15.39
"26","2010-03-19",15.4
"27","2010-03-22",15.11
"28","2010-03-23",15.15
"29","2010-03-24",15.18
"30","2010-03-25",15.02
"31","2010-03-26",14.75
"32","2010-03-29",14.42
"33","2010-03-30",14.14
"34","2010-03-31",14.01
"35","2010-04-01",14.3
"36","2010-04-05",14.4
"37","2010-04-06",14.79
"38","2010-04-07",14.9
"39","2010-04-08",15.38
"40","2010-04-09",15.31
"41","2010-04-12",15.24
"42","2010-04-13",15.22
"43","2010-04-14",15.23
"44","2010-04-15",15.3
"45","2010-04-16",15.29
"46","2010-04-19",15.25
"47","2010-04-20",15.19
"48","2010-04-21",15.31
"49","2010-04-22",15.4
"50","2010-04-23",15.35
"51","2010-04-26",15.23
"52","2010-04-27",15.21
"53","2010-04-28",15.21
"54","2010-04-29",15.25
"55","2010-04-30",15.09
"56","2010-05-03",15.18
"57","2010-05-04",14.81
"58","2010-05-05",14.69
"59","2010-05-06",14.1
"60","2010-05-07",13.52
"61","2010-05-10",13.64
"62","2010-05-11",14.12
"63","2010-05-12",14.12
"64","2010-05-13",13.77
"65","2010-05-14",13.48
"66","2010-05-17",13.11
"67","2010-05-18",12.91
"68","2010-05-19",12.98
"69","2010-05-20",12.04
"70","2010-05-21",11.82
"71","2010-05-24",11.29
"72","2010-05-25",10.85
"73","2010-05-26",10.88
"74","2010-05-27",11.01
"75","2010-05-28",10.99
"76","2010-06-01",10.65
"77","2010-06-02",11.93
"78","2010-06-03",12.97
"79","2010-06-04",12.43
"80","2010-06-07",12.5
"81","2010-06-08",12.77
"82","2010-06-09",12.59
"83","2010-06-10",12.84
"84","2010-06-11",13.12
"85","2010-06-14",13.4
"86","2010-06-15",13.85
"87","2010-06-16",13.54
"88","2010-06-17",13.67
"89","2010-06-18",13.8
"90","2010-06-21",13.91
"91","2010-06-22",13.82
"92","2010-06-23",13.83
"93","2010-06-24",13.87
"94","2010-06-25",15.15
"95","2010-06-28",15.21
"96","2010-06-29",14.9
"97","2010-06-30",14.01
"98","2010-07-01",14.28
"99","2010-07-02",14.27
"100","2010-07-06",13.78
"101","2010-07-07",14.59
"102","2010-07-08",14.94
"103","2010-07-09",15.01
"104","2010-07-12",14.71
"105","2010-07-13",14.79
"106","2010-07-14",14.8
"107","2010-07-15",14.7
"108","2010-07-16",14.38
"109","2010-07-19",14.33
"110","2010-07-20",14.6
"111","2010-07-21",14.42
"112","2010-07-22",14.92
"113","2010-07-23",15.07
"114","2010-07-26",15.06
"115","2010-07-27",14.99
"116","2010-07-28",14.55
"117","2010-07-29",14.72
"118","2010-07-30",14.77
"119","2010-08-02",15.07
"120","2010-08-03",15.03
"121","2010-08-04",15.08
"122","2010-08-05",14.89
"123","2010-08-06",14.47
"124","2010-08-09",14.4
"125","2010-08-10",13.87
"126","2010-08-11",13.11
"127","2010-08-12",13.01
"128","2010-08-13",12.76
"129","2010-08-16",13.29
"130","2010-08-17",13.44
"131","2010-08-18",12.99
"132","2010-08-19",12.41
"133","2010-08-20",12.58
"134","2010-08-23",12.25
"135","2010-08-24",12.15
"136","2010-08-25",12.13
"137","2010-08-26",12
"138","2010-08-27",12.51
"139","2010-08-30",11.99
"140","2010-08-31",12.12
"141","2010-09-01",12.88
"142","2010-09-02",13.02
"143","2010-09-03",13.09
"144","2010-09-07",13.23
"145","2010-09-08",13.66
"146","2010-09-09",13.74
"147","2010-09-10",13.36
"148","2010-09-13",14.04
"149","2010-09-14",13.87
"150","2010-09-15",13.36
"151","2010-09-16",13.29
"152","2010-09-17",13.15
"153","2010-09-20",13.26
"154","2010-09-21",12.99
"155","2010-09-22",12.39
"156","2010-09-23",12.29
"157","2010-09-24",13.25
"158","2010-09-27",13.2
"159","2010-09-28",13.01
"160","2010-09-29",13.61
"161","2010-09-30",13.64
"162","2010-10-01",14.03
"163","2010-10-04",14
"164","2010-10-05",14.27
"165","2010-10-06",14.54
"166","2010-10-07",13.91
"167","2010-10-08",14.12
"168","2010-10-11",14.51
"169","2010-10-12",14.36
"170","2010-10-13",14.29
"171","2010-10-14",13.88
"172","2010-10-15",13.5
"173","2010-10-18",13.76
"174","2010-10-19",13.71
"175","2010-10-20",13.85
"176","2010-10-21",13.78
"177","2010-10-22",13.76
"178","2010-10-25",13.9
"179","2010-10-26",13.8
"180","2010-10-27",13.69
"181","2010-10-28",13.48
"182","2010-10-29",13.53
"183","2010-11-01",13.04
"184","2010-11-02",13.11
"185","2010-11-03",13.12
"186","2010-11-04",14
"187","2010-11-05",14.04
"188","2010-11-08",14.24
"189","2010-11-09",13.92
"190","2010-11-10",13.98
"191","2010-11-11",14.25
"192","2010-11-12",14.22
"193","2010-11-15",14.74
"194","2010-11-16",14.69
"195","2010-11-17",14.51
"196","2010-11-18",14.58
"197","2010-11-19",14.98
"198","2010-11-22",15.28
"199","2010-11-23",15.29
"200","2010-11-24",15.77
"201","2010-11-26",15.75
"202","2010-11-29",15.76
"203","2010-11-30",14.86
"204","2010-12-01",15.73
"205","2010-12-02",15.86
"206","2010-12-03",15.85
"207","2010-12-06",15.84
"208","2010-12-07",15.8
"209","2010-12-08",15.85
"210","2010-12-09",15.88
"211","2010-12-10",15.87
"212","2010-12-13",15.75
"213","2010-12-14",15.82
"214","2010-12-15",15.82
"215","2010-12-16",15.89
"216","2010-12-17",16.110001
"217","2010-12-20",16.18
"218","2010-12-21",16.42
"219","2010-12-22",16.51
"220","2010-12-23",16.33
"221","2010-12-27",16.33
"222","2010-12-28",16.290001
"223","2010-12-29",16.25
"224","2010-12-30",16.139999
"225","2010-12-31",16.17
"226","2011-01-03",16.129999
"227","2011-01-04",16
"228","2011-01-05",16.18
"229","2011-01-06",16.389999
"230","2011-01-07",16.5
"231","2011-01-10",16.709999
"232","2011-01-11",16.84
"233","2011-01-12",16.73
"234","2011-01-13",16.889999
"235","2011-01-14",16.99
"236","2011-01-18",16.99
"237","2011-01-19",16.440001
"238","2011-01-20",16.25
"239","2011-01-21",16.25
"240","2011-01-24",16.290001
"241","2011-01-25",16.370001
"242","2011-01-26",16.530001
"243","2011-01-27",16.610001
"244","2011-01-28",15.69
"245","2011-01-31",14.9
"246","2011-02-01",15.68
"247","2011-02-02",16.08
"248","2011-02-03",16.43
"249","2011-02-04",15.84
"250","2011-02-07",16.030001
"251","2011-02-08",15.27
"252","2011-02-09",15.02
"253","2011-02-10",14.93
"254","2011-02-11",15.32
"255","2011-02-14",15.72
"256","2011-02-15",15.9
"257","2011-02-16",15.92
"258","2011-02-17",16.25
"259","2011-02-18",17.42
"260","2011-02-22",17.99
"261","2011-02-23",16.98
"262","2011-02-24",17.66
"263","2011-02-25",18.6
"264","2011-02-28",18.33
"265","2011-03-01",17.84
"266","2011-03-02",17.92
"267","2011-03-03",18.120001
"268","2011-03-04",17.99
"269","2011-03-07",18.040001
"270","2011-03-08",18.620001
"271","2011-03-09",18.309999
"272","2011-03-10",17.940001
"273","2011-03-11",18.52
"274","2011-03-14",18.459999
"275","2011-03-15",18.34
"276","2011-03-16",18.540001
"277","2011-03-17",18.32
"278","2011-03-18",19.07
"279","2011-03-21",19.299999
"280","2011-03-22",19.16
"281","2011-03-23",19.059999
"282","2011-03-24",18.780001
"283","2011-03-25",18.709999
"284","2011-03-28",18.889999
"285","2011-03-29",20.059999
"286","2011-03-30",20.190001
"287","2011-03-31",20.290001
"288","2011-04-01",20.200001
"289","2011-04-04",20.17
"290","2011-04-05",19.98
"291","2011-04-06",19.809999
"292","2011-04-07",19.629999
"293","2011-04-08",19.77
"294","2011-04-11",19.75
"295","2011-04-12",19.639999
"296","2011-04-13",19.75
"297","2011-04-14",20.43
"298","2011-04-15",20.24
"299","2011-04-18",20.26
"300","2011-04-19",20.389999
"301","2011-04-20",20.5
"302","2011-04-21",20.59
"303","2011-04-25",20.450001
"304","2011-04-26",20.6
"305","2011-04-27",20.43
"306","2011-04-28",20.66
"307","2011-04-29",20.82
"308","2011-05-02",20.629999
"309","2011-05-03",20.440001
"310","2011-05-04",19.040001
"311","2011-05-05",18.700001
"312","2011-05-06",18.559999
"313","2011-05-09",18.83
"314","2011-05-10",18.950001
"315","2011-05-11",18.610001
"316","2011-05-12",18.66
"317","2011-05-13",18.16
"318","2011-05-16",17.75
"319","2011-05-17",17.780001
"320","2011-05-18",18.379999
"321","2011-05-19",18.52
"322","2011-05-20",18.35
"323","2011-05-23",18
"324","2011-05-24",17.940001
"325","2011-05-25",18.469999
"326","2011-05-26",17.969999
"327","2011-05-27",18.1
"328","2011-05-31",18.41
"329","2011-06-01",17.559999
"330","2011-06-02",17.76
"331","2011-06-03",17.25
"332","2011-06-06",17.65
"333","2011-06-07",18.01
"334","2011-06-08",17.9
"335","2011-06-09",17.59
"336","2011-06-10",17.969999
"337","2011-06-13",17.9
"338","2011-06-14",18.139999
"339","2011-06-15",17.950001
"340","2011-06-16",17.99
"341","2011-06-17",17.860001
"342","2011-06-20",18.040001
"343","2011-06-21",18.540001
"344","2011-06-22",18.639999
"345","2011-06-23",19.059999
