"","date","HWKN"
"1","2007-01-03",14.2
"2","2007-01-04",14.2
"3","2007-01-05",14.18
"4","2007-01-08",14.2
"5","2007-01-09",14.25
"6","2007-01-10",14.13
"7","2007-01-11",14.15
"8","2007-01-12",14.22
"9","2007-01-16",14.17
"10","2007-01-17",14.24
"11","2007-01-18",14.21
"12","2007-01-19",14.25
"13","2007-01-22",14.31
"14","2007-01-23",14.24
"15","2007-01-24",14.25
"16","2007-01-25",14.19
"17","2007-01-26",14.39
"18","2007-01-29",14.43
"19","2007-01-30",14.48
"20","2007-01-31",14.4
"21","2007-02-01",14.36
"22","2007-02-02",14.41
"23","2007-02-05",14.37
"24","2007-02-06",14.4
"25","2007-02-07",14.51
"26","2007-02-08",14.92
"27","2007-02-09",14.97
"28","2007-02-12",15.28
"29","2007-02-13",15.3
"30","2007-02-14",15.75
"31","2007-02-15",15.53
"32","2007-02-16",15.64
"33","2007-02-20",16.049999
"34","2007-02-21",16
"35","2007-02-22",16.07
"36","2007-02-23",15.81
"37","2007-02-26",15.95
"38","2007-02-27",15.75
"39","2007-02-28",15.95
"40","2007-03-01",15.77
"41","2007-03-02",15.75
"42","2007-03-05",15
"43","2007-03-06",15.11
"44","2007-03-07",15
"45","2007-03-08",15.16
"46","2007-03-09",14.85
"47","2007-03-12",14.83
"48","2007-03-13",14.87
"49","2007-03-14",14.85
"50","2007-03-15",14.85
"51","2007-03-16",14.85
"52","2007-03-19",15.04
"53","2007-03-20",14.88
"54","2007-03-21",15
"55","2007-03-22",14.72
"56","2007-03-23",14.6
"57","2007-03-26",14.5
"58","2007-03-27",14.75
"59","2007-03-28",14.54
"60","2007-03-29",14.78
"61","2007-03-30",14.76
"62","2007-04-02",14.63
"63","2007-04-03",15.11
"64","2007-04-04",15.05
"65","2007-04-05",15.01
"66","2007-04-09",15
"67","2007-04-10",14.98
"68","2007-04-11",15.15
"69","2007-04-12",15.3
"70","2007-04-13",15.2
"71","2007-04-16",15.17
"72","2007-04-17",15.13
"73","2007-04-18",15.19
"74","2007-04-19",14.98
"75","2007-04-20",15.06
"76","2007-04-23",15
"77","2007-04-24",15
"78","2007-04-25",15.03
"79","2007-04-26",15.13
"80","2007-04-27",15.13
"81","2007-04-30",14.86
"82","2007-05-01",14.84
"83","2007-05-02",14.99
"84","2007-05-03",14.9
"85","2007-05-04",14.52
"86","2007-05-07",14.37
"87","2007-05-08",14.36
"88","2007-05-09",14.4
"89","2007-05-10",14.68
"90","2007-05-11",14.72
"91","2007-05-14",14.58
"92","2007-05-15",14.93
"93","2007-05-16",14.62
"94","2007-05-17",14.49
"95","2007-05-18",14.49
"96","2007-05-21",14.49
"97","2007-05-22",14.48
"98","2007-05-23",14.44
"99","2007-05-24",14.44
"100","2007-05-25",14.35
"101","2007-05-29",14.47
"102","2007-05-30",14.87
"103","2007-05-31",14.8
"104","2007-06-01",14.48
"105","2007-06-04",14.62
"106","2007-06-05",14.64
"107","2007-06-06",14.63
"108","2007-06-07",14.53
"109","2007-06-08",14.57
"110","2007-06-11",14.44
"111","2007-06-12",14.64
"112","2007-06-13",14.61
"113","2007-06-14",14.65
"114","2007-06-15",15.18
"115","2007-06-18",15.53
"116","2007-06-19",15.67
"117","2007-06-20",15.43
"118","2007-06-21",15.34
