"","date","OSH"
"1","2020-08-06",40
"2","2020-08-07",39
"3","2020-08-10",44
"4","2020-08-11",44.57
"5","2020-08-12",44.25
"6","2020-08-13",46.389999
"7","2020-08-14",46.639999
"8","2020-08-17",45.889999
"9","2020-08-18",46.139999
"10","2020-08-19",41.509998
"11","2020-08-20",42.5
"12","2020-08-21",44.389999
"13","2020-08-24",44.970001
"14","2020-08-25",44.560001
"15","2020-08-26",44.32
"16","2020-08-27",44.560001
"17","2020-08-28",45.41
"18","2020-08-31",44.630001
"19","2020-09-01",46.060001
"20","2020-09-02",50.5
"21","2020-09-03",47.389999
"22","2020-09-04",46.130001
"23","2020-09-08",46.630001
"24","2020-09-09",46.75
"25","2020-09-10",43.91
"26","2020-09-11",42.34
"27","2020-09-14",40.580002
"28","2020-09-15",41.380001
"29","2020-09-16",41.509998
"30","2020-09-17",39.889999
"31","2020-09-18",42.25
"32","2020-09-21",42.27
"33","2020-09-22",43.740002
"34","2020-09-23",42.200001
"35","2020-09-24",45.119999
"36","2020-09-25",48.279999
"37","2020-09-28",50.560001
"38","2020-09-29",50.98
"39","2020-09-30",53.439999
"40","2020-10-01",50.57
"41","2020-10-02",50.099998
"42","2020-10-05",51
"43","2020-10-06",52.009998
"44","2020-10-07",53.18
"45","2020-10-08",52.84
"46","2020-10-09",52.419998
"47","2020-10-12",51.75
"48","2020-10-13",52.18
"49","2020-10-14",52.810001
"50","2020-10-15",52.799999
"51","2020-10-16",53.68
"52","2020-10-19",51.630001
"53","2020-10-20",51.279999
"54","2020-10-21",51.849998
"55","2020-10-22",52.189999
"56","2020-10-23",52.57
"57","2020-10-26",51.189999
"58","2020-10-27",51.400002
"59","2020-10-28",50.639999
"60","2020-10-29",49.48
"61","2020-10-30",47.59
"62","2020-11-02",46.810001
"63","2020-11-03",48.57
"64","2020-11-04",48.799999
"65","2020-11-05",51.119999
"66","2020-11-06",52.040001
"67","2020-11-09",54.869999
"68","2020-11-10",49.529999
"69","2020-11-11",51.57
"70","2020-11-12",47
"71","2020-11-13",45.490002
"72","2020-11-16",45.169998
"73","2020-11-17",46.349998
"74","2020-11-18",45.869999
"75","2020-11-19",45.400002
"76","2020-11-20",46.799999
"77","2020-11-23",45.720001
"78","2020-11-24",45.029999
"79","2020-11-25",47.110001
"80","2020-11-27",46.799999
