"","date","CUB"
"1","2007-01-03",22.32
"2","2007-01-04",21.93
"3","2007-01-05",21.6
"4","2007-01-08",21.33
"5","2007-01-09",21.1
"6","2007-01-10",20.700001
"7","2007-01-11",20.879999
"8","2007-01-12",20.9
"9","2007-01-16",21.040001
"10","2007-01-17",20.860001
"11","2007-01-18",20
"12","2007-01-19",20.02
"13","2007-01-22",20.07
"14","2007-01-23",20.65
"15","2007-01-24",20.700001
"16","2007-01-25",20.639999
"17","2007-01-26",20.93
"18","2007-01-29",20.799999
"19","2007-01-30",20.959999
"20","2007-01-31",20.9
"21","2007-02-01",21.200001
"22","2007-02-02",21.23
"23","2007-02-05",20.68
"24","2007-02-06",21.040001
"25","2007-02-07",21.219999
"26","2007-02-08",20.77
"27","2007-02-09",20.870001
"28","2007-02-12",21.15
"29","2007-02-13",21.48
"30","2007-02-14",21.23
"31","2007-02-15",21.200001
"32","2007-02-16",21.49
"33","2007-02-20",21.950001
"34","2007-02-21",22.02
"35","2007-02-22",22.370001
"36","2007-02-23",21.99
"37","2007-02-26",21.92
"38","2007-02-27",21.059999
"39","2007-02-28",21.110001
"40","2007-03-01",21.290001
"41","2007-03-02",20.82
"42","2007-03-05",20.459999
"43","2007-03-06",20.879999
"44","2007-03-07",20.799999
"45","2007-03-08",20.809999
"46","2007-03-09",21.110001
"47","2007-03-12",21.35
"48","2007-03-13",20.450001
"49","2007-03-14",21.01
"50","2007-03-15",21.24
"51","2007-03-16",21
"52","2007-03-19",20.969999
"53","2007-03-20",21.200001
"54","2007-03-21",21.66
"55","2007-03-22",21.690001
"56","2007-03-23",21.799999
"57","2007-03-26",21.889999
"58","2007-03-27",21.49
"59","2007-03-28",21.1
"60","2007-03-29",21.459999
"61","2007-03-30",21.639999
"62","2007-04-02",21.75
"63","2007-04-03",21.83
"64","2007-04-04",21.67
"65","2007-04-05",21.59
"66","2007-04-09",21.23
"67","2007-04-10",21.35
"68","2007-04-11",20.860001
"69","2007-04-12",20.799999
"70","2007-04-13",21.07
"71","2007-04-16",21.43
"72","2007-04-17",21.309999
"73","2007-04-18",21.299999
"74","2007-04-19",20.620001
"75","2007-04-20",21.16
"76","2007-04-23",20.93
"77","2007-04-24",20.9
"78","2007-04-25",20.98
"79","2007-04-26",20.68
"80","2007-04-27",20.15
"81","2007-04-30",20.129999
"82","2007-05-01",20.23
"83","2007-05-02",20.629999
"84","2007-05-03",22.309999
"85","2007-05-04",22.190001
"86","2007-05-07",22.639999
"87","2007-05-08",23.57
"88","2007-05-09",23.610001
"89","2007-05-10",23.02
"90","2007-05-11",23.35
"91","2007-05-14",23.33
"92","2007-05-15",23.26
"93","2007-05-16",23.549999
"94","2007-05-17",23.219999
"95","2007-05-18",24.309999
"96","2007-05-21",24.700001
"97","2007-05-22",24.75
"98","2007-05-23",24.26
"99","2007-05-24",24
"100","2007-05-25",24.4
"101","2007-05-29",25.16
"102","2007-05-30",25.309999
"103","2007-05-31",25.129999
"104","2007-06-01",24.799999
"105","2007-06-04",26.379999
"106","2007-06-05",27.07
"107","2007-06-06",27.809999
"108","2007-06-07",27.469999
"109","2007-06-08",27.9
"110","2007-06-11",27.530001
"111","2007-06-12",27.01
"112","2007-06-13",28.24
"113","2007-06-14",28.99
"114","2007-06-15",29.120001
