"","date","GMDA"
"1","2018-10-26",8.44
"2","2018-10-29",9.1
"3","2018-10-30",10.06
"4","2018-10-31",10
"5","2018-11-01",10.1
"6","2018-11-02",10.34
"7","2018-11-05",9.57
"8","2018-11-06",9.66
"9","2018-11-07",9.57
"10","2018-11-08",10.15
"11","2018-11-09",10.27
"12","2018-11-12",10.04
"13","2018-11-13",9.65
"14","2018-11-14",9.78
"15","2018-11-15",9.98
"16","2018-11-16",9.6
"17","2018-11-19",9.8
"18","2018-11-20",9.84
"19","2018-11-21",11.47
"20","2018-11-23",14.9
"21","2018-11-26",13.42
"22","2018-11-27",14.43
"23","2018-11-28",14
"24","2018-11-29",13.54
"25","2018-11-30",15.41
"26","2018-12-03",13.81
"27","2018-12-04",13.5
"28","2018-12-06",12.51
"29","2018-12-07",11.75
"30","2018-12-10",11.67
"31","2018-12-11",10.9
"32","2018-12-12",10.62
"33","2018-12-13",10.39
"34","2018-12-14",10.5
"35","2018-12-17",10
"36","2018-12-18",10.3
"37","2018-12-19",10.4
"38","2018-12-20",9.99
"39","2018-12-21",9.94
"40","2018-12-24",9.15
"41","2018-12-26",9.2
"42","2018-12-27",9.81
"43","2018-12-28",9.81
"44","2018-12-31",9.94
"45","2019-01-02",10.51
"46","2019-01-03",10.25
"47","2019-01-04",10.44
"48","2019-01-07",10.5
"49","2019-01-08",10.2
"50","2019-01-09",9.8
"51","2019-01-10",10.24
"52","2019-01-11",9.82
"53","2019-01-14",10.99
"54","2019-01-15",10.6
"55","2019-01-16",10.98
"56","2019-01-17",11.01
"57","2019-01-18",10.8
"58","2019-01-22",10.68
"59","2019-01-23",11.49
"60","2019-01-24",11.15
"61","2019-01-25",11.4
"62","2019-01-28",12.96
"63","2019-01-29",13.6
"64","2019-01-30",14.38
"65","2019-01-31",14.03
"66","2019-02-01",14.1
"67","2019-02-04",14.08
"68","2019-02-05",14.09
"69","2019-02-06",13.79
"70","2019-02-07",13.7
"71","2019-02-08",13.89
"72","2019-02-11",14.1
"73","2019-02-12",14.08
"74","2019-02-13",13.95
"75","2019-02-14",12.56
"76","2019-02-15",14
"77","2019-02-19",14
"78","2019-02-20",14
"79","2019-02-21",14.22
"80","2019-02-22",14
"81","2019-02-25",13.66
"82","2019-02-26",13.4
"83","2019-02-27",13
"84","2019-02-28",12.96
"85","2019-03-01",11.99
"86","2019-03-04",12.01
"87","2019-03-05",12
"88","2019-03-06",11.89
"89","2019-03-07",11.31
"90","2019-03-08",11.68
"91","2019-03-11",11.05
"92","2019-03-12",11.05
"93","2019-03-13",11.4
"94","2019-03-14",11.01
"95","2019-03-15",11.5
"96","2019-03-18",11.45
"97","2019-03-19",11.47
"98","2019-03-20",11.72
"99","2019-03-21",11.94
"100","2019-03-22",11.93
"101","2019-03-25",12.01
"102","2019-03-26",11.53
"103","2019-03-27",11.27
"104","2019-03-28",11.8
"105","2019-03-29",11.3
"106","2019-04-01",11.32
"107","2019-04-02",11.14
"108","2019-04-03",10.51
"109","2019-04-04",10.73
"110","2019-04-05",10.78
"111","2019-04-08",10.12
"112","2019-04-09",9.9
"113","2019-04-10",9.45
"114","2019-04-11",9.25
"115","2019-04-12",9.2
"116","2019-04-15",8.35
"117","2019-04-16",8.24
"118","2019-04-17",8.39
"119","2019-04-18",8.53
"120","2019-04-22",8.7
"121","2019-04-23",8.88
"122","2019-04-24",8.69
"123","2019-04-25",8.45
"124","2019-04-26",8.65
"125","2019-04-29",8.16
"126","2019-04-30",7.44
"127","2019-05-01",7.56
